,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,49861406.655649,7183182.254544,-48667896.0,-27780168.0
Tax Rate For Calcs,0.198296,0.161166,0.1506,0.1324
Normalized EBITDA,7827090000.0,5546990000.0,4215730000.0,3192580000.0
Total Unusual Items,251450000.0,44570000.0,-323160000.0,-209820000.0
Total Unusual Items Excluding Goodwill,251450000.0,44570000.0,-323160000.0,-209820000.0
Net Income From Continuing Operation Net Minority Interest,4860590000.0,3704860000.0,3052280000.0,2329690000.0
Reconciled Depreciation,1126630000.0,585450000.0,245500000.0,233100000.0
Reconciled Cost Of Revenue,15180690000.0,9747860000.0,5093100000.0,3816780000.0
EBITDA,8078540000.0,5591560000.0,3892570000.0,2982760000.0
EBIT,6951910000.0,5006110000.0,3647060000.0,2749660000.0
Net Interest Income,-776580000.0,-310800000.0,223480000.0,130570000.0
Interest Expense,889090000.0,589430000.0,53630000.0,64460000.0
Interest Income,137700000.0,300010000.0,284010000.0,202090000.0
Normalized Income,4659001406.655649,3667473182.254544,3326772104.0,2511729832.0
Net Income From Continuing And Discontinued Operation,4860590000.0,3704860000.0,3052280000.0,2329690000.0
Total Expenses,20052820000.0,13508370000.0,6606760000.0,4870540000.0
Rent Expense Supplemental,19190000.0,12110000.0,13730000.0,15650000.0
Diluted Average Shares,169845978.0,171573159.0,171573159.0,171573159.0
Basic Average Shares,166447658.0,171573159.0,171573159.0,171573159.0
Diluted EPS,28.62,21.593471,17.789962,13.578406
Basic EPS,29.2,21.593471,17.789962,13.578406
Diluted NI Availto Com Stockholders,4860590000.0,3704860000.0,3052280000.0,2329690000.0
Net Income Common Stockholders,4860590000.0,3704860000.0,3052280000.0,2329690000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4860590000.0,3704860000.0,3052280000.0,2329690000.0
Net Income Including Noncontrolling Interests,4860590000.0,3704860000.0,3052280000.0,2329690000.0
Net Income Continuous Operations,4860590000.0,3704860000.0,3052280000.0,2329690000.0
Tax Provision,1202230000.0,711820000.0,541150000.0,355510000.0
Pretax Income,6062820000.0,4416680000.0,3593430000.0,2685200000.0
Other Non Operating Income Expenses,830000.0,11180000.0,70000.0,
Special Income Charges,213480000.0,73950000.0,-307800000.0,-196600000.0
Other Special Charges,-37850000.0,-1140000.0,307800000.0,196600000.0
Restructuring And Mergern Acquisition,-175630000.0,-72810000.0,0.0,0.0
Net Non Operating Interest Income Expense,-776580000.0,-310800000.0,223480000.0,130570000.0
Total Other Finance Cost,25190000.0,21380000.0,6900000.0,7060000.0
Interest Expense Non Operating,889090000.0,589430000.0,53630000.0,64460000.0
Interest Income Non Operating,137700000.0,300010000.0,284010000.0,202090000.0
Operating Income,6587120000.0,4660720000.0,3706240000.0,2765800000.0
Operating Expense,4872130000.0,3760510000.0,1513660000.0,1053760000.0
Other Operating Expenses,1922380000.0,1412520000.0,794080000.0,404210000.0
Depreciation And Amortization In Income Statement,1126630000.0,585450000.0,245510000.0,233100000.0
Amortization,642940000.0,256550000.0,4530000.0,7350000.0
Depreciation Income Statement,483690000.0,328900000.0,240980000.0,225750000.0
Selling General And Administration,1090710000.0,1353320000.0,456550000.0,400800000.0
Selling And Marketing Expense,203590000.0,168320000.0,101940000.0,119980000.0
General And Administrative Expense,887120000.0,1185000000.0,354610000.0,280820000.0
Rent And Landing Fees,19190000.0,12110000.0,13730000.0,15650000.0
Gross Profit,11459250000.0,8421230000.0,5219900000.0,3819560000.0
Cost Of Revenue,15180690000.0,9747860000.0,5093100000.0,3816780000.0
Total Revenue,26639940000.0,18169090000.0,10313000000.0,7636340000.0
Operating Revenue,26639940000.0,18169090000.0,10313000000.0,7636340000.0
