,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,66186436.982119,0.0,-119182580.531224,
Tax Rate For Calcs,0.245874,0.265809,0.266942,0.281144,
Normalized EBITDA,6415000000.0,4650000000.0,4541000000.0,3070090000.0,
Total Unusual Items,0.0,1160000000.0,0.0,-423920000.0,
Total Unusual Items Excluding Goodwill,0.0,249000000.0,0.0,-423920000.0,
Net Income From Continuing Operation Net Minority Interest,4067000000.0,3367000000.0,2661000000.0,1647620000.0,
Reconciled Depreciation,802000000.0,761000000.0,598000000.0,334510000.0,
EBITDA,6415000000.0,5810000000.0,4541000000.0,2646170000.0,
EBIT,5613000000.0,5049000000.0,3943000000.0,2311660000.0,
Net Interest Income,-220000000.0,-198000000.0,-313000000.0,-51600000.0,
Interest Expense,220000000.0,463000000.0,313000000.0,46700000.0,
Interest Income,,,103050000.0,8030000.0,8850000.0
Normalized Income,4067000000.0,4095186436.982119,2661000000.0,1952357419.468776,
Net Income From Continuing And Discontinued Operation,4067000000.0,3367000000.0,2661000000.0,1647620000.0,
Total Expenses,23852000000.0,21548000000.0,19698000000.0,14106320000.0,
Rent Expense Supplemental,,,39660000.0,73050000.0,47480000.0
Diluted Average Shares,238954172.0,238896201.0,239268909.0,239268909.0,
Basic Average Shares,237142857.0,238896201.0,239268909.0,239268909.0,
Diluted EPS,17.02,14.093987,11.121378,6.88606,
Basic EPS,17.15,14.093987,11.121378,6.88606,
Diluted NI Availto Com Stockholders,4067000000.0,3367000000.0,2661000000.0,1647620000.0,
Net Income Common Stockholders,4067000000.0,3367000000.0,2661000000.0,1647620000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4067000000.0,3367000000.0,2661000000.0,1647620000.0,
Minority Interests,,,0.0,19440000.0,-80000.0
Net Income Including Noncontrolling Interests,4067000000.0,3367000000.0,2661000000.0,1628180000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-362690000.0
Net Income Continuous Operations,4067000000.0,3367000000.0,2661000000.0,1628180000.0,
Tax Provision,1326000000.0,1219000000.0,969000000.0,636780000.0,
Pretax Income,5393000000.0,4586000000.0,3630000000.0,2264960000.0,
Other Non Operating Income Expenses,1072000000.0,26000000.0,580000000.0,10970000.0,
Special Income Charges,0.0,84000000.0,0.0,-474060000.0,
Other Special Charges,,,,,-366120000.0
Write Off,,911000000.0,0.0,5070000.0,0.0
Restructuring And Mergern Acquisition,,-995000000.0,0.0,468990000.0,-82390000.0
Net Non Operating Interest Income Expense,-220000000.0,-198000000.0,-313000000.0,-51600000.0,
Total Other Finance Cost,,,80410000.0,12930000.0,14520000.0
Interest Expense Non Operating,220000000.0,463000000.0,313000000.0,46700000.0,
Interest Income Non Operating,,,103050000.0,8030000.0,8850000.0
Operating Income,4541000000.0,4348000000.0,3363000000.0,2539770000.0,
Operating Expense,23852000000.0,21548000000.0,19698000000.0,14106320000.0,
Other Operating Expenses,4898000000.0,3288000000.0,4452000000.0,2871320000.0,
Depreciation And Amortization In Income Statement,802000000.0,760000000.0,598000000.0,334510000.0,
Amortization,,,168080000.0,44630000.0,
Depreciation Income Statement,802000000.0,468000000.0,598000000.0,289880000.0,
Selling General And Administration,,,858090000.0,544610000.0,372450000.0
General And Administrative Expense,,,858090000.0,544610000.0,372450000.0
Rent And Landing Fees,,,39660000.0,73050000.0,47480000.0
Total Revenue,28393000000.0,25896000000.0,23061000000.0,16646090000.0,
Operating Revenue,28393000000.0,25896000000.0,23061000000.0,16646090000.0,
