,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,2006798899.479487,82016882.864926,586058100.0,5921314.203002,
Tax Rate For Calcs,0.319894,0.171802,0.3,0.22798,
Normalized EBITDA,-3078158000.0,1359404000.0,-1431304000.0,5223041000.0,
Total Unusual Items,6273329000.0,477391000.0,1953527000.0,25973000.0,
Total Unusual Items Excluding Goodwill,6273329000.0,477391000.0,1953527000.0,25973000.0,
Net Income From Continuing Operation Net Minority Interest,-1243620000.0,-2311720000.0,-1717040000.0,784626000.0,
Reconciled Depreciation,2394387000.0,2255677000.0,2192698000.0,2255291000.0,
Reconciled Cost Of Revenue,27979205000.0,30362193000.0,37010100000.0,25040950000.0,
EBITDA,3195171000.0,1836795000.0,522223000.0,5249014000.0,
EBIT,800784000.0,-418882000.0,-1670475000.0,2993723000.0,
Net Interest Income,-2507297000.0,-2264243000.0,-2070091000.0,-1764204000.0,
Interest Expense,2629366000.0,2364631000.0,2107245000.0,2139129000.0,
Interest Income,122069000.0,100388000.0,146828000.0,115256000.0,
Normalized Income,-5510150100.520513,-2707094117.135074,-3084508900.0,764574314.203002,
Net Income From Continuing And Discontinued Operation,-1436778000.0,-2273375000.0,-1717040000.0,784626000.0,
Total Expenses,47351387000.0,51207620000.0,59604746000.0,45983093000.0,
Rent Expense Supplemental,11476000.0,11532000.0,7569000.0,6661000.0,
Diluted Average Shares,309896936.0,309896936.0,309896936.0,309896936.0,
Basic Average Shares,309896936.0,309896936.0,309896936.0,309896936.0,
Diluted EPS,-4.636309,-7.32,-4.04,8.98,
Basic EPS,-4.636309,-7.32,-4.04,8.98,
Diluted NI Availto Com Stockholders,-1436778000.0,-2273375000.0,-1268948000.0,784626000.0,
Net Income Common Stockholders,-1436778000.0,-2273375000.0,-1268948000.0,784626000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1436778000.0,-2273375000.0,-1268948000.0,784626000.0,
Minority Interests,10000.0,-6421000.0,-18846000.0,-87281000.0,
Net Income Including Noncontrolling Interests,-1436788000.0,-2266954000.0,-1250102000.0,871907000.0,
Net Income Extraordinary,,-109366000.0,448092000.0,,7200000.0
Net Income Discontinuous Operations,-193158000.0,38345000.0,0.0,0.0,
Net Income Continuous Operations,-1243630000.0,-2305299000.0,-1698194000.0,871907000.0,
Tax Provision,-584952000.0,-478214000.0,-2079526000.0,194830000.0,
Pretax Income,-1828582000.0,-2783513000.0,-3777720000.0,854594000.0,
Other Non Operating Income Expenses,414551000.0,271655000.0,140524000.0,89005000.0,
Special Income Charges,4810233000.0,464757000.0,1949325000.0,1049000.0,
Other Special Charges,-4995738000.0,-515757000.0,-1949325000.0,-1049000.0,
Impairment Of Capital Assets,185505000.0,51000000.0,,,
Net Non Operating Interest Income Expense,-2507297000.0,-2264243000.0,-2070091000.0,-1764204000.0,
Total Other Finance Cost,,410146000.0,109674000.0,-259669000.0,7088000.0
Interest Expense Non Operating,2629366000.0,2364631000.0,2107245000.0,2139129000.0,
Interest Income Non Operating,122069000.0,100388000.0,146828000.0,115256000.0,
Operating Income,-5863626000.0,-1229074000.0,-3604286000.0,2599920000.0,
Operating Expense,19372182000.0,20845427000.0,22594646000.0,20942143000.0,
Other Operating Expenses,2017975000.0,1658971000.0,377205000.0,194670000.0,
Depreciation And Amortization In Income Statement,2394387000.0,2197871000.0,2192698000.0,2255291000.0,
Amortization,100731000.0,170925000.0,,,
Depreciation Income Statement,2293656000.0,2026946000.0,2192698000.0,2255291000.0,
Selling General And Administration,11143217000.0,13213334000.0,16437158000.0,15081632000.0,
Selling And Marketing Expense,10056012000.0,11858253000.0,14930809000.0,13712118000.0,
General And Administrative Expense,1087205000.0,1355081000.0,1506349000.0,1369514000.0,
Rent And Landing Fees,11476000.0,11532000.0,7569000.0,6661000.0,
Gross Profit,13508556000.0,19616353000.0,18990360000.0,23542063000.0,
Cost Of Revenue,27979205000.0,30362193000.0,37010100000.0,25040950000.0,
Total Revenue,41487761000.0,49978546000.0,56000460000.0,48583013000.0,
Operating Revenue,41487761000.0,49978546000.0,56000460000.0,48583013000.0,
