,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,586945128.0,544304700.0,413076420.0,247512256.0
Tax Rate For Calcs,0.2198,0.265,0.2355,0.2377
Normalized EBITDA,4791230000.0,2943530000.0,2351000000.0,3036630000.0
Total Unusual Items,2670360000.0,2053980000.0,1754040000.0,1041280000.0
Total Unusual Items Excluding Goodwill,2670360000.0,2053980000.0,1754040000.0,1041280000.0
Net Income From Continuing Operation Net Minority Interest,5506980000.0,3339530000.0,2838270000.0,2976180000.0
Reconciled Depreciation,329440000.0,364610000.0,310750000.0,119460000.0
Reconciled Cost Of Revenue,890700000.0,946000000.0,891260000.0,606500000.0
EBITDA,7461590000.0,4997510000.0,4105040000.0,4077910000.0
EBIT,7132150000.0,4632900000.0,3794290000.0,3958450000.0
Net Interest Income,-44750000.0,-62470000.0,-53550000.0,14360000.0
Interest Expense,74060000.0,89130000.0,81510000.0,54020000.0
Interest Income,29310000.0,26660000.0,27960000.0,68380000.0
Normalized Income,3423565128.0,1829854700.0,1497306420.0,2182412256.0
Net Income From Continuing And Discontinued Operation,5506980000.0,3339530000.0,2838270000.0,2976180000.0
Total Expenses,8961150000.0,9017230000.0,7481140000.0,4568550000.0
Rent Expense Supplemental,71650000.0,54440000.0,30140000.0,3680000.0
Diluted Average Shares,60129434.0,60673576.0,61278540.0,61467702.0
Basic Average Shares,59964206.0,60522532.0,61066500.0,60848400.0
Diluted EPS,91.59,55.04,46.32,48.42
Basic EPS,91.84,55.18,46.48,48.91
Diluted NI Availto Com Stockholders,5506980000.0,3339530000.0,2838270000.0,2976180000.0
Net Income Common Stockholders,5506980000.0,3339530000.0,2838270000.0,2976180000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5506980000.0,3339530000.0,2838270000.0,2976180000.0
Net Income Including Noncontrolling Interests,5506980000.0,3339530000.0,2838270000.0,2976180000.0
Net Income Continuous Operations,5506980000.0,3339530000.0,2838270000.0,2976180000.0
Tax Provision,1551110000.0,1204240000.0,874510000.0,928250000.0
Pretax Income,7058090000.0,4543770000.0,3712780000.0,3904430000.0
Other Non Operating Income Expenses,700000.0,1570000.0,8030000.0,2390000.0
Special Income Charges,-22670000.0,-11410000.0,7850000.0,3320000.0
Other Special Charges,-1140000.0,-6820000.0,-7850000.0,-3320000.0
Write Off,23810000.0,18230000.0,0.0,
Net Non Operating Interest Income Expense,-44750000.0,-62470000.0,-53550000.0,14360000.0
Interest Expense Non Operating,74060000.0,89130000.0,81510000.0,54020000.0
Interest Income Non Operating,29310000.0,26660000.0,27960000.0,68380000.0
Operating Income,4922290000.0,2950520000.0,2372850000.0,2966300000.0
Operating Expense,8070450000.0,8071230000.0,6589880000.0,3962050000.0
Other Operating Expenses,605460000.0,606600000.0,455310000.0,308660000.0
Depreciation And Amortization In Income Statement,329440000.0,364610000.0,310750000.0,119460000.0
Amortization,117130000.0,111810000.0,111630000.0,1140000.0
Depreciation Income Statement,212310000.0,252800000.0,199120000.0,118320000.0
Selling General And Administration,1024100000.0,1568110000.0,1514130000.0,838920000.0
Selling And Marketing Expense,861220000.0,1426120000.0,1351500000.0,747140000.0
General And Administrative Expense,162880000.0,141990000.0,162630000.0,91780000.0
Rent And Landing Fees,71650000.0,54440000.0,30140000.0,3680000.0
Gross Profit,12992740000.0,11021750000.0,8962730000.0,6928350000.0
Cost Of Revenue,890700000.0,946000000.0,891260000.0,606500000.0
Total Revenue,13883440000.0,11967750000.0,9853990000.0,7534850000.0
Operating Revenue,13883440000.0,11967750000.0,9853990000.0,7534850000.0
