,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,5100000.0,-5730000.0,510000.0,9150000.0
Tax Rate For Calcs,0.3,0.3,0.3,0.3
Total Unusual Items,17000000.0,-19100000.0,1700000.0,30500000.0
Total Unusual Items Excluding Goodwill,17000000.0,-19100000.0,1700000.0,30500000.0
Net Income From Continuing Operation Net Minority Interest,112614700000.0,84194100000.0,55723100000.0,41418100000.0
Reconciled Depreciation,5429400000.0,5311400000.0,5323900000.0,6008600000.0
Net Interest Income,252131800000.0,233089700000.0,202678700000.0,167591900000.0
Interest Expense,368262500000.0,323407600000.0,247172900000.0,221292500000.0
Interest Income,620394300000.0,556497300000.0,449851600000.0,388884400000.0
Normalized Income,112602800000.0,84207470000.0,55721910000.0,41396750000.0
Net Income From Continuing And Discontinued Operation,112614700000.0,84194100000.0,55723100000.0,41418100000.0
Diluted Average Shares,1346963981.0,1275121314.0,1245441139.0,1218410075.0
Basic Average Shares,1346963981.0,1275121314.0,1245441139.0,1218410075.0
Diluted EPS,83.61,66.03,44.74,33.99
Basic EPS,83.61,66.03,44.74,33.99
Diluted NI Availto Com Stockholders,112614700000.0,84194100000.0,55723100000.0,41418100000.0
Net Income Common Stockholders,112614700000.0,84194100000.0,55723100000.0,41418100000.0
Net Income,112614700000.0,84194100000.0,55723100000.0,41418100000.0
Minority Interests,-29200000.0,-31100000.0,-12100000.0,-23800000.0
Net Income Including Noncontrolling Interests,112643900000.0,84225200000.0,55735200000.0,41441900000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,112643900000.0,84225200000.0,55735200000.0,41441900000.0
Tax Provision,38925100000.0,29145100000.0,6594700000.0,-7310200000.0
Pretax Income,109948700000.0,81291500000.0,53304800000.0,39938900000.0
Special Income Charges,17000000.0,-19100000.0,1700000.0,30500000.0
Other Special Charges,-17000000.0,19100000.0,-1700000.0,-30500000.0
Gain On Sale Of Security,10534800000.0,13171900000.0,2960900000.0,12915600000.0
Operating Expense,161231500000.0,149528000000.0,127247600000.0,113535400000.0
Other Operating Expenses,38584100000.0,34828400000.0,30027600000.0,25572300000.0
Depreciation And Amortization In Income Statement,5429400000.0,5311400000.0,5323900000.0,6008600000.0
Depreciation Income Statement,5429400000.0,5311400000.0,5323900000.0,6008600000.0
Selling General And Administration,1347100000.0,1027300000.0,1697100000.0,981000000.0
Selling And Marketing Expense,467800000.0,319900000.0,943500000.0,302000000.0
General And Administrative Expense,879300000.0,707400000.0,753600000.0,679000000.0
Insurance And Claims,9309600000.0,8740100000.0,8135600000.0,7423100000.0
Rent And Landing Fees,6790500000.0,6400200000.0,6259300000.0,6154300000.0
Total Revenue,352229300000.0,318928300000.0,280722000000.0,241358500000.0
Operating Revenue,352229300000.0,318928300000.0,280722000000.0,241358500000.0
