,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,5370902.131519,-7864914.461749,-6963322.284508,-2860846.625257
Tax Rate For Calcs,0.269542,0.250619,0.250605,0.253105
Total Unusual Items,19926000.0,-31382000.0,-27786000.0,-11303000.0
Total Unusual Items Excluding Goodwill,19926000.0,-31382000.0,-27786000.0,-11303000.0
Net Income From Continuing Operation Net Minority Interest,25755400000.0,89773000000.0,74434978000.0,48050380000.0
Reconciled Depreciation,5322695000.0,4630397000.0,4072062000.0,3520235000.0
Net Interest Income,190313140000.0,206159194000.0,175921238000.0,150008445000.0
Interest Expense,296363503000.0,251322943000.0,187757967000.0,158215978000.0
Interest Income,486676643000.0,457482137000.0,363679205000.0,308224423000.0
Normalized Income,25740844902.13152,89796517085.53825,74455800677.71548,48058822153.37474
Net Income From Continuing And Discontinued Operation,25755400000.0,89773000000.0,74434978000.0,48050380000.0
Diluted Average Shares,779311314.0,778385308.0,776255183.0,775372364.0
Basic Average Shares,778814636.0,776986325.0,775248354.0,774094014.0
Diluted EPS,33.05,115.33,95.89,61.97
Basic EPS,33.07,115.54,96.01,62.07
Diluted NI Availto Com Stockholders,25755400000.0,89773000000.0,74434978000.0,48050380000.0
Net Income Common Stockholders,25755400000.0,89773000000.0,74434978000.0,48050380000.0
Net Income,25755400000.0,89773000000.0,74434978000.0,48050380000.0
Net Income Including Noncontrolling Interests,25755446000.0,89772929000.0,74434909000.0,48050408000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,25755446000.0,89772929000.0,74434909000.0,48050408000.0
Tax Provision,9503400000.0,30022100000.0,24890600000.0,16281800000.0
Pretax Income,35257500000.0,119792000000.0,99321873000.0,64328225000.0
Special Income Charges,19926000.0,-31382000.0,-27786000.0,-11303000.0
Other Special Charges,-19926000.0,31382000.0,27786000.0,11303000.0
Gain On Sale Of Security,6872867000.0,5054908000.0,-166272000.0,5303121000.0
Operating Expense,158248069000.0,143992733000.0,116471570000.0,114626457000.0
Other Operating Expenses,74983315000.0,70150201000.0,57627596000.0,65180816000.0
Depreciation And Amortization In Income Statement,5322695000.0,4630397000.0,4072062000.0,3520235000.0
Depreciation Income Statement,5322695000.0,4630397000.0,4072062000.0,3520235000.0
Selling General And Administration,2124720000.0,2337128000.0,1610571000.0,1193311000.0
Selling And Marketing Expense,1441565000.0,1597355000.0,951169000.0,670148000.0
General And Administrative Expense,683155000.0,739773000.0,659402000.0,523163000.0
Insurance And Claims,6711915000.0,5628917000.0,4964259000.0,4287941000.0
Rent And Landing Fees,8712107000.0,7440399000.0,6345802000.0,5664148000.0
Total Revenue,264968474000.0,294653778000.0,254676829000.0,220432085000.0
Operating Revenue,264968474000.0,294653778000.0,254676829000.0,220432085000.0
