,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,67073328.579061,44561781.659355,23644114.499128,15086777.052587,
Tax Rate For Calcs,0.24386,0.239645,0.252239,0.250903,
Normalized EBITDA,3009891000.0,2606500000.0,2130177000.0,1816050000.0,
Total Unusual Items,275049000.0,185949000.0,93737000.0,60130000.0,
Total Unusual Items Excluding Goodwill,275049000.0,185949000.0,93737000.0,60130000.0,
Net Income From Continuing Operation Net Minority Interest,2260286000.0,1960013000.0,1547381000.0,1304980000.0,
Reconciled Depreciation,250608000.0,181410000.0,139173000.0,121000000.0,
Reconciled Cost Of Revenue,7202452000.0,6123477000.0,5512293000.0,4442480000.0,
EBITDA,3284940000.0,2792449000.0,2223914000.0,1876180000.0,
EBIT,3034332000.0,2611039000.0,2084741000.0,1755180000.0,
Net Interest Income,-70536000.0,-34820000.0,-16375000.0,87840000.0,
Interest Expense,45091000.0,33278000.0,15389000.0,13110000.0,
Interest Income,14910000.0,21879000.0,20472000.0,111080000.0,
Normalized Income,2052310328.579061,1818625781.659355,1477288114.499128,1259936777.052587,
Net Income From Continuing And Discontinued Operation,2260286000.0,1960013000.0,1547381000.0,1304980000.0,
Total Expenses,10199026000.0,8723391000.0,7463880000.0,6023960000.0,
Rent Expense Supplemental,64150000.0,67893000.0,33262000.0,25480000.0,
Diluted Average Shares,91019000.0,91022000.0,90763500.0,90763500.0,
Basic Average Shares,90764000.0,90764000.0,90763500.0,90763500.0,
Diluted EPS,24.83,21.53,17.048494,14.377806,
Basic EPS,24.9,21.59,17.048494,14.377806,
Diluted NI Availto Com Stockholders,2260286000.0,1960013000.0,1547381000.0,1304980000.0,
Net Income Common Stockholders,2260286000.0,1960013000.0,1547381000.0,1304980000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2260286000.0,1960013000.0,1547381000.0,1304980000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,2260286000.0,1960013000.0,1547381000.0,1304980000.0,
Net Income Continuous Operations,2260286000.0,1960013000.0,1547381000.0,1304980000.0,
Tax Provision,728955000.0,617748000.0,521971000.0,437090000.0,
Pretax Income,2989241000.0,2577761000.0,2069352000.0,1742070000.0,
Other Non Operating Income Expenses,119657000.0,52641000.0,49441000.0,12520000.0,
Special Income Charges,68763000.0,-4338000.0,-16565000.0,-1190000.0,
Other Special Charges,-68763000.0,4338000.0,16565000.0,1190000.0,
Write Off,,,0.0,0.0,82720000.0
Net Non Operating Interest Income Expense,-70536000.0,-34820000.0,-16375000.0,87840000.0,
Total Other Finance Cost,40355000.0,23421000.0,21458000.0,10130000.0,
Interest Expense Non Operating,45091000.0,33278000.0,15389000.0,13110000.0,
Interest Income Non Operating,14910000.0,21879000.0,20472000.0,111080000.0,
Operating Income,2599255000.0,2336904000.0,1921868000.0,1556480000.0,
Operating Expense,2996574000.0,2599914000.0,1951587000.0,1581480000.0,
Other Operating Expenses,924370000.0,838812000.0,589589000.0,425000000.0,
Depreciation And Amortization In Income Statement,250608000.0,181410000.0,139173000.0,121000000.0,
Amortization,12451000.0,5004000.0,1903000.0,2450000.0,
Depreciation Income Statement,238157000.0,176406000.0,137270000.0,118550000.0,
Selling General And Administration,829978000.0,677753000.0,592432000.0,497120000.0,
Selling And Marketing Expense,573441000.0,496795000.0,477341000.0,403400000.0,
General And Administrative Expense,256537000.0,180958000.0,115091000.0,93720000.0,
Rent And Landing Fees,64150000.0,67893000.0,33262000.0,25480000.0,
Gross Profit,5595829000.0,4936818000.0,3873455000.0,3137960000.0,
Cost Of Revenue,7202452000.0,6123477000.0,5512293000.0,4442480000.0,
Total Revenue,12798281000.0,11060295000.0,9385748000.0,7580440000.0,
Operating Revenue,12798281000.0,11060295000.0,9385748000.0,7580440000.0,
