,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,13721702.345875,-30008400.0,-294234300.0,0.0
Tax Rate For Calcs,0.189547,0.3,0.3,0.260953
Normalized EBITDA,8076211000.0,2640493000.0,-2091398000.0,-2816700000.0
Total Unusual Items,72392000.0,-100028000.0,-980781000.0,236139000.0
Total Unusual Items Excluding Goodwill,72392000.0,-100028000.0,-980781000.0,236139000.0
Net Income From Continuing Operation Net Minority Interest,4456475000.0,-335217000.0,-6512854000.0,-4802000000.0
Reconciled Depreciation,1823070000.0,1126947000.0,1061640000.0,886700000.0
Reconciled Cost Of Revenue,22729302000.0,12299013000.0,6569839000.0,5075400000.0
EBITDA,8148603000.0,2540465000.0,-3072179000.0,-2816700000.0
EBIT,6325533000.0,1413518000.0,-4133819000.0,-3703400000.0
Net Interest Income,-1476275000.0,-2214997000.0,-3065864000.0,-2826900000.0
Interest Expense,957430000.0,1840455000.0,2551434000.0,2826900000.0
Interest Income,213545000.0,183656000.0,105350000.0,74922000.0
Normalized Income,4397804702.345875,-265197400.0,-5826307300.0,-4802000000.0
Net Income From Continuing And Discontinued Operation,4482167000.0,-356518000.0,-6668747000.0,-4802000000.0
Total Expenses,29317017000.0,15080680000.0,9919817000.0,10237000000.0
Rent Expense Supplemental,330410000.0,257702000.0,333176000.0,147558000.0
Diluted Average Shares,1647541317.0,1647541317.0,1322590070.0,895857989.0
Basic Average Shares,1647541317.0,1647541317.0,1322590070.0,895857989.0
Diluted EPS,2.710918,-0.276021,-5.042187,-5.360225
Basic EPS,2.710918,-0.276021,-5.042187,-5.360225
Diluted NI Availto Com Stockholders,4482167000.0,-356518000.0,-6668747000.0,-4802000000.0
Net Income Common Stockholders,4482167000.0,-356518000.0,-6668747000.0,-4802000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4482167000.0,-356518000.0,-6668747000.0,-4802000000.0
Minority Interests,105881000.0,124934000.0,38243000.0,24200000.0
Net Income Including Noncontrolling Interests,4376286000.0,-481452000.0,-7124265000.0,-4826200000.0
Net Income Discontinuous Operations,25692000.0,-21301000.0,-155893000.0,
Net Income Continuous Operations,4350594000.0,-460151000.0,-6968372000.0,-4826200000.0
Tax Provision,1017509000.0,33214000.0,283119000.0,-1704100000.0
Pretax Income,5368103000.0,-426937000.0,-6685253000.0,-6530300000.0
Other Non Operating Income Expenses,976489000.0,338553000.0,1347000.0,307000000.0
Special Income Charges,-70074000.0,-110291000.0,-981825000.0,-368253000.0
Other Special Charges,65022000.0,110291000.0,981825000.0,368253000.0
Write Off,5052000.0,0.0,306582000.0,300885000.0
Net Non Operating Interest Income Expense,-1476275000.0,-2214997000.0,-3065864000.0,-2826900000.0
Total Other Finance Cost,732390000.0,558198000.0,619780000.0,475719000.0
Interest Expense Non Operating,957430000.0,1840455000.0,2551434000.0,2826900000.0
Interest Income Non Operating,213545000.0,183656000.0,105350000.0,74922000.0
Operating Income,5754058000.0,1513851000.0,-2612003000.0,-3990800000.0
Operating Expense,6587715000.0,2781667000.0,3349978000.0,5161600000.0
Other Operating Expenses,2466274000.0,833960000.0,1403076000.0,3851200000.0
Depreciation And Amortization In Income Statement,1823070000.0,1126947000.0,984103000.0,886700000.0
Amortization,447136000.0,72913000.0,52231000.0,37476000.0
Depreciation Income Statement,1375934000.0,1054034000.0,931872000.0,886700000.0
Selling General And Administration,999252000.0,565005000.0,406297000.0,403509000.0
Selling And Marketing Expense,418500000.0,218000000.0,157375000.0,176595000.0
General And Administrative Expense,580752000.0,347005000.0,248922000.0,226914000.0
Rent And Landing Fees,98759000.0,27108000.0,19396000.0,25812000.0
Gross Profit,12341773000.0,4295518000.0,737975000.0,1170800000.0
Cost Of Revenue,22729302000.0,12299013000.0,6569839000.0,5075400000.0
Total Revenue,35071075000.0,16594531000.0,7307814000.0,6246200000.0
Operating Revenue,35071075000.0,16594531000.0,7307814000.0,6246200000.0
