,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-27673444.081594,-45613119.861053,-84471295.373293,-40150121.88304
Tax Rate For Calcs,0.246315,0.300264,0.260778,0.151848
Normalized EBITDA,6155410000.0,6162170000.0,5204370000.0,5414570000.0
Total Unusual Items,-112350000.0,-151910000.0,-323920000.0,-264410000.0
Total Unusual Items Excluding Goodwill,-112350000.0,-151910000.0,-323920000.0,-264410000.0
Net Income From Continuing Operation Net Minority Interest,3327720000.0,3211880000.0,2672270000.0,3490820000.0
Reconciled Depreciation,1564110000.0,1372230000.0,1215110000.0,975620000.0
Reconciled Cost Of Revenue,15678420000.0,15343030000.0,14037450000.0,11029030000.0
EBITDA,6043060000.0,6010260000.0,4880450000.0,5150160000.0
EBIT,4478950000.0,4638030000.0,3665340000.0,4174540000.0
Net Interest Income,475460000.0,383590000.0,226260000.0,74470000.0
Interest Expense,41860000.0,26190000.0,31870000.0,42710000.0
Interest Income,552510000.0,438720000.0,291280000.0,147040000.0
Normalized Income,3412396555.918406,3318176880.138947,2911718704.626707,3715079878.11696
Net Income From Continuing And Discontinued Operation,3327720000.0,3211880000.0,2672270000.0,3490820000.0
Total Expenses,21016990000.0,20755580000.0,18779480000.0,14596820000.0
Rent Expense Supplemental,73130000.0,26040000.0,13590000.0,4260000.0
Diluted Average Shares,141006986.0,140585319.0,138966064.0,138869074.0
Basic Average Shares,137018697.0,135434964.0,134288855.0,132999709.0
Diluted EPS,23.6,22.85,19.23,25.14
Basic EPS,24.29,23.72,19.9,26.25
Diluted NI Availto Com Stockholders,3327720000.0,3211880000.0,2672270000.0,3490820000.0
Net Income Common Stockholders,3327720000.0,3211880000.0,2672270000.0,3490820000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3327720000.0,3211880000.0,2672270000.0,3490820000.0
Minority Interests,-16450000.0,-15190000.0,-13670000.0,-13600000.0
Net Income Including Noncontrolling Interests,3344170000.0,3227070000.0,2685940000.0,3504420000.0
Net Income Continuous Operations,3344170000.0,3227070000.0,2685940000.0,3504420000.0
Tax Provision,1092920000.0,1384770000.0,947530000.0,627410000.0
Pretax Income,4437090000.0,4611840000.0,3633470000.0,4131830000.0
Other Non Operating Income Expenses,68810000.0,69200000.0,51470000.0,74140000.0
Special Income Charges,-204760000.0,-232010000.0,-363410000.0,-310050000.0
Other Special Charges,-1730000.0,-1660000.0,2440000.0,-100130000.0
Write Off,206490000.0,233670000.0,360970000.0,410180000.0
Net Non Operating Interest Income Expense,475460000.0,383590000.0,226260000.0,74470000.0
Total Other Finance Cost,35190000.0,28940000.0,33150000.0,29860000.0
Interest Expense Non Operating,41860000.0,26190000.0,31870000.0,42710000.0
Interest Income Non Operating,552510000.0,438720000.0,291280000.0,147040000.0
Operating Income,3983050000.0,4308850000.0,3533040000.0,4185040000.0
Operating Expense,5338570000.0,5412550000.0,4742030000.0,3567790000.0
Other Operating Expenses,1252040000.0,1381530000.0,1110280000.0,543420000.0
Depreciation And Amortization In Income Statement,1564110000.0,1372230000.0,1215110000.0,975620000.0
Amortization,1144320000.0,996310000.0,877510000.0,661150000.0
Depreciation Income Statement,419790000.0,375920000.0,337600000.0,314470000.0
Selling General And Administration,1041430000.0,1286220000.0,1227570000.0,1086610000.0
Selling And Marketing Expense,465180000.0,608530000.0,460670000.0,407850000.0
General And Administrative Expense,576250000.0,677690000.0,766900000.0,678760000.0
Rent And Landing Fees,73130000.0,26040000.0,13590000.0,4260000.0
Gross Profit,9321620000.0,9721400000.0,8275070000.0,7752830000.0
Cost Of Revenue,15678420000.0,15343030000.0,14037450000.0,11029030000.0
Total Revenue,25000040000.0,25064430000.0,22312520000.0,18781860000.0
Operating Revenue,25000040000.0,25064430000.0,22312520000.0,18781860000.0
