,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,5387700.0,6642900.0,4751400.0,3601500.0
Tax Rate For Calcs,0.3,0.3,0.3,0.3
Total Unusual Items,17959000.0,22143000.0,15838000.0,12005000.0
Total Unusual Items Excluding Goodwill,17959000.0,22143000.0,15838000.0,12005000.0
Net Income From Continuing Operation Net Minority Interest,33955037000.0,26656601000.0,21039896000.0,17092745000.0
Reconciled Depreciation,3944557000.0,3363692000.0,2604201000.0,1725589000.0
Net Interest Income,108991655000.0,98391666000.0,82606820000.0,63163563000.0
Interest Expense,172444760000.0,142265004000.0,111462890000.0,104194858000.0
Interest Income,281436415000.0,240656670000.0,194069710000.0,167358421000.0
Normalized Income,33942465700.0,26641100900.0,21028809400.0,17084341500.0
Net Income From Continuing And Discontinued Operation,33955037000.0,26656601000.0,21039896000.0,17092745000.0
Diluted Average Shares,18990956640.0,18902412256.0,18902412256.0,18902412256.0
Basic Average Shares,18990956640.0,18902412256.0,18902412256.0,18902412256.0
Diluted EPS,1.76,1.4,1.15,0.92
Basic EPS,1.76,1.4,1.15,0.92
Diluted NI Availto Com Stockholders,33955037000.0,26656601000.0,21039896000.0,17092745000.0
Net Income Common Stockholders,33955037000.0,26656601000.0,21039896000.0,17092745000.0
Net Income,33955037000.0,26656601000.0,21039896000.0,17092745000.0
Net Income Including Noncontrolling Interests,33955037000.0,26656601000.0,21039896000.0,17092747000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,33955037000.0,26656601000.0,21039896000.0,17092747000.0
Tax Provision,11770100000.0,7570800000.0,2493400000.0,696900000.0
Pretax Income,33955037000.0,26656601000.0,21039896000.0,17092747000.0
Special Income Charges,17959000.0,22143000.0,15838000.0,12005000.0
Other Special Charges,-17959000.0,-22143000.0,-15838000.0,-12005000.0
Gain On Sale Of Security,5243304000.0,10228610000.0,-644596000.0,7421415000.0
Operating Expense,77562652000.0,87305303000.0,64298139000.0,54589716000.0
Other Operating Expenses,16374445000.0,13039919000.0,11742864000.0,9643815000.0
Depreciation And Amortization In Income Statement,3952298000.0,3363692000.0,2604201000.0,1725589000.0
Depreciation Income Statement,3952298000.0,3363692000.0,2604201000.0,1725589000.0
Selling General And Administration,819741000.0,667888000.0,576201000.0,638130000.0
Selling And Marketing Expense,104206000.0,51010000.0,14249000.0,4409000.0
General And Administrative Expense,715535000.0,616878000.0,561952000.0,633721000.0
Insurance And Claims,4108780000.0,3502303000.0,3409746000.0,3229921000.0
Rent And Landing Fees,5603809000.0,5287182000.0,4932394000.0,4459266000.0
Total Revenue,165040363000.0,155022553000.0,123755456000.0,112204886000.0
Operating Revenue,165040363000.0,155022553000.0,123755456000.0,112204886000.0
