,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,107282660.0,80688400.0,3346200.0,-5744640.0,
Tax Rate For Calcs,0.2251,0.263,0.143,0.1408,
Normalized EBITDA,12734100000.0,15807200000.0,12953600000.0,9534300000.0,
Total Unusual Items,476600000.0,306800000.0,23400000.0,-40800000.0,
Total Unusual Items Excluding Goodwill,476600000.0,306800000.0,23400000.0,-40800000.0,
Net Income From Continuing Operation Net Minority Interest,7274100000.0,9295700000.0,7652300000.0,5923400000.0,
Reconciled Depreciation,1178800000.0,1004300000.0,1070400000.0,944200000.0,
Reconciled Cost Of Revenue,97646900000.0,111973400000.0,95327200000.0,66366400000.0,
EBITDA,13210700000.0,16114000000.0,12977000000.0,9493500000.0,
EBIT,12031900000.0,15109700000.0,11906600000.0,8549300000.0,
Net Interest Income,691300000.0,1693100000.0,2404500000.0,1233000000.0,
Interest Expense,2641700000.0,2498400000.0,2996600000.0,1662800000.0,
Interest Income,3370100000.0,4215000000.0,5417300000.0,2953500000.0,
Normalized Income,6904782660.0,9069588400.0,7632246200.0,5958455360.0,
Net Income From Continuing And Discontinued Operation,7274100000.0,9295700000.0,7652300000.0,5923400000.0,
Total Expenses,98103500000.0,112659600000.0,97506900000.0,68525600000.0,
Rent Expense Supplemental,124700000.0,134200000.0,181200000.0,175100000.0,
Diluted Average Shares,940515740.0,940515740.0,940515740.0,940515740.0,
Basic Average Shares,940515740.0,940515740.0,940515740.0,940515740.0,
Diluted EPS,7.73,9.88,8.14,6.3,
Basic EPS,7.73,9.88,8.14,6.3,
Diluted NI Availto Com Stockholders,7274100000.0,9295700000.0,7652300000.0,5923400000.0,
Net Income Common Stockholders,7274100000.0,9295700000.0,7652300000.0,5923400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,7274100000.0,9295700000.0,7652300000.0,5923400000.0,
Minority Interests,-4200000.0,600000.0,0.0,700000.0,
Net Income Including Noncontrolling Interests,7278300000.0,9295100000.0,7652300000.0,5922700000.0,
Net Income Continuous Operations,7278300000.0,9295100000.0,7652300000.0,5922700000.0,
Tax Provision,2111900000.0,3316200000.0,1257700000.0,963800000.0,
Pretax Income,9390200000.0,12611300000.0,8910000000.0,6886500000.0,
Other Non Operating Income Expenses,113600000.0,72100000.0,164400000.0,184900000.0,
Special Income Charges,-26000000.0,3300000.0,20200000.0,-52300000.0,
Other Special Charges,26000000.0,-3300000.0,-24400000.0,44800000.0,
Write Off,0.0,0.0,4200000.0,7500000.0,
Impairment Of Capital Assets,,,0.0,0.0,0.0
Net Non Operating Interest Income Expense,691300000.0,1693100000.0,2404500000.0,1233000000.0,
Total Other Finance Cost,37100000.0,23500000.0,16200000.0,57700000.0,
Interest Expense Non Operating,2641700000.0,2498400000.0,2996600000.0,1662800000.0,
Interest Income Non Operating,3370100000.0,4215000000.0,5417300000.0,2953500000.0,
Operating Income,7294500000.0,10351400000.0,5965900000.0,5048900000.0,
Operating Expense,456600000.0,686200000.0,2179700000.0,2159200000.0,
Other Operating Expenses,442900000.0,401800000.0,315600000.0,258600000.0,
Depreciation And Amortization In Income Statement,1178800000.0,1004300000.0,1070400000.0,944200000.0,
Amortization,731600000.0,647700000.0,680300000.0,664100000.0,
Depreciation Income Statement,447200000.0,356600000.0,390100000.0,280100000.0,
Selling General And Administration,298700000.0,248100000.0,166400000.0,140700000.0,
Selling And Marketing Expense,28500000.0,23500000.0,32800000.0,25600000.0,
General And Administrative Expense,270200000.0,224600000.0,133600000.0,115100000.0,
Rent And Landing Fees,9700000.0,10600000.0,6600000.0,6400000.0,
Gross Profit,7751100000.0,11037600000.0,8145600000.0,7208100000.0,
Cost Of Revenue,97646900000.0,111973400000.0,95327200000.0,66366400000.0,
Total Revenue,105398000000.0,123011000000.0,103472800000.0,73574500000.0,
Operating Revenue,105398000000.0,123011000000.0,103472800000.0,73574500000.0,
