,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-405164170.0,306405300.0,-74080493.5,-434904353.1253,
Tax Rate For Calcs,0.1951,0.2577,0.2405,0.24023,
Normalized EBITDA,42464600000.0,27324200000.0,20914220000.0,19190680000.0,
Total Unusual Items,-2076700000.0,1189000000.0,-308027000.0,-1810370000.0,
Total Unusual Items Excluding Goodwill,-2076700000.0,1189000000.0,-308027000.0,-1810370000.0,
Net Income From Continuing Operation Net Minority Interest,16983400000.0,12522400000.0,8646283000.0,6335280000.0,
Reconciled Depreciation,388700000.0,303500000.0,234984000.0,232430000.0,
Reconciled Cost Of Revenue,23083300000.0,20863600000.0,12423378000.0,7532360000.0,
EBITDA,40387900000.0,28513200000.0,20606193000.0,17380310000.0,
EBIT,39999200000.0,28209700000.0,20371209000.0,17147880000.0,
Net Interest Income,-18038200000.0,-10609100000.0,-8017273000.0,-8122540000.0,
Interest Expense,18963800000.0,11357200000.0,8978717000.0,8809480000.0,
Interest Income,925600000.0,748100000.0,961444000.0,686940000.0,
Normalized Income,18654935830.0,11639805300.0,8880229506.5,7710745646.8747,
Net Income From Continuing And Discontinued Operation,16983400000.0,12522400000.0,8646283000.0,6335280000.0,
Total Expenses,24616500000.0,22274300000.0,13471838000.0,9204520000.0,
Rent Expense Supplemental,141300000.0,160500000.0,158520000.0,876880000.0,
Diluted Average Shares,2687764706.0,2425597493.0,2687764706.0,2687764706.0,
Basic Average Shares,2687764706.0,2425597493.0,2687764706.0,2687764706.0,
Diluted EPS,6.32,5.16,3.216905,2.357081,
Basic EPS,6.32,5.16,3.216905,2.357081,
Diluted NI Availto Com Stockholders,16983400000.0,12522400000.0,8646283000.0,6335280000.0,
Net Income Common Stockholders,16983400000.0,12522400000.0,8646283000.0,6335280000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,16983400000.0,12522400000.0,8646283000.0,6335280000.0,
Net Income Including Noncontrolling Interests,16983400000.0,12522400000.0,8646283000.0,6335280000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,,
Net Income Continuous Operations,16983400000.0,12522400000.0,8646283000.0,6335270000.0,
Tax Provision,4052000000.0,4330100000.0,2746209000.0,2003130000.0,
Pretax Income,21035400000.0,16852500000.0,11392492000.0,8338400000.0,
Other Non Operating Income Expenses,7500000.0,600000.0,1207000.0,137910000.0,
Special Income Charges,-2208000000.0,1301600000.0,-432306000.0,-1814500000.0,
Other Special Charges,5400000.0,6400000.0,1301000.0,-790000.0,
Write Off,2202600000.0,-1308000000.0,431005000.0,1815290000.0,
Net Non Operating Interest Income Expense,-18038200000.0,-10609100000.0,-8017273000.0,-8122540000.0,
Total Other Finance Cost,,,17620000.0,29740000.0,27610000.0
Interest Expense Non Operating,18963800000.0,11357200000.0,8978717000.0,8809480000.0,
Interest Income Non Operating,925600000.0,748100000.0,961444000.0,686940000.0,
Operating Income,41569700000.0,26106700000.0,19956841000.0,18592290000.0,
Operating Expense,1533200000.0,1410700000.0,1048460000.0,1672160000.0,
Other Operating Expenses,492700000.0,431000000.0,208847000.0,344760000.0,
Depreciation And Amortization In Income Statement,388700000.0,303500000.0,234984000.0,232430000.0,
Amortization,8500000.0,6300000.0,364000.0,610000.0,
Depreciation Income Statement,380200000.0,297200000.0,234620000.0,231820000.0,
Selling General And Administration,307100000.0,364500000.0,323723000.0,98660000.0,
Selling And Marketing Expense,81600000.0,105700000.0,187093000.0,39390000.0,
General And Administrative Expense,225500000.0,258800000.0,136630000.0,59270000.0,
Rent And Landing Fees,141300000.0,160500000.0,158520000.0,876880000.0,
Gross Profit,43102900000.0,27517400000.0,21005301000.0,20264450000.0,
Cost Of Revenue,23083300000.0,20863600000.0,12423378000.0,7532360000.0,
Total Revenue,66186200000.0,48381000000.0,33428679000.0,27796810000.0,
Operating Revenue,66186200000.0,48381000000.0,33428679000.0,27796810000.0,
