,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-1.571389
Tax Rate For Calcs,0.0,0.0,0.0,5.2e-05
Normalized EBITDA,144985700000.0,121361900000.0,112924660000.0,115640350000.0
Total Unusual Items,2000000.0,79400000.0,-170000.0,-30000.0
Total Unusual Items Excluding Goodwill,2000000.0,79400000.0,-170000.0,-30000.0
Net Income From Continuing Operation Net Minority Interest,65020000000.0,64121100000.0,61671560000.0,60898360000.0
Reconciled Depreciation,53100000.0,94400000.0,140620000.0,140250000.0
Reconciled Cost Of Revenue,124632000000.0,143298200000.0,123242010000.0,85740860000.0
EBITDA,144987700000.0,121441300000.0,112953580000.0,115640320000.0
EBIT,144934600000.0,121346900000.0,112812960000.0,115500070000.0
Net Interest Income,-79555700000.0,-56666200000.0,-50626840000.0,-54910200000.0
Interest Expense,79914600000.0,57225800000.0,51141400000.0,54598520000.0
Interest Income,874300000.0,1142600000.0,708380000.0,181070000.0
Normalized Income,65018000000.0,64041700000.0,61642640000.0,60898389998.42861
Net Income From Continuing And Discontinued Operation,65020000000.0,64121100000.0,61671560000.0,60898360000.0
Total Expenses,126113700000.0,144668200000.0,124620760000.0,87022970000.0
Rent Expense Supplemental,5100000.0,1300000.0,2620000.0,3940000.0
Diluted Average Shares,13068506000.0,13068506000.0,13068506000.0,13068506000.0
Basic Average Shares,13068506000.0,13068506000.0,13068506000.0,13068506000.0
Diluted EPS,4.98,4.91,4.72,4.66
Basic EPS,4.98,4.91,4.72,4.66
Diluted NI Availto Com Stockholders,65020000000.0,64121100000.0,61671560000.0,60898360000.0
Net Income Common Stockholders,65020000000.0,64121100000.0,61671560000.0,60898360000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,65020000000.0,64121100000.0,61671560000.0,60898360000.0
Net Income Including Noncontrolling Interests,65020000000.0,64121100000.0,61671560000.0,60898360000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,65020000000.0,64121100000.0,61671560000.0,60898360000.0
Tax Provision,0.0,0.0,0.0,3190000.0
Pretax Income,65020000000.0,64121100000.0,61671560000.0,60901550000.0
Other Non Operating Income Expenses,32300000.0,64000000.0,406700000.0,22150000.0
Special Income Charges,2000000.0,79400000.0,-170000.0,-30000.0
Other Special Charges,-2000000.0,-40100000.0,170000.0,30000.0
Write Off,6800000.0,-39300000.0,-29090000.0,4610000.0
Net Non Operating Interest Income Expense,-79555700000.0,-56666200000.0,-50626840000.0,-54910200000.0
Total Other Finance Cost,515400000.0,583000000.0,193820000.0,492750000.0
Interest Expense Non Operating,79914600000.0,57225800000.0,51141400000.0,54598520000.0
Interest Income Non Operating,874300000.0,1142600000.0,708380000.0,181070000.0
Operating Income,144531800000.0,120636000000.0,111857130000.0,115779820000.0
Operating Expense,1481700000.0,1370000000.0,1378750000.0,1282110000.0
Other Operating Expenses,1342800000.0,1195800000.0,1147190000.0,1060130000.0
Depreciation And Amortization In Income Statement,53100000.0,94400000.0,140620000.0,140250000.0
Amortization,4000000.0,4000000.0,3880000.0,2670000.0
Depreciation Income Statement,49100000.0,90400000.0,136740000.0,137580000.0
Selling General And Administration,55500000.0,57400000.0,60940000.0,50890000.0
Selling And Marketing Expense,31700000.0,36800000.0,30710000.0,25390000.0
General And Administrative Expense,23800000.0,20600000.0,30230000.0,25500000.0
Rent And Landing Fees,5100000.0,1300000.0,2620000.0,3940000.0
Gross Profit,146013500000.0,122006000000.0,113264970000.0,117061930000.0
Cost Of Revenue,124632000000.0,143298200000.0,123242010000.0,85740860000.0
Total Revenue,270645500000.0,265304200000.0,236506980000.0,202802790000.0
Operating Revenue,270645500000.0,265304200000.0,236506980000.0,202802790000.0
