,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,2882747.688939,2761999.875214,3924617.833634,-876039211.484894,
Tax Rate For Calcs,0.290073,0.258857,0.328915,0.324459,
Total Unusual Items,9938000.0,10670000.0,11932000.0,-2700000000.0,
Total Unusual Items Excluding Goodwill,9938000.0,10670000.0,11932000.0,-2700000000.0,
Net Income From Continuing Operation Net Minority Interest,20817862000.0,17712245000.0,11805170000.0,4948500000.0,
Reconciled Depreciation,1680096000.0,2176231000.0,1576556000.0,1440900000.0,
Net Interest Income,57998254000.0,52052721000.0,47457901000.0,39115600000.0,
Interest Expense,67412570000.0,60079311000.0,46094380000.0,41013400000.0,
Interest Income,125410824000.0,112132032000.0,93552281000.0,80129000000.0,
Normalized Income,20810806747.68894,17704336999.875214,11797162617.833633,6772460788.515106,
Net Income From Continuing And Discontinued Operation,20817862000.0,17712245000.0,11805170000.0,4948500000.0,
Diluted Average Shares,1101182463.0,1052047842.0,963589450.0,830285235.0,
Basic Average Shares,1101182463.0,1052047842.0,963589450.0,830285235.0,
Diluted EPS,18.91,16.84,12.25,5.96,
Basic EPS,18.91,16.84,12.25,5.96,
Diluted NI Availto Com Stockholders,20817862000.0,17712245000.0,11805170000.0,4948500000.0,
Net Income Common Stockholders,20817862000.0,17712245000.0,11805170000.0,4948500000.0,
Net Income,20817862000.0,17712245000.0,11805170000.0,4948500000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,20817789000.0,17712252000.0,11805023000.0,4948500000.0,
Net Income Extraordinary,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,20817789000.0,17712252000.0,11805023000.0,4948500000.0,
Tax Provision,8524300000.0,6181700000.0,5874500000.0,2422800000.0,
Pretax Income,29386718000.0,23880790000.0,17860219000.0,7467200000.0,
Special Income Charges,9938000.0,10670000.0,11932000.0,-2700000000.0,
Other Special Charges,,-10670000.0,-11932000.0,-2864000.0,-2844000.0
Gain On Sale Of Security,534135000.0,1033782000.0,391391000.0,1246070000.0,
Operating Expense,40150503000.0,37671763000.0,36491299000.0,33950500000.0,
Other Operating Expenses,7034816000.0,6445998000.0,4943845000.0,9899700000.0,
Depreciation And Amortization In Income Statement,1680097000.0,2176231000.0,1576556000.0,1440866000.0,
Amortization,0.0,0.0,0.0,,
Depreciation Income Statement,1680097000.0,2176231000.0,1576556000.0,1440866000.0,
Selling General And Administration,474009000.0,461229000.0,369870000.0,363214000.0,
Selling And Marketing Expense,121802000.0,115760000.0,51323000.0,13471000.0,
General And Administrative Expense,352207000.0,345469000.0,318547000.0,349743000.0,
Insurance And Claims,1816002000.0,1636025000.0,1441450000.0,1293846000.0,
Rent And Landing Fees,1230305000.0,1129500000.0,1046554000.0,979733000.0,
Total Revenue,70360383000.0,59659983000.0,54263786000.0,46650400000.0,
Operating Revenue,70360383000.0,59659983000.0,54263786000.0,46650400000.0,
