,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-1423036.028342,12027069.135648,5294028.448957,-2978996.293215,
Tax Rate For Calcs,0.214345,0.212816,0.261899,0.163888,
Normalized EBITDA,6874069000.0,5924646000.0,4186471000.0,3518169000.0,
Total Unusual Items,-6639000.0,56514000.0,20214000.0,-18177000.0,
Total Unusual Items Excluding Goodwill,-6639000.0,56514000.0,20214000.0,-18177000.0,
Net Income From Continuing Operation Net Minority Interest,2019115000.0,1788265000.0,1243834000.0,1561908000.0,
Reconciled Depreciation,1747345000.0,1714747000.0,1303149000.0,914336000.0,
Reconciled Cost Of Revenue,38192041000.0,36743105000.0,28305985000.0,23753520000.0,
EBITDA,6867430000.0,5981160000.0,4206685000.0,3499992000.0,
EBIT,5120085000.0,4266413000.0,2903536000.0,2585656000.0,
Net Interest Income,-2022763000.0,-1894550000.0,-1090331000.0,-704016000.0,
Interest Expense,2388208000.0,1805425000.0,1208219000.0,715302000.0,
Interest Income,435575000.0,61821000.0,155956000.0,29798000.0,
Normalized Income,2024330963.971658,1743778069.135648,1228914028.448957,1577106003.706785,
Net Income From Continuing And Discontinued Operation,2019115000.0,1788265000.0,1243834000.0,1561908000.0,
Total Expenses,46885249000.0,43084909000.0,32542073000.0,26775080000.0,
Rent Expense Supplemental,53758000.0,41029000.0,46983000.0,32642000.0,
Diluted Average Shares,236494264.0,236494264.0,236494264.0,236494264.0,
Basic Average Shares,236494264.0,236494264.0,236494264.0,236494264.0,
Diluted EPS,8.54,7.56,5.26,6.615,
Basic EPS,8.54,7.56,5.26,6.615,
Diluted NI Availto Com Stockholders,2019115000.0,1788265000.0,1243834000.0,1561908000.0,
Net Income Common Stockholders,2019115000.0,1788265000.0,1243834000.0,1561908000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2019115000.0,1788265000.0,1243834000.0,1561908000.0,
Minority Interests,-127198000.0,-148986000.0,-7481000.0,-1917000.0,
Net Income Including Noncontrolling Interests,2146313000.0,1937251000.0,1251315000.0,1563825000.0,
Net Income Continuous Operations,2146313000.0,1937251000.0,1251315000.0,1563825000.0,
Tax Provision,585564000.0,523737000.0,444002000.0,306529000.0,
Pretax Income,2731877000.0,2460988000.0,1695317000.0,1870354000.0,
Other Non Operating Income Expenses,58648000.0,55161000.0,31985000.0,22874000.0,
Special Income Charges,4546000.0,8104000.0,2883000.0,-18177000.0,
Other Special Charges,-4546000.0,-8104000.0,-2883000.0,-6028000.0,
Write Off,,,0.0,24205000.0,
Net Non Operating Interest Income Expense,-2022763000.0,-1894550000.0,-1090331000.0,-704016000.0,
Total Other Finance Cost,70130000.0,150946000.0,38068000.0,18512000.0,
Interest Expense Non Operating,2388208000.0,1805425000.0,1208219000.0,715302000.0,
Interest Income Non Operating,435575000.0,61821000.0,155956000.0,29798000.0,
Operating Income,5074022000.0,4146951000.0,2746541000.0,2686885000.0,
Operating Expense,8693208000.0,6341804000.0,4236088000.0,3021560000.0,
Other Operating Expenses,1402213000.0,1334403000.0,1262447000.0,927138000.0,
Depreciation And Amortization In Income Statement,1747345000.0,1714747000.0,1303149000.0,914336000.0,
Amortization,345253000.0,324825000.0,257650000.0,174843000.0,
Depreciation Income Statement,1402092000.0,1389922000.0,1045499000.0,739493000.0,
Selling General And Administration,2784824000.0,1638887000.0,1185620000.0,814023000.0,
Selling And Marketing Expense,,469962000.0,460585000.0,377157000.0,225366000.0
General And Administrative Expense,2224138000.0,1168925000.0,725035000.0,436866000.0,
Rent And Landing Fees,53758000.0,41029000.0,46983000.0,32642000.0,
Gross Profit,13767230000.0,10488755000.0,6982629000.0,5708445000.0,
Cost Of Revenue,38192041000.0,36743105000.0,28305985000.0,23753520000.0,
Total Revenue,51959271000.0,47231860000.0,35288614000.0,29461965000.0,
Operating Revenue,54723300000.0,50093500000.0,35288614000.0,29461965000.0,
