,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,3826563.88652,39463212.837171,-40854208.629436,87549793.94026
Tax Rate For Calcs,0.379281,0.281087,0.372072,0.395162
Normalized EBITDA,34186361000.0,33412477000.0,16737805000.0,14433179000.0
Total Unusual Items,10089000.0,140395000.0,-109802000.0,221554000.0
Total Unusual Items Excluding Goodwill,10089000.0,140395000.0,-109802000.0,221554000.0
Net Income From Continuing Operation Net Minority Interest,17383664000.0,16770326000.0,6439469000.0,4117491000.0
Reconciled Depreciation,6020597000.0,5679869000.0,4703337000.0,4729878000.0
Reconciled Cost Of Revenue,131156135000.0,134540703000.0,123456838000.0,89525506000.0
EBITDA,34196450000.0,33552872000.0,16628003000.0,14654733000.0
EBIT,28175853000.0,27873003000.0,11924665000.0,9924855000.0
Net Interest Income,-4742237000.0,-5559097000.0,-4396037000.0,-3062612000.0
Interest Expense,4686203000.0,5716267000.0,4729803000.0,3710133000.0
Interest Income,999179000.0,1214268000.0,1225653000.0,1268843000.0
Normalized Income,17377401563.88652,16669394212.837172,6508416791.370564,3983486793.94026
Net Income From Continuing And Discontinued Operation,17383664000.0,16770326000.0,6439469000.0,4117491000.0
Total Expenses,172600256000.0,174973094000.0,159651833000.0,118194517000.0
Rent Expense Supplemental,448879000.0,375477000.0,368748000.0,221515000.0
Diluted Average Shares,638720185.0,636741169.0,635344366.0,635555774.0
Basic Average Shares,636611018.0,635816660.0,635344366.0,635555774.0
Diluted EPS,27.22,26.33,10.135,6.48
Basic EPS,27.31,26.38,10.135,6.48
Diluted NI Availto Com Stockholders,17383664000.0,16770326000.0,6439469000.0,4117491000.0
Net Income Common Stockholders,17383664000.0,16770326000.0,6439469000.0,4117491000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,17383664000.0,16770326000.0,6439469000.0,4117491000.0
Minority Interests,2803187000.0,841561000.0,1921611000.0,358593000.0
Net Income Including Noncontrolling Interests,14580477000.0,15928765000.0,4517858000.0,3758898000.0
Net Income Continuous Operations,14580477000.0,15928765000.0,4517858000.0,3758898000.0
Tax Provision,8909173000.0,6227971000.0,2677004000.0,2455824000.0
Pretax Income,23489650000.0,22156736000.0,7194862000.0,6214722000.0
Other Non Operating Income Expenses,396516000.0,463387000.0,566781000.0,139879000.0
Special Income Charges,104095000.0,102431000.0,-216504000.0,80968000.0
Other Special Charges,-156433000.0,-229885000.0,191083000.0,-84981000.0
Write Off,52338000.0,127454000.0,25421000.0,4013000.0
Net Non Operating Interest Income Expense,-4742237000.0,-5559097000.0,-4396037000.0,-3062612000.0
Total Other Finance Cost,1055213000.0,1057098000.0,891887000.0,621322000.0
Interest Expense Non Operating,4686203000.0,5716267000.0,4729803000.0,3710133000.0
Interest Income Non Operating,999179000.0,1214268000.0,1225653000.0,1268843000.0
Operating Income,27795985000.0,25949003000.0,11277237000.0,8725460000.0
Operating Expense,41444121000.0,40432391000.0,36194995000.0,28669011000.0
Other Operating Expenses,25263779000.0,26135314000.0,25265405000.0,18129411000.0
Depreciation And Amortization In Income Statement,6020597000.0,5679869000.0,4703338000.0,4729878000.0
Amortization,27848000.0,31274000.0,35563000.0,34444000.0
Depreciation Income Statement,5992749000.0,5648595000.0,4667775000.0,4695434000.0
Selling General And Administration,1799210000.0,1635335000.0,1598214000.0,1394862000.0
Selling And Marketing Expense,737858000.0,659673000.0,727488000.0,606380000.0
General And Administrative Expense,1061352000.0,975662000.0,870726000.0,788482000.0
Rent And Landing Fees,448879000.0,375477000.0,368748000.0,221515000.0
Gross Profit,69240106000.0,66381394000.0,47472232000.0,37394471000.0
Cost Of Revenue,131156135000.0,134540703000.0,123456838000.0,89525506000.0
Total Revenue,200396241000.0,200922097000.0,170929070000.0,126919977000.0
Operating Revenue,200396241000.0,200922097000.0,170929070000.0,126919977000.0
