,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,315184196.588833,-33215367.967212,-39691991.842068,-100433071.739351
Tax Rate For Calcs,0.29799,0.326923,0.336658,0.329448
Normalized EBITDA,21887900000.0,21999000000.0,14032000000.0,16501713000.0
Total Unusual Items,1057700000.0,-101600000.0,-117900000.0,-304853000.0
Total Unusual Items Excluding Goodwill,1057700000.0,-101600000.0,-117900000.0,-304853000.0
Net Income From Continuing Operation Net Minority Interest,8611200000.0,7908300000.0,4235700000.0,6871193000.0
Reconciled Depreciation,6014600000.0,5726200000.0,4619200000.0,3424655000.0
Reconciled Cost Of Revenue,27067000000.0,25024800000.0,21736100000.0,18089196000.0
EBITDA,22945600000.0,21897400000.0,13914100000.0,16196860000.0
EBIT,16931000000.0,16171200000.0,9294900000.0,12772205000.0
Net Interest Income,-3207300000.0,-3253100000.0,-2476100000.0,-1935995000.0
Interest Expense,4507100000.0,4435100000.0,3018800000.0,2643078000.0
Interest Income,1362700000.0,1233700000.0,601000000.0,755849000.0
Normalized Income,7868684196.588833,7976684632.032788,4313908008.157932,7075612928.260649
Net Income From Continuing And Discontinued Operation,8611200000.0,7908300000.0,4235700000.0,6871193000.0
Total Expenses,100516900000.0,96998700000.0,86314700000.0,66667966000.0
Rent Expense Supplemental,427000000.0,340600000.0,269900000.0,214824000.0
Diluted Average Shares,77300000.0,77300000.0,77300000.0,77268000.0
Basic Average Shares,77300000.0,77300000.0,77300000.0,77268000.0
Diluted EPS,111.44,102.35,54.82,87.9
Basic EPS,111.44,102.35,54.82,87.9
Diluted NI Availto Com Stockholders,8611200000.0,7908300000.0,4235700000.0,6871193000.0
Net Income Common Stockholders,8611200000.0,7908300000.0,4235700000.0,6871193000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,8611200000.0,7908300000.0,4235700000.0,6871193000.0
Minority Interests,-110500000.0,9000000.0,72500000.0,79082000.0
Net Income Including Noncontrolling Interests,8721700000.0,7899300000.0,4163200000.0,6792111000.0
Net Income Continuous Operations,8721700000.0,7899300000.0,4163200000.0,6792111000.0
Tax Provision,3702200000.0,3836800000.0,2112900000.0,3337016000.0
Pretax Income,12423900000.0,11736100000.0,6276100000.0,10129127000.0
Other Non Operating Income Expenses,160800000.0,83400000.0,163600000.0,595279000.0
Special Income Charges,956200000.0,-166600000.0,-124400000.0,-304941000.0
Other Special Charges,-961600000.0,164000000.0,124400000.0,304341000.0
Write Off,5400000.0,2600000.0,0.0,600000.0
Restructuring And Mergern Acquisition,,55000000.0,,
Net Non Operating Interest Income Expense,-3207300000.0,-3253100000.0,-2476100000.0,-1935995000.0
Total Other Finance Cost,62900000.0,51700000.0,58300000.0,48766000.0
Interest Expense Non Operating,4507100000.0,4435100000.0,3018800000.0,2643078000.0
Interest Income Non Operating,1362700000.0,1233700000.0,601000000.0,755849000.0
Operating Income,14417200000.0,15026800000.0,8722600000.0,11734428000.0
Operating Expense,73449900000.0,71973900000.0,64578600000.0,48578770000.0
Other Operating Expenses,28607100000.0,31940700000.0,30794100000.0,20627012000.0
Depreciation And Amortization In Income Statement,6014600000.0,5726200000.0,4619200000.0,3424655000.0
Amortization,209400000.0,206100000.0,90000000.0,35364000.0
Depreciation Income Statement,5805200000.0,5520100000.0,4529200000.0,3389291000.0
Selling General And Administration,33329800000.0,29706500000.0,24756900000.0,20258634000.0
Selling And Marketing Expense,31556300000.0,28151700000.0,23340500000.0,18982463000.0
General And Administrative Expense,1773500000.0,1554800000.0,1416400000.0,1276171000.0
Rent And Landing Fees,427000000.0,340600000.0,269900000.0,214824000.0
Gross Profit,87867100000.0,87000700000.0,73301200000.0,60313198000.0
Cost Of Revenue,27067000000.0,25024800000.0,21736100000.0,18089196000.0
Total Revenue,114934100000.0,112025500000.0,95037300000.0,78402394000.0
Operating Revenue,114934100000.0,112025500000.0,95037300000.0,78402394000.0
