,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.225561,0.3,0.255981,0.263842,
Net Income From Continuing Operation Net Minority Interest,8213100000.0,4098400000.0,5972900000.0,7731600000.0,
Reconciled Depreciation,637900000.0,530300000.0,418700000.0,377800000.0,
Net Interest Income,6558100000.0,10207900000.0,9339700000.0,8816400000.0,
Interest Expense,13049300000.0,15615200000.0,11785100000.0,10817300000.0,
Interest Income,19607400000.0,25823100000.0,21124800000.0,19633700000.0,
Normalized Income,8213100000.0,4098400000.0,5972900000.0,7731600000.0,
Net Income From Continuing And Discontinued Operation,8213100000.0,4098400000.0,5972900000.0,7731600000.0,
Rent Expense Supplemental,173200000.0,151300000.0,115200000.0,102900000.0,
Diluted Average Shares,957068239.0,955556008.0,955187805.0,955401435.0,
Basic Average Shares,955730152.0,955173696.0,954615232.0,953556246.0,
Diluted EPS,8.58,4.29,6.25,8.09,
Basic EPS,8.59,4.29,6.26,8.11,
Diluted NI Availto Com Stockholders,8213100000.0,4098400000.0,5972900000.0,7731600000.0,
Net Income Common Stockholders,8213100000.0,4098400000.0,5972900000.0,7731600000.0,
Net Income,8213100000.0,4098400000.0,5972900000.0,7731600000.0,
Minority Interests,477200000.0,3790900000.0,-1117000000.0,-2192300000.0,
Net Income Including Noncontrolling Interests,7735900000.0,307500000.0,7089900000.0,9923900000.0,
Net Income Extraordinary,,,,,21100000.0
Net Income Continuous Operations,7735900000.0,307500000.0,7089900000.0,9923900000.0,
Tax Provision,2248500000.0,3258500000.0,2438500000.0,3556700000.0,
Pretax Income,9968500000.0,3533700000.0,9526100000.0,13480400000.0,
Gain On Sale Of Security,5556400000.0,4453600000.0,2659600000.0,6017400000.0,
Operating Expense,17255000000.0,23393200000.0,11159700000.0,13235200000.0,
Other Operating Expenses,100100000.0,8829600000.0,137100000.0,200900000.0,
Depreciation And Amortization In Income Statement,637900000.0,530300000.0,418700000.0,377800000.0,
Depreciation Income Statement,637900000.0,530300000.0,418700000.0,377800000.0,
Selling General And Administration,6459000000.0,5706400000.0,4081000000.0,6929100000.0,
Selling And Marketing Expense,284600000.0,288100000.0,273300000.0,82800000.0,
General And Administrative Expense,6174400000.0,5418300000.0,3807700000.0,6846300000.0,
Rent And Landing Fees,173200000.0,151300000.0,115200000.0,102900000.0,
Total Revenue,27223500000.0,26926900000.0,20685800000.0,26715600000.0,
Operating Revenue,27223500000.0,26926900000.0,20685800000.0,26715600000.0,
