,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,164924843.037174,90068040.666202,515940754.771366,-152000251.980324
Tax Rate For Calcs,0.10435,0.204097,0.238167,0.221059
Normalized EBITDA,59015400000.0,56790300000.0,36345200000.0,40689400000.0
Total Unusual Items,1580500000.0,441300000.0,2166300000.0,-687600000.0
Total Unusual Items Excluding Goodwill,1580500000.0,441300000.0,2166300000.0,-687600000.0
Net Income From Continuing Operation Net Minority Interest,19508900000.0,17227100000.0,14777600000.0,17286200000.0
Reconciled Depreciation,16546400000.0,16334100000.0,11692300000.0,11310500000.0
Reconciled Cost Of Revenue,53260500000.0,52306000000.0,62725600000.0,38939100000.0
EBITDA,60595900000.0,57231600000.0,38511500000.0,40001800000.0
EBIT,44049500000.0,40897500000.0,26819200000.0,28691300000.0
Net Interest Income,-18694200000.0,-17547500000.0,-6323000000.0,-3612100000.0
Interest Expense,21910500000.0,19228400000.0,7390800000.0,6308600000.0
Interest Income,3896200000.0,2830300000.0,1646000000.0,3998000000.0
Normalized Income,18093324843.037174,16875868040.666203,13127240754.771366,17821799748.019676
Net Income From Continuing And Discontinued Operation,19508900000.0,17227100000.0,14777600000.0,17286200000.0
Total Expenses,77391900000.0,74911300000.0,77337000000.0,54491300000.0
Rent Expense Supplemental,105800000.0,66600000.0,20900000.0,37300000.0
Diluted Average Shares,1745411694.0,1644675668.0,1644324549.0,1645911431.0
Basic Average Shares,1742892220.0,1641211667.0,1640829131.0,1643211927.0
Diluted EPS,11.18,10.47,8.99,10.5
Basic EPS,11.19,10.5,9.01,10.52
Diluted NI Availto Com Stockholders,19508900000.0,17227100000.0,14777600000.0,17286200000.0
Net Income Common Stockholders,19508900000.0,17227100000.0,14777600000.0,17286200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,19508900000.0,17227100000.0,14777600000.0,17286200000.0
Minority Interests,-319900000.0,-19400000.0,-23600000.0,-148600000.0
Net Income Including Noncontrolling Interests,19828800000.0,17246500000.0,14801200000.0,17434800000.0
Net Income Continuous Operations,19828800000.0,17246500000.0,14801200000.0,17434800000.0
Tax Provision,2310200000.0,4422600000.0,4627200000.0,4947900000.0
Pretax Income,22139000000.0,21669100000.0,19428400000.0,22382700000.0
Other Non Operating Income Expenses,1237900000.0,846300000.0,1115200000.0,766900000.0
Special Income Charges,-475200000.0,-365900000.0,1010200000.0,-1202900000.0
Other Special Charges,5600000.0,-500000.0,-1198500000.0,26300000.0
Write Off,158700000.0,366400000.0,188300000.0,473900000.0
Impairment Of Capital Assets,310900000.0,0.0,0.0,702700000.0
Net Non Operating Interest Income Expense,-18694200000.0,-17547500000.0,-6323000000.0,-3612100000.0
Total Other Finance Cost,679900000.0,1149400000.0,578200000.0,1301500000.0
Interest Expense Non Operating,21910500000.0,19228400000.0,7390800000.0,6308600000.0
Interest Income Non Operating,3896200000.0,2830300000.0,1646000000.0,3998000000.0
Operating Income,37446000000.0,37739800000.0,21767700000.0,25531800000.0
Operating Expense,24131400000.0,22605300000.0,14611400000.0,15552200000.0
Other Operating Expenses,2921700000.0,2608700000.0,2553900000.0,1886400000.0
Depreciation And Amortization In Income Statement,16546400000.0,16334100000.0,11692300000.0,11310500000.0
Amortization,1623300000.0,1259200000.0,351100000.0,342200000.0
Depreciation Income Statement,14923100000.0,15074900000.0,11341200000.0,10968300000.0
Selling General And Administration,1965200000.0,1560100000.0,1285500000.0,839100000.0
General And Administrative Expense,1965200000.0,1560100000.0,1285500000.0,839100000.0
Rent And Landing Fees,105800000.0,66600000.0,20900000.0,37300000.0
Gross Profit,61577400000.0,60345100000.0,36379100000.0,41084000000.0
Cost Of Revenue,53260500000.0,52306000000.0,62725600000.0,38939100000.0
Total Revenue,114837900000.0,112651100000.0,99104700000.0,80023100000.0
Operating Revenue,114837900000.0,112651100000.0,99104700000.0,80023100000.0
