,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,240534490.0,-31819640.0,-236413721.331689,-97433893.840834,
Tax Rate For Calcs,0.1561,0.2077,0.075808,0.224295,
Normalized EBITDA,24882700000.0,21897900000.0,17828100000.0,10822720000.0,
Total Unusual Items,1540900000.0,-153200000.0,-3118600000.0,-434400000.0,
Total Unusual Items Excluding Goodwill,1540900000.0,-153200000.0,-3118600000.0,-434400000.0,
Net Income From Continuing Operation Net Minority Interest,15030800000.0,11559100000.0,7398400000.0,3279460000.0,
Reconciled Depreciation,5465500000.0,4364800000.0,3912300000.0,3248610000.0,
Reconciled Cost Of Revenue,16586700000.0,12608900000.0,11738700000.0,6926640000.0,
EBITDA,26423600000.0,21744700000.0,14709500000.0,10388320000.0,
EBIT,20958100000.0,17379900000.0,10797200000.0,7139710000.0,
Net Interest Income,-1110800000.0,-991800000.0,-1618500000.0,-2740420000.0,
Interest Expense,2929700000.0,2729600000.0,2687200000.0,2879880000.0,
Interest Income,2290200000.0,1899800000.0,1200200000.0,739490000.0,
Normalized Income,13730434490.0,11680480360.0,10280586278.66831,3616426106.159166,
Net Income From Continuing And Discontinued Operation,15030800000.0,11559100000.0,7398400000.0,3279460000.0,
Total Expenses,27414500000.0,22157500000.0,19069400000.0,14496510000.0,
Rent Expense Supplemental,310500000.0,349500000.0,322500000.0,385090000.0,
Diluted Average Shares,2091462441.0,1966950108.0,2100001567.0,2100001567.0,
Basic Average Shares,2067171381.0,1921771097.0,1797874320.0,2100001567.0,
Diluted EPS,7.19,5.88,4.01,1.561646,
Basic EPS,7.27,6.01,4.12,1.561646,
Diluted NI Availto Com Stockholders,15030800000.0,11559100000.0,7398400000.0,3279460000.0,
Net Income Common Stockholders,15030800000.0,11559100000.0,7398400000.0,3279460000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,15030800000.0,11559100000.0,7398400000.0,3279460000.0,
Minority Interests,-184000000.0,-47800000.0,-96800000.0,-24910000.0,
Net Income Including Noncontrolling Interests,15214800000.0,11606900000.0,7495200000.0,3304370000.0,
Net Income Continuous Operations,15214800000.0,11606900000.0,7495200000.0,3304370000.0,
Tax Provision,2813600000.0,3043400000.0,614800000.0,955460000.0,
Pretax Income,18028400000.0,14650300000.0,8110000000.0,4259830000.0,
Other Non Operating Income Expenses,301600000.0,331200000.0,364100000.0,173830000.0,
Special Income Charges,3500000.0,-29600000.0,-23700000.0,-434400000.0,
Other Special Charges,-3500000.0,29600000.0,23700000.0,-12050000.0,
Impairment Of Capital Assets,,,0.0,446450000.0,0.0
Net Non Operating Interest Income Expense,-1110800000.0,-991800000.0,-1618500000.0,-2740420000.0,
Total Other Finance Cost,471300000.0,162000000.0,131500000.0,600030000.0,
Interest Expense Non Operating,2929700000.0,2729600000.0,2687200000.0,2879880000.0,
Interest Income Non Operating,2290200000.0,1899800000.0,1200200000.0,739490000.0,
Operating Income,17298700000.0,15471500000.0,12482900000.0,7976500000.0,
Operating Expense,10827800000.0,9548600000.0,7330700000.0,7569870000.0,
Other Operating Expenses,8869000000.0,7260100000.0,6033600000.0,3973380000.0,
Depreciation And Amortization In Income Statement,,,3912230000.0,3248610000.0,2706550000.0
Amortization,,,1653150000.0,1070140000.0,923530000.0
Depreciation Income Statement,,,2259080000.0,2178470000.0,1783020000.0
Selling General And Administration,1376900000.0,858500000.0,714100000.0,707020000.0,
Selling And Marketing Expense,66600000.0,51800000.0,31000000.0,11890000.0,
General And Administrative Expense,1310300000.0,806700000.0,683100000.0,695130000.0,
Rent And Landing Fees,,,322550000.0,385090000.0,149350000.0
Gross Profit,28126500000.0,25020100000.0,19813600000.0,15546370000.0,
Cost Of Revenue,16586700000.0,12608900000.0,11738700000.0,6926640000.0,
Total Revenue,44713200000.0,37629000000.0,31552300000.0,22473010000.0,
Operating Revenue,44713200000.0,37629000000.0,31552300000.0,22473010000.0,
