,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-1793176000.0,1807857000.0,1798951000.0,-313866000.0
Tax Rate For Calcs,0.3124,0.3293,0.2681,0.2961
Normalized EBITDA,228230000000.0,286340000000.0,187180000000.0,401640000000.0
Total Unusual Items,-5740000000.0,5490000000.0,6710000000.0,-1300000000.0
Total Unusual Items Excluding Goodwill,-5740000000.0,5490000000.0,6710000000.0,-1060000000.0
Net Income From Continuing Operation Net Minority Interest,35040000000.0,88120000000.0,41440000000.0,206650000000.0
Reconciled Depreciation,93090000000.0,81720000000.0,74740000000.0,60010000000.0
Reconciled Cost Of Revenue,1076940000000.0,1101810000000.0,1081660000000.0,787470000000.0
EBITDA,222490000000.0,291830000000.0,193890000000.0,400340000000.0
EBIT,129400000000.0,210110000000.0,119150000000.0,340330000000.0
Net Interest Income,-75830000000.0,-71710000000.0,-59570000000.0,-39410000000.0
Interest Expense,78630000000.0,76310000000.0,62600000000.0,42880000000.0
Interest Income,5500000000.0,8360000000.0,7430000000.0,6490000000.0
Normalized Income,38986824000.0,84437857000.0,36528951000.0,207156134000.0
Net Income From Continuing And Discontinued Operation,35040000000.0,88120000000.0,41440000000.0,206650000000.0
Total Expenses,1524170000000.0,1520920000000.0,1504870000000.0,1102440000000.0
Rent Expense Supplemental,1280000000.0,1220000000.0,880000000.0,780000000.0
Diluted Average Shares,2445453966.0,2436042791.0,2417220440.0,2417220440.0
Basic Average Shares,2438615295.0,2425013099.0,2402298076.0,2403942787.0
Diluted EPS,14.32,36.17,17.14,85.49
Basic EPS,14.36,36.34,17.25,85.96
Diluted NI Availto Com Stockholders,35040000000.0,88120000000.0,41440000000.0,206650000000.0
Net Income Common Stockholders,35040000000.0,88120000000.0,41440000000.0,206650000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,35040000000.0,88120000000.0,41440000000.0,206650000000.0
Minority Interests,130000000.0,-1610000000.0,50000000.0,-2730000000.0
Net Income Including Noncontrolling Interests,34910000000.0,89730000000.0,41390000000.0,209380000000.0
Net Income Continuous Operations,34910000000.0,89730000000.0,41390000000.0,209380000000.0
Tax Provision,15860000000.0,44070000000.0,15160000000.0,88070000000.0
Pretax Income,50770000000.0,133800000000.0,56550000000.0,297450000000.0
Other Non Operating Income Expenses,730000000.0,940000000.0,1180000000.0,1040000000.0
Special Income Charges,-6210000000.0,4960000000.0,6660000000.0,-8240000000.0
Other Special Charges,6210000000.0,-4960000000.0,-6660000000.0,8480000000.0
Restructuring And Mergern Acquisition,1470000000.0,-7800000000.0,,
Net Non Operating Interest Income Expense,-75830000000.0,-71710000000.0,-59570000000.0,-39410000000.0
Total Other Finance Cost,2700000000.0,3760000000.0,4400000000.0,3020000000.0
Interest Expense Non Operating,78630000000.0,76310000000.0,62600000000.0,42880000000.0
Interest Income Non Operating,5500000000.0,8360000000.0,7430000000.0,6490000000.0
Operating Income,141580000000.0,204960000000.0,131590000000.0,335850000000.0
Operating Expense,447230000000.0,419110000000.0,423210000000.0,314970000000.0
Other Operating Expenses,234480000000.0,221100000000.0,233680000000.0,154980000000.0
Depreciation And Amortization In Income Statement,93090000000.0,81720000000.0,74740000000.0,60010000000.0
Amortization,2230000000.0,1650000000.0,1690000000.0,1890000000.0
Depreciation Income Statement,90860000000.0,80070000000.0,73050000000.0,58120000000.0
Selling General And Administration,92890000000.0,93340000000.0,84100000000.0,76090000000.0
Selling And Marketing Expense,88590000000.0,89620000000.0,80280000000.0,73400000000.0
General And Administrative Expense,4300000000.0,3720000000.0,3820000000.0,2690000000.0
Rent And Landing Fees,1280000000.0,1220000000.0,880000000.0,780000000.0
Gross Profit,588810000000.0,624070000000.0,554800000000.0,650820000000.0
Cost Of Revenue,1076940000000.0,1101810000000.0,1081660000000.0,787470000000.0
Total Revenue,1665750000000.0,1725880000000.0,1636460000000.0,1438290000000.0
Operating Revenue,1665750000000.0,1725880000000.0,1636460000000.0,1438290000000.0
