,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-71942500.0,268704117.0,-9827803.0,-26066355.0
Tax Rate For Calcs,0.25,0.1749,0.2777,0.2577
Normalized EBITDA,16673210000.0,12178030000.0,11793810000.0,11425170000.0
Total Unusual Items,-287770000.0,1536330000.0,-35390000.0,-101150000.0
Total Unusual Items Excluding Goodwill,-287770000.0,1536330000.0,-35390000.0,-101150000.0
Net Income From Continuing Operation Net Minority Interest,2257170000.0,4000230000.0,3532010000.0,4203920000.0
Reconciled Depreciation,8065160000.0,5979550000.0,4858850000.0,3930520000.0
Reconciled Cost Of Revenue,39595340000.0,25638620000.0,23086900000.0,18998960000.0
EBITDA,16385440000.0,13714360000.0,11758420000.0,11324020000.0
EBIT,8320280000.0,7734810000.0,6899570000.0,7393500000.0
Net Interest Income,-4750020000.0,-2659160000.0,-1744970000.0,-1466390000.0
Interest Expense,5225820000.0,2877650000.0,2012260000.0,1760890000.0
Interest Income,475800000.0,218490000.0,267290000.0,294500000.0
Normalized Income,2472997500.0,2732604117.0,3557572197.0,4279003645.0
Net Income From Continuing And Discontinued Operation,2107640000.0,3993440000.0,3532010000.0,4203920000.0
Total Expenses,68984870000.0,50178570000.0,44486710000.0,36505360000.0
Rent Expense Supplemental,1266590000.0,1072980000.0,768060000.0,468480000.0
Diluted Average Shares,659845200.0,659845200.0,659845200.0,659845200.0
Basic Average Shares,659845200.0,659845200.0,659845200.0,659845200.0
Diluted EPS,3.19,6.05,5.35,6.37
Basic EPS,3.19,6.05,5.35,6.37
Diluted NI Availto Com Stockholders,2107640000.0,3993440000.0,3532010000.0,4203920000.0
Net Income Common Stockholders,2107640000.0,3993440000.0,3532010000.0,4203920000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2107640000.0,3993440000.0,3532010000.0,4203920000.0
Minority Interests,-63580000.0,-7290000.0,1670000.0,23030000.0
Net Income Including Noncontrolling Interests,2171220000.0,4000730000.0,3530340000.0,4180890000.0
Net Income Discontinuous Operations,-149530000.0,-6790000.0,0.0,
Net Income Continuous Operations,2320750000.0,4007520000.0,3530340000.0,4180890000.0
Tax Provision,773710000.0,849640000.0,1356970000.0,1451720000.0
Pretax Income,3094460000.0,4857160000.0,4887310000.0,5632610000.0
Other Non Operating Income Expenses,101420000.0,117980000.0,32920000.0,22290000.0
Special Income Charges,-346880000.0,1480550000.0,-108950000.0,-157190000.0
Other Special Charges,205280000.0,211200000.0,105050000.0,153050000.0
Write Off,141600000.0,9900000.0,3900000.0,4140000.0
Restructuring And Mergern Acquisition,,-1701650000.0,0.0,
Net Non Operating Interest Income Expense,-4750020000.0,-2659160000.0,-1744970000.0,-1466390000.0
Interest Expense Non Operating,5225820000.0,2877650000.0,2012260000.0,1760890000.0
Interest Income Non Operating,475800000.0,218490000.0,267290000.0,294500000.0
Operating Income,8076340000.0,5702920000.0,6895970000.0,7281890000.0
Operating Expense,29389530000.0,24539950000.0,21399810000.0,17506400000.0
Other Operating Expenses,9672100000.0,8143430000.0,7416940000.0,5891640000.0
Depreciation And Amortization In Income Statement,8065160000.0,5979550000.0,4858850000.0,3930520000.0
Amortization,925010000.0,454460000.0,231650000.0,128090000.0
Depreciation Income Statement,7140150000.0,5525090000.0,4627200000.0,3802430000.0
Selling General And Administration,13747650000.0,9102250000.0,7799430000.0,6843750000.0
Selling And Marketing Expense,11417140000.0,7101120000.0,5960470000.0,5800640000.0
General And Administrative Expense,2330510000.0,2001130000.0,1838960000.0,1043110000.0
Rent And Landing Fees,1266590000.0,1072980000.0,768060000.0,468480000.0
Gross Profit,37465870000.0,30242870000.0,28295780000.0,24788290000.0
Cost Of Revenue,39595340000.0,25638620000.0,23086900000.0,18998960000.0
Total Revenue,77061210000.0,55881490000.0,51382680000.0,43787250000.0
Operating Revenue,77061210000.0,55881490000.0,51382680000.0,43787250000.0
