,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-704812.176241,-20106638.852663,-4210393.691953,-31044102.541678,
Tax Rate For Calcs,0.269012,0.31659,0.295881,0.327573,
Normalized EBITDA,5563750000.0,4621370000.0,5807120000.0,8688960000.0,
Total Unusual Items,-2620000.0,-63510000.0,-14230000.0,-94770000.0,
Total Unusual Items Excluding Goodwill,-2620000.0,-63510000.0,-14230000.0,-94770000.0,
Net Income From Continuing Operation Net Minority Interest,2511820000.0,1828880000.0,3074970000.0,4767110000.0,
Reconciled Depreciation,1576300000.0,1361710000.0,1221820000.0,1233850000.0,
Reconciled Cost Of Revenue,22239540000.0,22499810000.0,26963970000.0,29584790000.0,
EBITDA,5561130000.0,4557860000.0,5792890000.0,8594190000.0,
EBIT,3984830000.0,3196150000.0,4571070000.0,7360340000.0,
Net Interest Income,-527870000.0,-516490000.0,-203410000.0,-297390000.0,
Interest Expense,548630000.0,520040000.0,203950000.0,270930000.0,
Interest Income,28490000.0,10080000.0,12360000.0,11980000.0,
Normalized Income,2513735187.823759,1872283361.147337,3084989606.308047,4830835897.458322,
Net Income From Continuing And Discontinued Operation,2511820000.0,1828880000.0,3074970000.0,4767110000.0,
Total Expenses,37556110000.0,38064500000.0,42963860000.0,41803390000.0,
Rent Expense Supplemental,28320000.0,30910000.0,19900000.0,16150000.0,
Diluted Average Shares,158579673.0,158401648.0,159019195.0,159029829.0,
Basic Average Shares,158054019.0,158168240.0,158971509.0,159029829.0,
Diluted EPS,15.84,11.55,19.33,29.97,
Basic EPS,15.89,11.56,19.34,29.98,
Diluted NI Availto Com Stockholders,2511820000.0,1828880000.0,3074970000.0,4767110000.0,
Net Income Common Stockholders,2511820000.0,1828880000.0,3074970000.0,4767110000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2511820000.0,1828880000.0,3074970000.0,4767110000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,2511820000.0,1828880000.0,3074970000.0,4767110000.0,
Net Income Continuous Operations,2511820000.0,1828880000.0,3074970000.0,4767110000.0,
Tax Provision,924380000.0,847230000.0,1292150000.0,2322300000.0,
Pretax Income,3436200000.0,2676110000.0,4367120000.0,7089410000.0,
Other Non Operating Income Expenses,349680000.0,342960000.0,320390000.0,302960000.0,
Special Income Charges,-2620000.0,-63510000.0,-14230000.0,-94770000.0,
Other Special Charges,2620000.0,63510000.0,14230000.0,94770000.0,
Impairment Of Capital Assets,,,,0.0,129440000.0
Net Non Operating Interest Income Expense,-527870000.0,-516490000.0,-203410000.0,-297390000.0,
Total Other Finance Cost,7730000.0,6530000.0,11820000.0,38440000.0,
Interest Expense Non Operating,548630000.0,520040000.0,203950000.0,270930000.0,
Interest Income Non Operating,28490000.0,10080000.0,12360000.0,11980000.0,
Operating Income,3680620000.0,2939950000.0,4440970000.0,7340930000.0,
Operating Expense,15316570000.0,15564690000.0,15999890000.0,12218600000.0,
Other Operating Expenses,9231090000.0,9664560000.0,11025920000.0,7491210000.0,
Depreciation And Amortization In Income Statement,1576300000.0,1361710000.0,1221820000.0,1233850000.0,
Amortization,42370000.0,31400000.0,30060000.0,18460000.0,
Depreciation Income Statement,1533930000.0,1330310000.0,1191760000.0,1215390000.0,
Selling General And Administration,788720000.0,913990000.0,564470000.0,515960000.0,
Selling And Marketing Expense,88270000.0,105990000.0,116060000.0,57770000.0,
General And Administrative Expense,700450000.0,808000000.0,448410000.0,458190000.0,
Rent And Landing Fees,28320000.0,30910000.0,19900000.0,16150000.0,
Gross Profit,18997190000.0,18504640000.0,20440860000.0,19559530000.0,
Cost Of Revenue,22239540000.0,22499810000.0,26963970000.0,29584790000.0,
Total Revenue,41236730000.0,41004450000.0,47404830000.0,49144320000.0,
Operating Revenue,41236730000.0,41004450000.0,47404830000.0,49144320000.0,
