,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,9406765.738439,1273123.984552,297877.736826,
Tax Rate For Calcs,0.233176,0.250934,0.3981,0.343573,
Normalized EBITDA,6099674000.0,4986226000.0,2480350000.0,1118344000.0,
Total Unusual Items,71199000.0,37487000.0,3198000.0,867000.0,
Total Unusual Items Excluding Goodwill,,37487000.0,3198000.0,867000.0,443000.0
Net Income From Continuing Operation Net Minority Interest,3822590000.0,3315582000.0,1207873000.0,496758000.0,
Reconciled Depreciation,536393000.0,281586000.0,249750000.0,233767000.0,
Reconciled Cost Of Revenue,31061162000.0,29085687000.0,17699466000.0,10520745000.0,
EBITDA,6099674000.0,5110680000.0,2483548000.0,1119211000.0,
EBIT,5563281000.0,4829094000.0,2233798000.0,885444000.0,
Net Interest Income,-282695000.0,-410025000.0,-252791000.0,-167436000.0,
Interest Expense,604247000.0,323058000.0,228895000.0,129002000.0,
Interest Income,321552000.0,122200000.0,36077000.0,14233000.0,
Normalized Income,3822590000.0,3287501765.738439,1205948123.984552,496188877.736826,
Net Income From Continuing And Discontinued Operation,3822590000.0,3315582000.0,1207873000.0,496758000.0,
Total Expenses,34090777000.0,31626736000.0,18235007000.0,10728506000.0,
Rent Expense Supplemental,,18552000.0,10827000.0,6402000.0,1225000.0
Diluted Average Shares,420990088.0,412293625.0,387447419.0,387447419.0,
Basic Average Shares,421054061.0,412293625.0,387447419.0,387447419.0,
Diluted EPS,9.08,8.24,3.12,1.28,
Basic EPS,9.08,8.24,3.12,1.28,
Diluted NI Availto Com Stockholders,3822590000.0,3315582000.0,1207873000.0,496758000.0,
Net Income Common Stockholders,3822590000.0,3315582000.0,1207873000.0,496758000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3822590000.0,3315582000.0,1207873000.0,496758000.0,
Minority Interests,19884000.0,5408000.0,1122000.0,209000.0,
Net Income Including Noncontrolling Interests,3802706000.0,3310174000.0,1206751000.0,496549000.0,
Net Income Continuous Operations,3802706000.0,3310174000.0,1206751000.0,496549000.0,
Tax Provision,1156328000.0,1108895000.0,798152000.0,259893000.0,
Pretax Income,4959034000.0,4419069000.0,2004903000.0,756442000.0,
Other Non Operating Income Expenses,20681000.0,43532000.0,10201000.0,609000.0,
Special Income Charges,5899000.0,2057000.0,3870000.0,867000.0,
Other Special Charges,-5899000.0,-2157000.0,-4253000.0,-1739000.0,
Write Off,0.0,100000.0,383000.0,872000.0,
Net Non Operating Interest Income Expense,-604247000.0,-410025000.0,-252791000.0,-167436000.0,
Total Other Finance Cost,122271000.0,86967000.0,59973000.0,52667000.0,
Interest Expense Non Operating,604247000.0,410025000.0,228895000.0,129002000.0,
Interest Income Non Operating,,122200000.0,36077000.0,14233000.0,8923000.0
Operating Income,5246148000.0,4610896000.0,2271950000.0,924439000.0,
Operating Expense,897660000.0,712332000.0,535541000.0,207761000.0,
Other Operating Expenses,702789000.0,598746000.0,506371000.0,153289000.0,
Selling General And Administration,446338000.0,279779000.0,182663000.0,170992000.0,
Selling And Marketing Expense,188150000.0,111318000.0,70472000.0,107326000.0,
General And Administrative Expense,,168461000.0,112191000.0,63666000.0,64034000.0
Rent And Landing Fees,21223000.0,18552000.0,10827000.0,6402000.0,
Gross Profit,8571633000.0,7351646000.0,2807491000.0,1132200000.0,
Cost Of Revenue,31061162000.0,30914404000.0,17699466000.0,10520745000.0,
Total Revenue,39336925000.0,36237757000.0,20506957000.0,11652945000.0,
Operating Revenue,39632795000.0,36437333000.0,20506957000.0,11652945000.0,
