,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,35130930.218285,41405772.283017,50062101.463806,2600374.591081,
Tax Rate For Calcs,0.242282,0.228761,0.198817,0.19191,
Normalized EBITDA,5363700000.0,5154300000.0,3372000000.0,2654972000.0,
Total Unusual Items,145000000.0,181000000.0,251800000.0,13550000.0,
Total Unusual Items Excluding Goodwill,145000000.0,181000000.0,251800000.0,13550000.0,
Net Income From Continuing Operation Net Minority Interest,3704300000.0,3694500000.0,2397300000.0,1619735000.0,
Reconciled Depreciation,561300000.0,499600000.0,501300000.0,581672000.0,
Reconciled Cost Of Revenue,14353800000.0,14173400000.0,14456100000.0,12923963000.0,
EBITDA,5508700000.0,5335300000.0,3623800000.0,2668522000.0,
EBIT,4947400000.0,4835700000.0,3122500000.0,2086850000.0,
Net Interest Income,160500000.0,182800000.0,-54400000.0,-79292000.0,
Interest Expense,59300000.0,47300000.0,130300000.0,117636000.0,
Interest Income,219800000.0,230100000.0,76500000.0,38764000.0,
Normalized Income,3594430930.218285,3554905772.283017,2195562101.463806,1608785374.591081,
Net Income From Continuing And Discontinued Operation,3704300000.0,3694500000.0,2397300000.0,1619735000.0,
Total Expenses,23979500000.0,23236400000.0,22169400000.0,20025326000.0,
Rent Expense Supplemental,36300000.0,25600000.0,24200000.0,25743000.0,
Diluted Average Shares,367316725.0,367262798.0,367208644.0,367208644.0,
Basic Average Shares,367209978.0,367208644.0,367208644.0,367208644.0,
Diluted EPS,10.09,10.06,6.53,4.41,
Basic EPS,10.09,10.06,6.53,4.41,
Diluted NI Availto Com Stockholders,3704300000.0,3694500000.0,2397300000.0,1619735000.0,
Net Income Common Stockholders,3704300000.0,3694500000.0,2397300000.0,1619735000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3704300000.0,3694500000.0,2397300000.0,1619735000.0,
Minority Interests,500000.0,1500000.0,0.0,28432000.0,
Net Income Including Noncontrolling Interests,3703800000.0,3693000000.0,2397300000.0,1591303000.0,
Net Income Continuous Operations,3703800000.0,3693000000.0,2397300000.0,1591303000.0,
Tax Provision,1184300000.0,1095400000.0,594900000.0,377911000.0,
Pretax Income,4888100000.0,4788400000.0,2992200000.0,1969214000.0,
Other Non Operating Income Expenses,109800000.0,110500000.0,120100000.0,107623000.0,
Special Income Charges,-68000000.0,139700000.0,251800000.0,13550000.0,
Other Special Charges,45900000.0,-139700000.0,-251800000.0,-13550000.0,
Write Off,22100000.0,0.0,,0.0,561000.0
Net Non Operating Interest Income Expense,160500000.0,182800000.0,-54400000.0,-79292000.0,
Total Other Finance Cost,,,600000.0,420000.0,1855000.0
Interest Expense Non Operating,59300000.0,47300000.0,130300000.0,117636000.0,
Interest Income Non Operating,219800000.0,230100000.0,76500000.0,38764000.0,
Operating Income,4471200000.0,4313300000.0,2672400000.0,1925664000.0,
Operating Expense,9625700000.0,9063000000.0,7713300000.0,7101363000.0,
Other Operating Expenses,1163400000.0,1185400000.0,911800000.0,753138000.0,
Depreciation And Amortization In Income Statement,561300000.0,499600000.0,501200000.0,581672000.0,
Amortization,11600000.0,11200000.0,10500000.0,12586000.0,
Depreciation Income Statement,549700000.0,488400000.0,490700000.0,569086000.0,
Selling General And Administration,4371100000.0,4119800000.0,3457000000.0,3154841000.0,
Selling And Marketing Expense,4175800000.0,3906700000.0,3292000000.0,3020443000.0,
General And Administrative Expense,195300000.0,213100000.0,165000000.0,134398000.0,
Rent And Landing Fees,36300000.0,25600000.0,24200000.0,25743000.0,
Gross Profit,14096900000.0,13376300000.0,10385700000.0,9027027000.0,
Cost Of Revenue,14353800000.0,14173400000.0,14456100000.0,12923963000.0,
Total Revenue,28450700000.0,27549700000.0,24841800000.0,21950990000.0,
Operating Revenue,28450700000.0,27549700000.0,24841800000.0,21950990000.0,
