,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-23329664.384545,552960.25953,91779000.0,1698000.0
Tax Rate For Calcs,0.243525,0.18432,0.3,0.3
Normalized EBITDA,4994500000.0,2972500000.0,905040000.0,664960000.0
Total Unusual Items,-95800000.0,3000000.0,305930000.0,5660000.0
Total Unusual Items Excluding Goodwill,-95800000.0,3000000.0,305930000.0,5660000.0
Net Income From Continuing Operation Net Minority Interest,3160100000.0,1508600000.0,-54640000.0,-483000000.0
Reconciled Depreciation,364500000.0,327500000.0,336180000.0,357860000.0
Reconciled Cost Of Revenue,9635400000.0,7576700000.0,6133310000.0,4793200000.0
EBITDA,4898700000.0,2975500000.0,1210970000.0,670620000.0
EBIT,4534200000.0,2648000000.0,874790000.0,312760000.0
Net Interest Income,-335700000.0,-846100000.0,-888030000.0,-805860000.0
Interest Expense,356800000.0,798500000.0,801530000.0,730260000.0
Interest Income,85100000.0,51100000.0,8990000.0,14870000.0
Normalized Income,3232570335.615455,1506152960.25953,-268791000.0,-486962000.0
Net Income From Continuing And Discontinued Operation,3160100000.0,1508600000.0,-54640000.0,-483000000.0
Total Expenses,13591700000.0,10656700000.0,8826650000.0,7053590000.0
Diluted Average Shares,227423096.0,191121891.0,227423096.0,227423096.0
Basic Average Shares,227423096.0,191121891.0,227423096.0,227423096.0
Diluted EPS,13.9,7.89,-0.240257,-2.123795
Basic EPS,13.9,7.89,-0.240257,-2.123795
Diluted NI Availto Com Stockholders,3160100000.0,1508600000.0,-54640000.0,-483000000.0
Net Income Common Stockholders,3160100000.0,1508600000.0,-54640000.0,-483000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3160100000.0,1508600000.0,-54640000.0,-483000000.0
Net Income Including Noncontrolling Interests,3160100000.0,1508600000.0,-54640000.0,-483000000.0
Net Income Continuous Operations,3160100000.0,1508600000.0,-54640000.0,-483000000.0
Tax Provision,1017300000.0,340900000.0,127900000.0,65500000.0
Pretax Income,4177400000.0,1849500000.0,73260000.0,-417500000.0
Other Non Operating Income Expenses,1000000.0,-1300000.0,233410000.0,15210000.0
Special Income Charges,-97500000.0,300000.0,304670000.0,4430000.0
Other Special Charges,90500000.0,-300000.0,-304670000.0,-4430000.0
Write Off,7000000.0,0.0,,
Net Non Operating Interest Income Expense,-335700000.0,-846100000.0,-888030000.0,-805860000.0
Total Other Finance Cost,64000000.0,98700000.0,95490000.0,90470000.0
Interest Expense Non Operating,356800000.0,798500000.0,801530000.0,730260000.0
Interest Income Non Operating,85100000.0,51100000.0,8990000.0,14870000.0
Operating Income,4553900000.0,2681900000.0,432170000.0,400060000.0
Operating Expense,3956300000.0,3080000000.0,2693340000.0,2260390000.0
Other Operating Expenses,35500000.0,12600000.0,10700000.0,12500000.0
Depreciation And Amortization In Income Statement,364500000.0,327500000.0,336180000.0,357860000.0
Amortization,43900000.0,54700000.0,76970000.0,78750000.0
Depreciation Income Statement,320600000.0,272800000.0,259210000.0,279110000.0
Selling General And Administration,1005500000.0,740900000.0,717830000.0,482890000.0
Selling And Marketing Expense,153700000.0,120200000.0,71390000.0,2730000.0
General And Administrative Expense,851800000.0,620700000.0,646440000.0,480160000.0
Gross Profit,8510200000.0,5761900000.0,3125510000.0,2660450000.0
Cost Of Revenue,9635400000.0,7576700000.0,6133310000.0,4793200000.0
Total Revenue,18145600000.0,13338600000.0,9258820000.0,7453650000.0
Operating Revenue,18145600000.0,13338600000.0,9258820000.0,7453650000.0
