,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-28101835.790691,16473361.046749,-21720503.394888,-2897442.029128
Tax Rate For Calcs,0.280738,0.244412,0.251395,0.249779
Normalized EBITDA,6775400000.0,7421300000.0,6253100000.0,6393400000.0
Total Unusual Items,-100100000.0,67400000.0,-86400000.0,-11600000.0
Total Unusual Items Excluding Goodwill,-100100000.0,67400000.0,-86400000.0,-11600000.0
Net Income From Continuing Operation Net Minority Interest,3426400000.0,4334500000.0,3445000000.0,3769800000.0
Reconciled Depreciation,1654000000.0,1475500000.0,1328600000.0,1153600000.0
Reconciled Cost Of Revenue,21158100000.0,20279600000.0,19257400000.0,16531800000.0
EBITDA,6675300000.0,7488700000.0,6166700000.0,6381800000.0
EBIT,5021300000.0,6013200000.0,4838100000.0,5228200000.0
Net Interest Income,184100000.0,137800000.0,20200000.0,110600000.0
Interest Expense,178700000.0,143600000.0,213500000.0,126500000.0
Interest Income,384400000.0,310700000.0,243400000.0,237900000.0
Normalized Income,3498398164.209309,4283573361.046749,3509679496.605112,3778502557.970872
Net Income From Continuing And Discontinued Operation,2943500000.0,4221100000.0,3445000000.0,3769800000.0
Total Expenses,41574700000.0,39032000000.0,39110000000.0,32000200000.0
Rent Expense Supplemental,59600000.0,56900000.0,44900000.0,28500000.0
Diluted Average Shares,159337845.0,159435662.0,159314415.0,159196545.0
Basic Average Shares,159264471.0,159253834.0,159223883.0,159156882.0
Diluted EPS,18.47,26.48,21.62,23.68
Basic EPS,18.48,26.51,21.64,23.69
Diluted NI Availto Com Stockholders,2943500000.0,4221100000.0,3445000000.0,3769800000.0
Net Income Common Stockholders,2943500000.0,4221100000.0,3445000000.0,3769800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2943500000.0,4221100000.0,3445000000.0,3769800000.0
Minority Interests,-56700000.0,-100500000.0,-17000000.0,-57600000.0
Net Income Including Noncontrolling Interests,3000200000.0,4321600000.0,3462000000.0,3827400000.0
Net Income Discontinuous Operations,-482900000.0,-113400000.0,,
Net Income Continuous Operations,3483100000.0,4435000000.0,3462000000.0,3827400000.0
Tax Provision,1359500000.0,1434600000.0,1162600000.0,1274300000.0
Pretax Income,4842600000.0,5869600000.0,4624600000.0,5101700000.0
Other Non Operating Income Expenses,32200000.0,50600000.0,63500000.0,32500000.0
Special Income Charges,-100100000.0,67400000.0,-86500000.0,-13000000.0
Other Special Charges,93600000.0,-78000000.0,86500000.0,13000000.0
Write Off,6500000.0,10600000.0,0.0,
Net Non Operating Interest Income Expense,184100000.0,137800000.0,20200000.0,110600000.0
Total Other Finance Cost,21600000.0,29300000.0,9700000.0,800000.0
Interest Expense Non Operating,178700000.0,143600000.0,213500000.0,126500000.0
Interest Income Non Operating,384400000.0,310700000.0,243400000.0,237900000.0
Operating Income,4707900000.0,5610500000.0,4605100000.0,4966300000.0
Operating Expense,20416600000.0,18752400000.0,19852600000.0,15468400000.0
Other Operating Expenses,11540300000.0,10755700000.0,12574200000.0,9184100000.0
Depreciation And Amortization In Income Statement,1654000000.0,1475500000.0,1328600000.0,1153600000.0
Amortization,3900000.0,4400000.0,9400000.0,7400000.0
Depreciation Income Statement,1650100000.0,1471100000.0,1319200000.0,1146200000.0
Research And Development,56000000.0,96300000.0,75400000.0,75800000.0
Selling General And Administration,1513600000.0,1550100000.0,1321300000.0,1035100000.0
Selling And Marketing Expense,1376900000.0,1417500000.0,1192600000.0,913900000.0
General And Administrative Expense,136700000.0,132600000.0,128700000.0,121200000.0
Rent And Landing Fees,59600000.0,56900000.0,44900000.0,28500000.0
Gross Profit,25124500000.0,24362900000.0,24457700000.0,20434700000.0
Cost Of Revenue,21158100000.0,20279600000.0,19257400000.0,16531800000.0
Total Revenue,46282600000.0,44642500000.0,43715100000.0,36966500000.0
Operating Revenue,46282600000.0,44642500000.0,43715100000.0,36966500000.0
