,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,2385721.118427,0.0,
Tax Rate For Calcs,0.250543,0.235874,0.230215,0.276769,
Total Unusual Items,30632000.0,78305000.0,10363000.0,0.0,
Total Unusual Items Excluding Goodwill,30632000.0,78305000.0,10363000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,19416367000.0,16048078000.0,11060918000.0,6732700000.0,
Reconciled Depreciation,1137377000.0,1002576000.0,1056645000.0,1191800000.0,
Net Interest Income,42599236000.0,38184219000.0,33488113000.0,27153700000.0,
Interest Expense,54181166000.0,43947416000.0,31677383000.0,28723000000.0,
Interest Income,96780402000.0,82131635000.0,65165496000.0,55876700000.0,
Normalized Income,19393409645.99727,15988243123.103266,11052940721.118427,6732700000.0,
Net Income From Continuing And Discontinued Operation,19416367000.0,16048078000.0,11060918000.0,6732700000.0,
Diluted Average Shares,966109848.0,964520092.0,963556689.0,960670630.0,
Basic Average Shares,965706279.0,963504180.0,960825891.0,959529691.0,
Diluted EPS,20.1,16.641667,11.483333,7.008333,
Basic EPS,20.108333,16.658333,11.508333,7.016667,
Diluted NI Availto Com Stockholders,19416367000.0,16048078000.0,11060918000.0,6732700000.0,
Net Income Common Stockholders,19416367000.0,16048078000.0,11060918000.0,6732700000.0,
Net Income,19416367000.0,16048078000.0,11060918000.0,6732700000.0,
Net Income Including Noncontrolling Interests,19416386000.0,16048080000.0,11060155000.0,6732700000.0,
Net Income Extraordinary,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,19416386000.0,16048080000.0,11060155000.0,6732700000.0,
Tax Provision,6490900000.0,4953800000.0,3307700000.0,2576500000.0,
Pretax Income,25907286000.0,21001880000.0,14367855000.0,9309200000.0,
Special Income Charges,30632000.0,78305000.0,10363000.0,0.0,
Other Special Charges,-30632000.0,-78305000.0,-10363000.0,-11031000.0,
Gain On Sale Of Security,683621000.0,2943699000.0,291512000.0,-501754000.0,
Operating Expense,29949972000.0,26471600000.0,22170729000.0,18542200000.0,
Other Operating Expenses,10336795000.0,7404827000.0,7878624000.0,9091900000.0,
Depreciation And Amortization In Income Statement,1137377000.0,1002576000.0,1056645000.0,1191794000.0,
Depreciation Income Statement,1137377000.0,1002576000.0,1056645000.0,1191794000.0,
Selling General And Administration,132966000.0,107935000.0,200238000.0,188594000.0,
Selling And Marketing Expense,,52896000.0,128598000.0,98952000.0,60685000.0
General And Administrative Expense,54758000.0,55039000.0,71640000.0,89642000.0,
Insurance And Claims,1243961000.0,1072406000.0,963991000.0,899485000.0,
Rent And Landing Fees,2570358000.0,2246786000.0,1980781000.0,1797273000.0,
Total Revenue,55336055000.0,49708478000.0,41959304000.0,34844300000.0,
Operating Revenue,55336055000.0,49708478000.0,41959304000.0,34844300000.0,
