,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-124453669.466247,-42668744.870923,-90360000.0,-85049545.602484
Tax Rate For Calcs,0.215467,0.186898,0.3,0.168615
Normalized EBITDA,16221200000.0,12846500000.0,8866200000.0,9184400000.0
Total Unusual Items,-577600000.0,-228300000.0,-301200000.0,-504400000.0
Total Unusual Items Excluding Goodwill,-577600000.0,-228300000.0,-301200000.0,-504400000.0
Net Income From Continuing Operation Net Minority Interest,5707400000.0,3467800000.0,1760300000.0,3320800000.0
Reconciled Depreciation,1836800000.0,1853600000.0,1614800000.0,1578600000.0
Reconciled Cost Of Revenue,169493800000.0,156252300000.0,136435400000.0,104756500000.0
EBITDA,15643600000.0,12618200000.0,8565000000.0,8680000000.0
EBIT,13806800000.0,10764600000.0,6950200000.0,7101400000.0
Net Interest Income,-7837000000.0,-7512000000.0,-6325500000.0,-4019600000.0
Interest Expense,6531900000.0,6499700000.0,5340400000.0,3107100000.0
Interest Income,552400000.0,453200000.0,232000000.0,105600000.0
Normalized Income,6160546330.533753,3653431255.129077,1971140000.0,3740150454.397516
Net Income From Continuing And Discontinued Operation,5707400000.0,3467800000.0,1760300000.0,3320800000.0
Total Expenses,199912100000.0,184045600000.0,162102500000.0,127248300000.0
Rent Expense Supplemental,3848400000.0,3430400000.0,3258000000.0,2348900000.0
Diluted Average Shares,261756520.0,257088370.0,257088370.0,257088370.0
Basic Average Shares,261756520.0,257088370.0,257088370.0,257088370.0
Diluted EPS,21.8,13.49,6.85,12.92
Basic EPS,21.8,13.49,6.85,12.92
Diluted NI Availto Com Stockholders,5707400000.0,3467800000.0,1760300000.0,3320800000.0
Net Income Common Stockholders,5707400000.0,3467800000.0,1760300000.0,3320800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5707400000.0,3467800000.0,1760300000.0,3320800000.0
Net Income Including Noncontrolling Interests,5707400000.0,3467800000.0,1760300000.0,3320800000.0
Net Income Continuous Operations,5707400000.0,3467800000.0,1760300000.0,3320800000.0
Tax Provision,1567500000.0,797100000.0,-150500000.0,673500000.0
Pretax Income,7274900000.0,4264900000.0,1609800000.0,3994300000.0
Other Non Operating Income Expenses,70400000.0,38100000.0,34100000.0,18500000.0
Special Income Charges,-487400000.0,-227900000.0,-246400000.0,-504400000.0
Other Special Charges,-52400000.0,-6200000.0,-33300000.0,-1900000.0
Write Off,539800000.0,234100000.0,279700000.0,506300000.0
Net Non Operating Interest Income Expense,-7837000000.0,-7512000000.0,-6325500000.0,-4019600000.0
Total Other Finance Cost,1857500000.0,1465500000.0,1217100000.0,1018100000.0
Interest Expense Non Operating,6531900000.0,6499700000.0,5340400000.0,3107100000.0
Interest Income Non Operating,552400000.0,453200000.0,232000000.0,105600000.0
Operating Income,15453800000.0,11907800000.0,7865500000.0,7889600000.0
Operating Expense,30418300000.0,27793300000.0,25667100000.0,22491800000.0
Other Operating Expenses,9510400000.0,7480000000.0,6148700000.0,5119100000.0
Depreciation And Amortization In Income Statement,1836800000.0,1853600000.0,1614800000.0,1578600000.0
Amortization,153000000.0,175400000.0,161900000.0,269300000.0
Depreciation Income Statement,1683800000.0,1678200000.0,1452900000.0,1309300000.0
Selling General And Administration,5979400000.0,6571800000.0,6611100000.0,5040500000.0
Selling And Marketing Expense,3098900000.0,3715400000.0,3690500000.0,2790300000.0
General And Administrative Expense,2880500000.0,2856400000.0,2920600000.0,2250200000.0
Rent And Landing Fees,764700000.0,664500000.0,572200000.0,446200000.0
Gross Profit,45872100000.0,39701100000.0,33532600000.0,30381400000.0
Cost Of Revenue,169493800000.0,156252300000.0,136435400000.0,104756500000.0
Total Revenue,215365900000.0,195953400000.0,169968000000.0,135137900000.0
Operating Revenue,215365900000.0,195953400000.0,169968000000.0,135137900000.0
