,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-5065444.870167,1838069.641767,-14868420.515664,-11414439.498904
Tax Rate For Calcs,0.256738,0.256356,0.256485,0.259125
Normalized EBITDA,10534330000.0,8726010000.0,7289300000.0,5901530000.0
Total Unusual Items,-19730000.0,7170000.0,-57970000.0,-44050000.0
Total Unusual Items Excluding Goodwill,-19730000.0,7170000.0,-57970000.0,-44050000.0
Net Income From Continuing Operation Net Minority Interest,6964140000.0,5808590000.0,4773460000.0,3760210000.0
Reconciled Depreciation,701400000.0,613550000.0,570790000.0,554540000.0
Reconciled Cost Of Revenue,76680710000.0,63334150000.0,54187140000.0,44415510000.0
EBITDA,10514600000.0,8733180000.0,7231330000.0,5857480000.0
EBIT,9813200000.0,8119630000.0,6660540000.0,5302940000.0
Net Interest Income,-37410000.0,-226480000.0,-180430000.0,-383690000.0
Interest Expense,443500000.0,308800000.0,240470000.0,227660000.0
Interest Income,519070000.0,212620000.0,166640000.0,20250000.0
Normalized Income,6978804555.129833,5803258069.641767,4816561579.484336,3792845560.501096
Net Income From Continuing And Discontinued Operation,6964140000.0,5807440000.0,4773460000.0,3760210000.0
Total Expenses,86789120000.0,72422550000.0,61958450000.0,51427500000.0
Rent Expense Supplemental,61060000.0,62540000.0,63720000.0,65740000.0
Diluted Average Shares,92173469.0,90391504.0,90295002.0,91188438.0
Basic Average Shares,92053798.0,90217474.0,90161452.0,90735827.0
Diluted EPS,75.55,64.25,52.86,41.56
Basic EPS,75.65,64.37,52.94,41.77
Diluted NI Availto Com Stockholders,6964140000.0,5807440000.0,4773460000.0,3760210000.0
Net Income Common Stockholders,6964140000.0,5807440000.0,4773460000.0,3760210000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6964140000.0,5807440000.0,4773460000.0,3760210000.0
Minority Interests,0.0,110000.0,40000.0,60000.0
Net Income Including Noncontrolling Interests,6964140000.0,5807330000.0,4773420000.0,3760150000.0
Net Income Discontinuous Operations,0.0,-1150000.0,0.0,
Net Income Continuous Operations,6964140000.0,5808480000.0,4773420000.0,3760150000.0
Tax Provision,2405560000.0,2002350000.0,1646650000.0,1315130000.0
Pretax Income,9369700000.0,7810830000.0,6420070000.0,5075280000.0
Other Non Operating Income Expenses,33760000.0,17960000.0,17740000.0,18320000.0
Special Income Charges,-19730000.0,7170000.0,-57970000.0,-44050000.0
Other Special Charges,-59770000.0,-35810000.0,-19880000.0,-8000000.0
Write Off,79410000.0,23270000.0,57140000.0,51370000.0
Impairment Of Capital Assets,90000.0,5370000.0,20710000.0,680000.0
Net Non Operating Interest Income Expense,-37410000.0,-226480000.0,-180430000.0,-383690000.0
Total Other Finance Cost,112980000.0,130300000.0,106600000.0,176280000.0
Interest Expense Non Operating,443500000.0,308800000.0,240470000.0,227660000.0
Interest Income Non Operating,519070000.0,212620000.0,166640000.0,20250000.0
Operating Income,9291130000.0,7956940000.0,6574040000.0,5384960000.0
Operating Expense,10108410000.0,9088400000.0,7771310000.0,7011990000.0
Other Operating Expenses,4557400000.0,3940150000.0,3259400000.0,2876020000.0
Depreciation And Amortization In Income Statement,701400000.0,613550000.0,570790000.0,554540000.0
Amortization,5590000.0,7460000.0,8420000.0,9860000.0
Depreciation Income Statement,695810000.0,606090000.0,562370000.0,544680000.0
Selling General And Administration,3015120000.0,2628500000.0,2148360000.0,1966770000.0
Selling And Marketing Expense,2598020000.0,2236640000.0,1713170000.0,1578400000.0
General And Administrative Expense,417100000.0,391860000.0,435190000.0,388370000.0
Rent And Landing Fees,61060000.0,62540000.0,63720000.0,65740000.0
Gross Profit,19399540000.0,17045340000.0,14345350000.0,12396950000.0
Cost Of Revenue,76680710000.0,63334150000.0,54187140000.0,44415510000.0
Total Revenue,96080250000.0,80379490000.0,68532490000.0,56812460000.0
Operating Revenue,96080250000.0,80379490000.0,68532490000.0,56812460000.0
