,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,36691890.0,-24127920.0,-4321652.71205,-6438942.0
Tax Rate For Calcs,0.257,0.248,0.241974,0.2718
Normalized EBITDA,5022750000.0,3985660000.0,3173160000.0,2962770000.0
Total Unusual Items,142770000.0,-97290000.0,-17860000.0,-23690000.0
Total Unusual Items Excluding Goodwill,142770000.0,-97290000.0,-17860000.0,-23690000.0
Net Income From Continuing Operation Net Minority Interest,3326250000.0,2460480000.0,1957360000.0,1485490000.0
Reconciled Depreciation,642770000.0,530200000.0,466680000.0,370250000.0
Reconciled Cost Of Revenue,3654590000.0,2962690000.0,2624320000.0,2069910000.0
EBITDA,5165520000.0,3888370000.0,3155300000.0,2939080000.0
EBIT,4522750000.0,3358170000.0,2688620000.0,2568830000.0
Net Interest Income,99250000.0,-11230000.0,-38590000.0,-525960000.0
Interest Expense,46850000.0,84350000.0,106440000.0,528830000.0
Interest Income,147180000.0,73910000.0,68610000.0,3690000.0
Normalized Income,3220171890.0,2533642080.0,1970898347.28795,1502741058.0
Net Income From Continuing And Discontinued Operation,3326250000.0,2460480000.0,1957360000.0,1485490000.0
Total Expenses,6462650000.0,4868500000.0,4401390000.0,3629420000.0
Rent Expense Supplemental,51820000.0,46240000.0,34710000.0,30100000.0
Diluted Average Shares,172655662.0,171568835.0,169913689.0,168903525.0
Basic Average Shares,171516653.0,170178766.0,167809897.0,167568883.0
Diluted EPS,19.27,14.34,11.52,8.794902
Basic EPS,19.39,14.46,11.66,8.864951
Diluted NI Availto Com Stockholders,3326250000.0,2460480000.0,1957360000.0,1485490000.0
Net Income Common Stockholders,3326250000.0,2460480000.0,1957360000.0,1485490000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3326250000.0,2460480000.0,1957360000.0,1485490000.0
Net Income Including Noncontrolling Interests,3326250000.0,2460480000.0,1957360000.0,1485490000.0
Net Income Continuous Operations,3326250000.0,2460480000.0,1957360000.0,1485490000.0
Tax Provision,1149650000.0,813340000.0,624820000.0,554510000.0
Pretax Income,4475900000.0,3273820000.0,2582180000.0,2040000000.0
Other Non Operating Income Expenses,7450000.0,5220000.0,16030000.0,9530000.0
Special Income Charges,-27710000.0,-97290000.0,-17860000.0,-23560000.0
Other Special Charges,-24080000.0,-100000.0,1040000.0,-2280000.0
Write Off,50050000.0,92590000.0,16820000.0,25840000.0
Impairment Of Capital Assets,1740000.0,4800000.0,0.0,
Net Non Operating Interest Income Expense,99250000.0,-11230000.0,-38590000.0,-525960000.0
Total Other Finance Cost,1080000.0,790000.0,760000.0,820000.0
Interest Expense Non Operating,46850000.0,84350000.0,106440000.0,528830000.0
Interest Income Non Operating,147180000.0,73910000.0,68610000.0,3690000.0
Operating Income,4200450000.0,3237660000.0,2532800000.0,2535810000.0
Operating Expense,2808060000.0,1905810000.0,1777070000.0,1559510000.0
Other Operating Expenses,1135200000.0,805160000.0,486050000.0,554900000.0
Depreciation And Amortization In Income Statement,642770000.0,525400000.0,466680000.0,370250000.0
Amortization,309500000.0,223250000.0,173280000.0,112340000.0
Depreciation Income Statement,333270000.0,302150000.0,293400000.0,257910000.0
Selling General And Administration,826160000.0,551470000.0,776700000.0,569650000.0
Selling And Marketing Expense,39160000.0,28570000.0,18320000.0,5460000.0
General And Administrative Expense,787000000.0,522900000.0,758380000.0,564190000.0
Rent And Landing Fees,51820000.0,46240000.0,34710000.0,30100000.0
Gross Profit,7008510000.0,5143470000.0,4309870000.0,4095320000.0
Cost Of Revenue,3654590000.0,2962690000.0,2624320000.0,2069910000.0
Total Revenue,10663100000.0,8106160000.0,6934190000.0,6165230000.0
Operating Revenue,10663100000.0,8106160000.0,6934190000.0,6165230000.0
