,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,182371430.0,-15939300.0,45579400.0,32312640.0
Tax Rate For Calcs,0.2699,0.2613,0.2612,0.2082
Normalized EBITDA,11657800000.0,10249400000.0,7279000000.0,4097900000.0
Total Unusual Items,675700000.0,-61000000.0,174500000.0,155200000.0
Total Unusual Items Excluding Goodwill,675700000.0,-61000000.0,174500000.0,155200000.0
Net Income From Continuing Operation Net Minority Interest,4891500000.0,4418700000.0,3324000000.0,1745200000.0
Reconciled Depreciation,1397900000.0,1188000000.0,1046600000.0,1012900000.0
Reconciled Cost Of Revenue,40396100000.0,39157400000.0,34858800000.0,29545800000.0
EBITDA,12333500000.0,10188400000.0,7453500000.0,4253100000.0
EBIT,10935600000.0,9000400000.0,6406900000.0,3240200000.0
Net Interest Income,-4805900000.0,-3291700000.0,-2053000000.0,-1019500000.0
Interest Expense,4418800000.0,3048000000.0,1917600000.0,921400000.0
Interest Income,66700000.0,28900000.0,46600000.0,40800000.0
Normalized Income,4398171430.0,4463760700.0,3195079400.0,1622312640.0
Net Income From Continuing And Discontinued Operation,4891500000.0,4418700000.0,3324000000.0,1745200000.0
Total Expenses,52465400000.0,49219300000.0,43377300000.0,36656700000.0
Rent Expense Supplemental,248400000.0,353600000.0,321700000.0,316700000.0
Diluted Average Shares,145399650.0,145275870.0,145020032.0,144821088.0
Basic Average Shares,145088686.0,144860218.0,144652523.0,144614326.0
Diluted EPS,33.6,30.46,22.88,12.03
Basic EPS,33.71,30.5,22.98,12.07
Diluted NI Availto Com Stockholders,4891500000.0,4418700000.0,3324000000.0,1745200000.0
Net Income Common Stockholders,4891500000.0,4418700000.0,3324000000.0,1745200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4891500000.0,4418700000.0,3324000000.0,1745200000.0
Minority Interests,133300000.0,21700000.0,7500000.0,36500000.0
Net Income Including Noncontrolling Interests,4758200000.0,4397000000.0,3316500000.0,1708700000.0
Net Income Continuous Operations,4758200000.0,4397000000.0,3316500000.0,1708700000.0
Tax Provision,1758600000.0,1555400000.0,1172800000.0,610100000.0
Pretax Income,6516800000.0,5952400000.0,4489300000.0,2318800000.0
Other Non Operating Income Expenses,144900000.0,79600000.0,29900000.0,27800000.0
Special Income Charges,426800000.0,-236900000.0,900000.0,-12600000.0
Other Special Charges,-428500000.0,141600000.0,-12300000.0,-9200000.0
Write Off,1700000.0,95300000.0,11400000.0,21800000.0
Net Non Operating Interest Income Expense,-4805900000.0,-3291700000.0,-2053000000.0,-1019500000.0
Total Other Finance Cost,453800000.0,272600000.0,182000000.0,138900000.0
Interest Expense Non Operating,4418800000.0,3048000000.0,1917600000.0,921400000.0
Interest Income Non Operating,66700000.0,28900000.0,46600000.0,40800000.0
Operating Income,10482500000.0,9192600000.0,6306100000.0,3130400000.0
Operating Expense,12069300000.0,10061900000.0,8518500000.0,7110900000.0
Other Operating Expenses,778700000.0,797100000.0,722000000.0,379400000.0
Depreciation And Amortization In Income Statement,1397900000.0,1188000000.0,1046600000.0,1012900000.0
Amortization,326300000.0,366800000.0,331500000.0,376200000.0
Depreciation Income Statement,1071600000.0,821200000.0,715100000.0,636700000.0
Selling General And Administration,4733900000.0,3872500000.0,3468900000.0,2888800000.0
Selling And Marketing Expense,2726100000.0,2258300000.0,2156000000.0,1745200000.0
General And Administrative Expense,2007800000.0,1614200000.0,1312900000.0,1143600000.0
Rent And Landing Fees,248400000.0,353600000.0,321700000.0,316700000.0
Gross Profit,22551800000.0,19254500000.0,14824600000.0,10241300000.0
Cost Of Revenue,40396100000.0,39157400000.0,34858800000.0,29545800000.0
Total Revenue,62947900000.0,58411900000.0,49683400000.0,39787100000.0
Operating Revenue,62947900000.0,58411900000.0,49683400000.0,39787100000.0
