,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,111288697.100674,17607567.034282,26694693.420473,88965944.845962,
Tax Rate For Calcs,0.242964,0.246677,0.247668,0.336614,
Total Unusual Items,458046000.0,71379000.0,107784000.0,264297000.0,
Total Unusual Items Excluding Goodwill,458046000.0,71379000.0,107784000.0,264297000.0,
Net Income From Continuing Operation Net Minority Interest,221259890000.0,182132075000.0,149250096000.0,120893915000.0,
Reconciled Depreciation,9409087000.0,7917534000.0,5992592000.0,4803507000.0,
Net Interest Income,373942743000.0,336693952000.0,277399290000.0,221870829000.0,
Interest Expense,282745509000.0,225672371000.0,144111322000.0,115535370000.0,
Interest Income,656688252000.0,562366323000.0,421510612000.0,337406199000.0,
Normalized Income,220913132697.10068,182078303567.03427,149169006693.42047,120718583944.84596,
Net Income From Continuing And Discontinued Operation,221259890000.0,182132075000.0,149250096000.0,120893915000.0,
Diluted Average Shares,9940692575.0,9937382900.0,9930844220.0,9919762480.0,
Basic Average Shares,9940484350.0,9936630075.0,9928332715.0,9915498735.0,
Diluted EPS,22.258,18.29,14.988,12.146,
Basic EPS,22.258,18.29,14.992,12.152,
Diluted NI Availto Com Stockholders,221259900000.0,181747000000.0,148845100000.0,120488900000.0,
Net Income Common Stockholders,221259900000.0,181747000000.0,148845100000.0,120488900000.0,
Otherunder Preferred Stock Dividend,-10000.0,-25000.0,-4000.0,15000.0,
Preferred Stock Dividends,,385100000.0,405000000.0,405000000.0,405000000.0
Net Income,221259890000.0,182132075000.0,149250096000.0,120893915000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,221259863000.0,182132116000.0,149250138000.0,80729615000.0,
Net Income Extraordinary,0.0,0.0,1445675000.0,1575180000.0,
Net Income Continuous Operations,221259863000.0,182132116000.0,149250138000.0,80729615000.0,
Tax Provision,70432900000.0,58865500000.0,48657400000.0,40164300000.0,
Pretax Income,289890249000.0,238633794000.0,196461863000.0,119318735000.0,
Special Income Charges,458046000.0,71379000.0,107784000.0,264297000.0,
Other Special Charges,-458046000.0,-71379000.0,-107784000.0,-264297000.0,
Gain On Sale Of Security,83636157000.0,74173384000.0,-5009005000.0,16950291000.0,
Operating Expense,440277810000.0,443111840000.0,320795887000.0,294361844000.0,
Other Operating Expenses,181125918000.0,209475716000.0,121908943000.0,125977699000.0,
Depreciation And Amortization In Income Statement,9409087000.0,7917534000.0,5992592000.0,4803507000.0,
Depreciation Income Statement,9409087000.0,7917534000.0,5992592000.0,4803507000.0,
Selling General And Administration,27701303000.0,29351135000.0,26369363000.0,18596222000.0,
Selling And Marketing Expense,15481815000.0,15563775000.0,11976963000.0,6657543000.0,
General And Administrative Expense,12219488000.0,13787360000.0,14392400000.0,11938679000.0,
Insurance And Claims,90214162000.0,83060279000.0,72294023000.0,65421371000.0,
Rent And Landing Fees,12027226000.0,9687465000.0,9357718000.0,8088815000.0,
Total Revenue,762853099000.0,696695998000.0,518572514000.0,459723509000.0,
Operating Revenue,762853099000.0,696695998000.0,518572514000.0,459723509000.0,
