,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,50684841.026465,-10360690.596035,-15176901.086381,-28563815.042491,
Tax Rate For Calcs,0.258662,0.252269,0.22127,0.198236,
Normalized EBITDA,13803040000.0,10549430000.0,6823380000.0,4979620000.0,
Total Unusual Items,195950000.0,-41070000.0,-68590000.0,-144090000.0,
Total Unusual Items Excluding Goodwill,195950000.0,-41070000.0,-68590000.0,-144090000.0,
Net Income From Continuing Operation Net Minority Interest,8396000000.0,5945330000.0,3809980000.0,2742330000.0,
Reconciled Depreciation,2249600000.0,1957930000.0,1463790000.0,1196140000.0,
Reconciled Cost Of Revenue,36604870000.0,31393420000.0,21765000000.0,15964750000.0,
EBITDA,13998990000.0,10508360000.0,6754790000.0,4835530000.0,
EBIT,11749390000.0,8550430000.0,5291000000.0,3639390000.0,
Net Interest Income,-273960000.0,-433690000.0,-182540000.0,380000.0,
Interest Expense,423920000.0,546040000.0,323130000.0,193950000.0,
Interest Income,149960000.0,112350000.0,140590000.0,194330000.0,
Normalized Income,8250734841.026465,5976039309.403965,3863393098.913619,2857856184.957509,
Net Income From Continuing And Discontinued Operation,8396000000.0,5945330000.0,3809980000.0,2742330000.0,
Total Expenses,48285510000.0,40674390000.0,28709960000.0,20939780000.0,
Rent Expense Supplemental,103800000.0,74010000.0,82870000.0,45910000.0,
Diluted Average Shares,273495900.0,273140862.0,273098567.0,272857942.0,
Basic Average Shares,271477627.0,270893910.0,270123511.0,269542125.0,
Diluted EPS,30.7,21.77,13.95,10.05,
Basic EPS,30.93,21.95,14.1,10.17,
Diluted NI Availto Com Stockholders,8396000000.0,5945330000.0,3809980000.0,2742330000.0,
Net Income Common Stockholders,8396000000.0,5945330000.0,3809980000.0,2742330000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8396000000.0,5945330000.0,3809980000.0,2742330000.0,
Minority Interests,0.0,-39800000.0,-58650000.0,-20100000.0,
Net Income Including Noncontrolling Interests,8396000000.0,5985130000.0,3868630000.0,2762430000.0,
Net Income Continuous Operations,8396000000.0,5985130000.0,3868630000.0,2762430000.0,
Tax Provision,2929470000.0,2019260000.0,1099240000.0,683010000.0,
Pretax Income,11325470000.0,8004390000.0,4967870000.0,3445440000.0,
Other Non Operating Income Expenses,683740000.0,276210000.0,150890000.0,69710000.0,
Special Income Charges,117280000.0,-85680000.0,-42910000.0,-194760000.0,
Other Special Charges,-207070000.0,-134130000.0,-6720000.0,,-51490000.0
Write Off,3450000.0,48830000.0,49630000.0,68570000.0,
Impairment Of Capital Assets,,,0.0,126190000.0,0.0
Restructuring And Mergern Acquisition,86340000.0,36850000.0,0.0,,
Net Non Operating Interest Income Expense,-273960000.0,-433690000.0,-182540000.0,380000.0,
Interest Expense Non Operating,423920000.0,546040000.0,323130000.0,193950000.0,
Interest Income Non Operating,149960000.0,112350000.0,140590000.0,194330000.0,
Operating Income,10137940000.0,8041020000.0,4940420000.0,3384080000.0,
Operating Expense,11680640000.0,9280970000.0,6944960000.0,4975030000.0,
Other Operating Expenses,2399440000.0,2230180000.0,1615250000.0,1431080000.0,
Depreciation And Amortization In Income Statement,2249600000.0,1957930000.0,1463790000.0,1196140000.0,
Amortization,899820000.0,810950000.0,,,
Depreciation Income Statement,1349780000.0,1146980000.0,1463790000.0,1196140000.0,
Selling General And Administration,5686650000.0,4446650000.0,3300840000.0,1982540000.0,
Selling And Marketing Expense,2730190000.0,1868300000.0,1128200000.0,297910000.0,
General And Administrative Expense,2956460000.0,2578350000.0,2172640000.0,1684630000.0,
Rent And Landing Fees,103800000.0,74010000.0,82870000.0,45910000.0,
Gross Profit,21818580000.0,17321990000.0,11885380000.0,8359110000.0,
Cost Of Revenue,36604870000.0,31393420000.0,21765000000.0,15964750000.0,
Total Revenue,58423450000.0,48715410000.0,33650380000.0,24323860000.0,
Operating Revenue,58423450000.0,48715410000.0,33650380000.0,24323860000.0,
