,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,52821100.0,55842480.0,82053540.0,41842500.0,
Tax Rate For Calcs,0.233,0.2259,0.2491,0.2625,
Normalized EBITDA,12877900000.0,12697600000.0,12955300000.0,12860100000.0,
Total Unusual Items,226700000.0,247200000.0,329400000.0,159400000.0,
Total Unusual Items Excluding Goodwill,226700000.0,247200000.0,329400000.0,159400000.0,
Net Income From Continuing Operation Net Minority Interest,8151100000.0,8053500000.0,8141000000.0,8418400000.0,
Reconciled Depreciation,2078700000.0,1891900000.0,1736900000.0,1411200000.0,
Reconciled Cost Of Revenue,42047500000.0,39257800000.0,40645700000.0,29317200000.0,
EBITDA,13104600000.0,12944800000.0,13284700000.0,13019500000.0,
EBIT,11025900000.0,11052900000.0,11547800000.0,11608300000.0,
Net Interest Income,-320100000.0,-687000000.0,-766900000.0,-201100000.0,
Interest Expense,398100000.0,649000000.0,706200000.0,193100000.0,
Interest Income,177600000.0,56700000.0,21700000.0,31800000.0,
Normalized Income,7977221100.0,7862142480.0,7893653540.0,8300842500.0,
Net Income From Continuing And Discontinued Operation,8151100000.0,8053500000.0,8141000000.0,8418400000.0,
Total Expenses,50738300000.0,47498100000.0,48466500000.0,35600800000.0,
Rent Expense Supplemental,35900000.0,27000000.0,25600000.0,19200000.0,
Diluted Average Shares,341814000.0,341814000.0,341973277.0,344050000.0,
Basic Average Shares,341814000.0,341814000.0,341973277.0,344050000.0,
Diluted EPS,23.85,23.56,23.81,24.47,
Basic EPS,23.85,23.56,23.81,24.47,
Diluted NI Availto Com Stockholders,8151100000.0,8053500000.0,8141000000.0,8418400000.0,
Net Income Common Stockholders,8151100000.0,8053500000.0,8141000000.0,8418400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8151100000.0,8053500000.0,8141000000.0,8418400000.0,
Minority Interests,,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,8151100000.0,8053500000.0,8141000000.0,8418400000.0,
Net Income Continuous Operations,8151100000.0,8053500000.0,8141000000.0,8418400000.0,
Tax Provision,2476700000.0,2350400000.0,2700600000.0,2996800000.0,
Pretax Income,10627800000.0,10403900000.0,10841600000.0,11415200000.0,
Other Non Operating Income Expenses,102200000.0,102700000.0,140100000.0,310300000.0,
Special Income Charges,8500000.0,56700000.0,189500000.0,11700000.0,
Other Special Charges,-11100000.0,-58600000.0,-207700000.0,-30100000.0,
Write Off,2600000.0,1900000.0,18200000.0,18400000.0,
Net Non Operating Interest Income Expense,-320100000.0,-687000000.0,-766900000.0,-201100000.0,
Total Other Finance Cost,99600000.0,94700000.0,82400000.0,39800000.0,
Interest Expense Non Operating,398100000.0,649000000.0,706200000.0,193100000.0,
Interest Income Non Operating,177600000.0,56700000.0,21700000.0,31800000.0,
Operating Income,10619000000.0,10740700000.0,11135300000.0,11147000000.0,
Operating Expense,8690800000.0,8240300000.0,7820800000.0,6283600000.0,
Other Operating Expenses,1436800000.0,1635400000.0,1600400000.0,1394500000.0,
Depreciation And Amortization In Income Statement,2078700000.0,1891900000.0,1736900000.0,1411200000.0,
Amortization,4100000.0,3100000.0,2500000.0,2500000.0,
Depreciation Income Statement,2074600000.0,1888800000.0,1736900000.0,1408700000.0,
Selling General And Administration,1156200000.0,1283600000.0,1338600000.0,829000000.0,
Selling And Marketing Expense,658800000.0,773600000.0,709200000.0,725800000.0,
General And Administrative Expense,497400000.0,510000000.0,629400000.0,103200000.0,
Rent And Landing Fees,35900000.0,27000000.0,25600000.0,19200000.0,
Gross Profit,19309800000.0,18981000000.0,18956100000.0,17430600000.0,
Cost Of Revenue,42047500000.0,39257800000.0,40645700000.0,29317200000.0,
Total Revenue,61357300000.0,58238800000.0,59601800000.0,46747800000.0,
Operating Revenue,61357300000.0,58238800000.0,59601800000.0,46747800000.0,
