,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,40844895.0,15919056.0,5969152.0,46134132.0,
Tax Rate For Calcs,0.2415,0.1948,0.1792,0.1874,
Normalized EBITDA,2474770000.0,2007100000.0,1968240000.0,1401930000.0,
Total Unusual Items,169130000.0,81720000.0,33310000.0,246180000.0,
Total Unusual Items Excluding Goodwill,169130000.0,81720000.0,33310000.0,246180000.0,
Net Income From Continuing Operation Net Minority Interest,1741830000.0,1586440000.0,1554310000.0,1295120000.0,
Reconciled Depreciation,293100000.0,96610000.0,88150000.0,81570000.0,
Reconciled Cost Of Revenue,5132370000.0,3937380000.0,3066500000.0,2255830000.0,
EBITDA,2643900000.0,2088820000.0,2001550000.0,1648110000.0,
EBIT,2350800000.0,1992210000.0,1913400000.0,1566540000.0,
Net Interest Income,394040000.0,571460000.0,399280000.0,145020000.0,
Interest Expense,63400000.0,21960000.0,19760000.0,24860000.0,
Interest Income,465230000.0,604520000.0,426780000.0,177540000.0,
Normalized Income,1613544895.0,1520639056.0,1526969152.0,1095074132.0,
Net Income From Continuing And Discontinued Operation,1741830000.0,1586440000.0,1554310000.0,1295120000.0,
Total Expenses,6803050000.0,5140540000.0,3978010000.0,2939880000.0,
Rent Expense Supplemental,35210000.0,21140000.0,41260000.0,29440000.0,
Diluted Average Shares,207069387.0,206694885.0,203790458.0,189679277.0,
Basic Average Shares,206145302.0,205263044.0,201517413.0,182674944.0,
Diluted EPS,8.41,7.68,7.63,6.84,
Basic EPS,8.45,7.73,7.71,7.09,
Diluted NI Availto Com Stockholders,1741830000.0,1586440000.0,1554310000.0,1295120000.0,
Net Income Common Stockholders,1741830000.0,1586440000.0,1554310000.0,1295120000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1741830000.0,1586440000.0,1554310000.0,1295120000.0,
Minority Interests,6860000.0,0.0,,,
Net Income Including Noncontrolling Interests,1734970000.0,1586440000.0,1554310000.0,1295120000.0,
Net Income Continuous Operations,1734970000.0,1586440000.0,1554310000.0,1295120000.0,
Tax Provision,552430000.0,383810000.0,339330000.0,246560000.0,
Pretax Income,2287400000.0,1970250000.0,1893640000.0,1541680000.0,
Other Non Operating Income Expenses,7990000.0,3020000.0,557660000.0,209720000.0,
Special Income Charges,,,0.0,226190000.0,0.0
Other Special Charges,,,,-226190000.0,
Write Off,,,,,0.0
Net Non Operating Interest Income Expense,394040000.0,571460000.0,399280000.0,145020000.0,
Total Other Finance Cost,7790000.0,11100000.0,7740000.0,7660000.0,
Interest Expense Non Operating,63400000.0,21960000.0,19760000.0,24860000.0,
Interest Income Non Operating,465230000.0,604520000.0,426780000.0,177540000.0,
Operating Income,1675380000.0,1266290000.0,1409610000.0,1138290000.0,
Operating Expense,1670680000.0,1203160000.0,911510000.0,684050000.0,
Other Operating Expenses,506180000.0,303870000.0,242300000.0,206420000.0,
Depreciation And Amortization In Income Statement,293100000.0,96610000.0,88150000.0,81570000.0,
Amortization,159000000.0,110000.0,30000.0,90000.0,
Depreciation Income Statement,134100000.0,96500000.0,88120000.0,81480000.0,
Selling General And Administration,298590000.0,316550000.0,233410000.0,136380000.0,
Selling And Marketing Expense,132270000.0,173490000.0,129340000.0,63380000.0,
General And Administrative Expense,166320000.0,143060000.0,104070000.0,73000000.0,
Rent And Landing Fees,35210000.0,21140000.0,41260000.0,29440000.0,
Gross Profit,3346060000.0,2469450000.0,2321120000.0,1822340000.0,
Cost Of Revenue,5132370000.0,3937380000.0,3066500000.0,2255830000.0,
Total Revenue,8478430000.0,6406830000.0,5387620000.0,4078170000.0,
Operating Revenue,8478430000.0,6406830000.0,5387620000.0,4078170000.0,
