,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,153008100.0,43595701.47233,525920.0,1299200.0,
Tax Rate For Calcs,0.2682,0.288331,0.2768,0.232,
Normalized EBITDA,10639300000.0,7775800000.0,15557200000.0,14105400000.0,
Total Unusual Items,570500000.0,151200000.0,1900000.0,5600000.0,
Total Unusual Items Excluding Goodwill,570500000.0,151200000.0,1900000.0,5600000.0,
Net Income From Continuing Operation Net Minority Interest,3583200000.0,1605500000.0,7901100000.0,8275200000.0,
Reconciled Depreciation,4300900000.0,3845800000.0,3240800000.0,2514900000.0,
Reconciled Cost Of Revenue,25394100000.0,24990900000.0,28407100000.0,22483200000.0,
EBITDA,11209800000.0,7927000000.0,15559100000.0,14111000000.0,
EBIT,6908800000.0,4081200000.0,12318300000.0,11596100000.0,
Net Interest Income,-1974600000.0,-1740500000.0,-1380300000.0,-902400000.0,
Interest Expense,2065900000.0,1717600000.0,1228900000.0,757600000.0,
Interest Income,151700000.0,56100000.0,45600000.0,17200000.0,
Normalized Income,3165708100.0,1497895701.47233,7899725920.0,8270899200.0,
Net Income From Continuing And Discontinued Operation,3583200000.0,1605500000.0,7901100000.0,8275200000.0,
Total Expenses,48826800000.0,46069300000.0,47199500000.0,37159100000.0,
Rent Expense Supplemental,35600000.0,22600000.0,23000000.0,23100000.0,
Diluted Average Shares,539593520.0,539665671.0,539600487.0,539169857.0,
Basic Average Shares,539152333.0,538749879.0,537730888.0,536813916.0,
Diluted EPS,6.64,2.97,14.64,15.35,
Basic EPS,6.65,2.98,14.69,15.42,
Diluted NI Availto Com Stockholders,3583200000.0,1605500000.0,7901100000.0,8275200000.0,
Net Income Common Stockholders,3583200000.0,1605500000.0,7901100000.0,8275200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3583200000.0,1605500000.0,7901100000.0,8275200000.0,
Minority Interests,-200000.0,-17200000.0,-33200000.0,-47100000.0,
Net Income Including Noncontrolling Interests,3583400000.0,1622700000.0,7934300000.0,8322300000.0,
Net Income Continuous Operations,3583400000.0,1622700000.0,7934300000.0,8322300000.0,
Tax Provision,1298800000.0,681500000.0,3123000000.0,2514200000.0,
Pretax Income,4842900000.0,2363600000.0,11089400000.0,10838500000.0,
Other Non Operating Income Expenses,200000.0,100000.0,10400000.0,8700000.0,
Special Income Charges,570500000.0,151200000.0,1900000.0,5600000.0,
Other Special Charges,-570500000.0,-151200000.0,2100000.0,12100000.0,
Write Off,,0.0,-4000000.0,-17700000.0,0.0
Net Non Operating Interest Income Expense,-1974600000.0,-1740500000.0,-1380300000.0,-902400000.0,
Total Other Finance Cost,60400000.0,79000000.0,197000000.0,162000000.0,
Interest Expense Non Operating,2065900000.0,1717600000.0,1228900000.0,757600000.0,
Interest Income Non Operating,151700000.0,56100000.0,45600000.0,17200000.0,
Operating Income,6251800000.0,3948700000.0,12942700000.0,11726300000.0,
Operating Expense,23432700000.0,21078400000.0,18792400000.0,14675900000.0,
Other Operating Expenses,9295700000.0,8752300000.0,7930000000.0,5660400000.0,
Depreciation And Amortization In Income Statement,4301000000.0,3845700000.0,3240800000.0,2514900000.0,
Amortization,58500000.0,49100000.0,,,
Depreciation Income Statement,4242500000.0,3796600000.0,3240800000.0,2514900000.0,
Research And Development,553000000.0,437600000.0,255900000.0,294700000.0,
Selling General And Administration,2513200000.0,2011200000.0,1799600000.0,1637800000.0,
Selling And Marketing Expense,1709500000.0,1344900000.0,1161400000.0,1019800000.0,
General And Administrative Expense,803700000.0,666300000.0,638200000.0,618000000.0,
Rent And Landing Fees,35600000.0,22600000.0,23000000.0,23100000.0,
Gross Profit,29684500000.0,25027100000.0,31735100000.0,26402200000.0,
Cost Of Revenue,25394100000.0,24990900000.0,28407100000.0,22483200000.0,
Total Revenue,55078600000.0,50018000000.0,60142200000.0,48885400000.0,
Operating Revenue,55078600000.0,50018000000.0,60142200000.0,48885400000.0,
