,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-3879835.868781,-591181.173068,547373.916478,1518356.840579,
Tax Rate For Calcs,0.179191,0.158112,0.211505,0.050007,
Normalized EBITDA,6417541000.0,5308287000.0,4519158000.0,1353149000.0,
Total Unusual Items,-21652000.0,-3739000.0,2588000.0,30363000.0,
Total Unusual Items Excluding Goodwill,-21652000.0,-3739000.0,2588000.0,30363000.0,
Net Income From Continuing Operation Net Minority Interest,1965811000.0,1484899000.0,1145636000.0,-874339000.0,
Reconciled Depreciation,1392965000.0,1121310000.0,966016000.0,1043475000.0,
Reconciled Cost Of Revenue,3043471000.0,2567323000.0,2065668000.0,1337099000.0,
EBITDA,6395889000.0,5304548000.0,4521746000.0,1383512000.0,
EBIT,5002924000.0,4183238000.0,3555730000.0,340037000.0,
Net Interest Income,-2012383000.0,-2017123000.0,-1772509000.0,-1743711000.0,
Interest Expense,2040660000.0,2024915000.0,1773348000.0,1785960000.0,
Interest Income,26207000.0,17957000.0,22067000.0,39279000.0,
Normalized Income,1983583164.131219,1488046818.826932,1143595373.916478,-903183643.159421,
Net Income From Continuing And Discontinued Operation,1965811000.0,1484899000.0,1145636000.0,-874339000.0,
Total Expenses,7045340000.0,5970745000.0,4859675000.0,3660605000.0,
Rent Expense Supplemental,79100000.0,75830000.0,55665000.0,43785000.0,
Diluted Average Shares,791846625.0,791211385.0,791211385.0,790617960.0,
Basic Average Shares,791846625.0,791211385.0,791211385.0,790617960.0,
Diluted EPS,2.48,1.88,1.45,-1.11,
Basic EPS,2.48,1.88,1.45,-1.11,
Diluted NI Availto Com Stockholders,1965811000.0,1484899000.0,1145636000.0,-874339000.0,
Net Income Common Stockholders,1965811000.0,1484899000.0,1145636000.0,-874339000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1965811000.0,1484899000.0,1145636000.0,-874339000.0,
Minority Interests,-465643000.0,-332167000.0,-259764000.0,499278000.0,
Net Income Including Noncontrolling Interests,2431454000.0,1817066000.0,1405400000.0,-1373617000.0,
Net Income Continuous Operations,2431454000.0,1817066000.0,1405400000.0,-1373617000.0,
Tax Provision,530810000.0,341257000.0,376982000.0,-72306000.0,
Pretax Income,2962264000.0,2158323000.0,1782382000.0,-1445923000.0,
Other Non Operating Income Expenses,19601000.0,16314000.0,11493000.0,71043000.0,
Special Income Charges,-27365000.0,-4681000.0,1803000.0,26430000.0,
Other Special Charges,27365000.0,4681000.0,-1851000.0,-30475000.0,
Write Off,,0.0,48000.0,4045000.0,657000.0
Net Non Operating Interest Income Expense,-2012383000.0,-2017123000.0,-1772509000.0,-1743711000.0,
Total Other Finance Cost,-2070000.0,10165000.0,21228000.0,-2970000.0,
Interest Expense Non Operating,2040660000.0,2024915000.0,1773348000.0,1785960000.0,
Interest Income Non Operating,26207000.0,17957000.0,22067000.0,39279000.0,
Operating Income,4979368000.0,4155867000.0,3532122000.0,185977000.0,
Operating Expense,4001869000.0,3403422000.0,2794007000.0,2323506000.0,
Other Operating Expenses,2869948000.0,2404505000.0,1852584000.0,1261403000.0,
Depreciation And Amortization In Income Statement,1392965000.0,1121310000.0,966016000.0,1043475000.0,
Amortization,339380000.0,228324000.0,260247000.0,240024000.0,
Depreciation Income Statement,1053585000.0,892986000.0,705769000.0,803451000.0,
Selling General And Administration,392141000.0,287843000.0,200528000.0,150662000.0,
Selling And Marketing Expense,29890000.0,52196000.0,15647000.0,9427000.0,
General And Administrative Expense,362251000.0,235647000.0,184881000.0,141235000.0,
Rent And Landing Fees,79100000.0,75830000.0,55665000.0,43785000.0,
Gross Profit,8981237000.0,7559289000.0,6326129000.0,2509483000.0,
Cost Of Revenue,3043471000.0,2567323000.0,2065668000.0,1337099000.0,
Total Revenue,12024708000.0,10126612000.0,8391797000.0,3846582000.0,
Operating Revenue,12024708000.0,10126612000.0,8391797000.0,3846582000.0,
