,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,208778.780205,860106.820388,300878.742519,17983.611145,
Tax Rate For Calcs,0.208779,0.215027,0.188049,0.179836,
Total Unusual Items,1000000.0,4000000.0,1600000.0,100000.0,
Total Unusual Items Excluding Goodwill,1000000.0,4000000.0,1600000.0,100000.0,
Net Income From Continuing Operation Net Minority Interest,54422300000.0,47629700000.0,28907700000.0,22856500000.0,
Reconciled Depreciation,977700000.0,692300000.0,690400000.0,524400000.0,
Net Interest Income,81610200000.0,86794400000.0,64137500000.0,55697500000.0,
Interest Expense,195283600000.0,183878700000.0,161347600000.0,141510900000.0,
Interest Income,276893800000.0,270673100000.0,225485100000.0,197208400000.0,
Normalized Income,54421508778.780205,47626560106.82039,28906400878.74252,22856417983.611145,
Net Income From Continuing And Discontinued Operation,54422300000.0,47629700000.0,28907700000.0,22856500000.0,
Diluted Average Shares,550063000.0,550063000.0,550063000.0,530161630.0,
Basic Average Shares,550063000.0,550063000.0,550063000.0,530161630.0,
Diluted EPS,98.95,86.53,52.553435,43.12,
Basic EPS,98.95,86.53,52.553435,43.12,
Diluted NI Availto Com Stockholders,54422300000.0,47629700000.0,28907700000.0,22856500000.0,
Net Income Common Stockholders,54422300000.0,47629700000.0,28907700000.0,22856500000.0,
Net Income,54422300000.0,47629700000.0,28907700000.0,22856500000.0,
Minority Interests,-4700000.0,-3500000.0,-4100000.0,-3500000.0,
Net Income Including Noncontrolling Interests,54427000000.0,47633200000.0,28911700000.0,22860100000.0,
Net Income Continuous Operations,54427000000.0,47633200000.0,28911700000.0,22860100000.0,
Tax Provision,14361600000.0,13048100000.0,6696000000.0,5012500000.0,
Pretax Income,68788600000.0,60681300000.0,35607700000.0,27872600000.0,
Special Income Charges,1000000.0,4000000.0,1600000.0,100000.0,
Other Special Charges,-1000000.0,-4000000.0,-1600000.0,-100000.0,
Impairment Of Capital Assets,,,0.0,0.0,0.0
Gain On Sale Of Security,811500000.0,872900000.0,747600000.0,367700000.0,
Operating Expense,12878900000.0,10301900000.0,8832100000.0,9161200000.0,
Other Operating Expenses,3551800000.0,2355000000.0,2115200000.0,1917400000.0,
Depreciation And Amortization In Income Statement,977700000.0,692300000.0,690400000.0,551900000.0,
Depreciation Income Statement,977700000.0,692300000.0,690400000.0,551900000.0,
Selling General And Administration,594800000.0,580700000.0,551100000.0,397100000.0,
Selling And Marketing Expense,468800000.0,338500000.0,437600000.0,282000000.0,
General And Administrative Expense,126000000.0,242200000.0,113500000.0,115100000.0,
Insurance And Claims,2000000.0,1200000.0,1800000.0,1800000.0,
Rent And Landing Fees,172200000.0,157000000.0,293300000.0,259700000.0,
Total Revenue,81948200000.0,86767400000.0,63796600000.0,56660000000.0,
Operating Revenue,81948200000.0,86767400000.0,63796600000.0,56660000000.0,
