,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.000626,0.003428,0.002336,0.009574,
Net Income From Continuing Operation Net Minority Interest,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Reconciled Depreciation,5064700000.0,4659400000.0,4663800000.0,4361858000.0,
EBIT,484932600000.0,411844800000.0,361583700000.0,42512778000.0,
Net Interest Income,-1426500000.0,-1278800000.0,-774300000.0,-866996000.0,
Interest Expense,1426500000.0,1278800000.0,774300000.0,866996000.0,
Interest Income,3229753400000.0,3012731100000.0,2761176600000.0,2538383617000.0,
Normalized Income,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Net Income From Continuing And Discontinued Operation,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Total Expenses,8427746500000.0,8079742700000.0,7453042400000.0,7226736748000.0,
Rent Expense Supplemental,8168400000.0,7993200000.0,7272600000.0,6731024000.0,
Diluted Average Shares,6324997701.0,6324997701.0,6324997701.0,6326239571.0,
Basic Average Shares,6324997701.0,6324997701.0,6324997701.0,6326239571.0,
Diluted EPS,76.4,64.69,56.91,6.52,
Basic EPS,76.4,64.69,56.91,6.52,
Diluted NI Availto Com Stockholders,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Net Income Common Stockholders,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Net Income,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Minority Interests,,,,,-4465250000.0
Net Income Including Noncontrolling Interests,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Net Income Extraordinary,0.0,0.0,0.0,,
Net Income Continuous Operations,483203300000.0,409158500000.0,359966500000.0,41247082000.0,
Tax Provision,302800000.0,1407500000.0,842900000.0,398700000.0,
Pretax Income,483506100000.0,410566000000.0,360809400000.0,41645782000.0,
Other Income Expense,-4700000.0,600000.0,5700000.0,-11713000.0,
Net Non Operating Interest Income Expense,-1426500000.0,-1278800000.0,-774300000.0,-866996000.0,
Interest Expense Non Operating,1426500000.0,1278800000.0,774300000.0,866996000.0,
Interest Income Non Operating,,,,0.0,102000366000.0
Other Operating Expenses,678647100000.0,377736300000.0,259315300000.0,109634484000.0,
Depreciation And Amortization In Income Statement,5064700000.0,4659400000.0,4663800000.0,4361858000.0,
Depreciation Income Statement,5064700000.0,4659400000.0,4663800000.0,4361858000.0,
Selling General And Administration,6930900000.0,6135200000.0,7816000000.0,7927502000.0,
Selling And Marketing Expense,6122100000.0,5566000000.0,7138500000.0,7482975000.0,
General And Administrative Expense,808800000.0,569200000.0,677500000.0,444527000.0,
Rent And Landing Fees,8168400000.0,7993200000.0,7272600000.0,6731024000.0,
Total Revenue,8911252600000.0,8490308700000.0,7852170800000.0,7268382530000.0,
Operating Revenue,8911252600000.0,8490308700000.0,7852170800000.0,7268382530000.0,
Net Policyholder Benefits And Claims,3703103300000.0,3518019900000.0,3090887400000.0,3574689032000.0,
