,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,239854000.843763,-4139331524.955613,-3220500000.0,-3144184095.543257,
Tax Rate For Calcs,0.221882,0.233478,0.3,0.295951,
Normalized EBITDA,42424000000.0,49231000000.0,29387000000.0,47885000000.0,
Total Unusual Items,1081000000.0,-17729000000.0,-10735000000.0,-10624000000.0,
Total Unusual Items Excluding Goodwill,1081000000.0,-17729000000.0,-10735000000.0,-10624000000.0,
Net Income From Continuing Operation Net Minority Interest,27643000000.0,15491000000.0,4867000000.0,12024000000.0,
Reconciled Depreciation,1582000000.0,1250000000.0,843000000.0,748000000.0,
Reconciled Cost Of Revenue,82496000000.0,62028000000.0,60640000000.0,60626000000.0,
EBITDA,43505000000.0,31502000000.0,18652000000.0,37261000000.0,
EBIT,41923000000.0,30252000000.0,17809000000.0,36513000000.0,
Net Interest Income,-3937000000.0,-3702000000.0,-3594000000.0,-3753000000.0,
Interest Expense,6368000000.0,9976000000.0,13284000000.0,19348000000.0,
Interest Income,1580000000.0,1115000000.0,1226000000.0,3127000000.0,
Normalized Income,26801854000.84376,29080668475.044388,12381500000.0,19503815904.45674,
Net Income From Continuing And Discontinued Operation,27643000000.0,15491000000.0,4867000000.0,12024000000.0,
Total Expenses,98381000000.0,60236000000.0,73500000000.0,59555000000.0,
Rent Expense Supplemental,114000000.0,102000000.0,106000000.0,19000000.0,
Diluted Average Shares,998441792.0,968957477.0,964553416.0,916171020.0,
Basic Average Shares,995830295.0,966230691.0,963318204.0,915040200.0,
Diluted EPS,27.67,15.99,5.05,13.125,
Basic EPS,27.76,16.03,5.05,13.14,
Diluted NI Availto Com Stockholders,27643000000.0,15491000000.0,4867000000.0,12024000000.0,
Net Income Common Stockholders,27643000000.0,15491000000.0,4867000000.0,12024000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,27643000000.0,15491000000.0,4867000000.0,12024000000.0,
Minority Interests,-23000000.0,-51000000.0,-28000000.0,-61000000.0,
Net Income Including Noncontrolling Interests,27666000000.0,15542000000.0,4895000000.0,12085000000.0,
Net Income Continuous Operations,27666000000.0,15542000000.0,4895000000.0,12085000000.0,
Tax Provision,7889000000.0,4734000000.0,-370000000.0,5080000000.0,
Pretax Income,35555000000.0,20276000000.0,4525000000.0,17165000000.0,
Other Non Operating Income Expenses,111000000.0,87000000.0,86000000.0,24000000.0,
Special Income Charges,-1138000000.0,-18043000000.0,-11847000000.0,-10802000000.0,
Other Special Charges,1000000.0,17254000000.0,11762000000.0,10717000000.0,
Impairment Of Capital Assets,1137000000.0,789000000.0,85000000.0,85000000.0,
Net Non Operating Interest Income Expense,-3937000000.0,-3702000000.0,-3594000000.0,-3753000000.0,
Total Other Finance Cost,-851000000.0,-5159000000.0,-8464000000.0,-12468000000.0,
Interest Expense Non Operating,6368000000.0,9976000000.0,13284000000.0,19348000000.0,
Interest Income Non Operating,1580000000.0,1115000000.0,1226000000.0,3127000000.0,
Operating Income,38320000000.0,41741000000.0,19848000000.0,31914000000.0,
Operating Expense,15885000000.0,-1792000000.0,12860000000.0,-1071000000.0,
Other Operating Expenses,7045000000.0,-11725000000.0,3913000000.0,-6140000000.0,
Depreciation And Amortization In Income Statement,1582000000.0,1250000000.0,843000000.0,663000000.0,
Amortization,,,,,6503000.0
Depreciation Income Statement,1582000000.0,1250000000.0,843000000.0,663000000.0,
Selling General And Administration,2782000000.0,5030000000.0,5115000000.0,1706000000.0,
Selling And Marketing Expense,1743000000.0,4093000000.0,4028000000.0,1172000000.0,
General And Administrative Expense,1039000000.0,937000000.0,1087000000.0,534000000.0,
Rent And Landing Fees,114000000.0,102000000.0,106000000.0,19000000.0,
Gross Profit,54205000000.0,39949000000.0,32708000000.0,30843000000.0,
Cost Of Revenue,82496000000.0,62028000000.0,60640000000.0,60626000000.0,
Total Revenue,136701000000.0,101977000000.0,93348000000.0,91469000000.0,
Operating Revenue,136701000000.0,101977000000.0,93348000000.0,91469000000.0,
