,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-6598284630.0,-2732274738.060087,-6278071510.0,-11841773340.0,
Tax Rate For Calcs,0.2499,0.241135,0.2521,0.2911,
Normalized EBITDA,336482200000.0,288614100000.0,261612200000.0,245563600000.0,
Total Unusual Items,-26403700000.0,-11330900000.0,-24903100000.0,-40679400000.0,
Total Unusual Items Excluding Goodwill,-26403700000.0,-11330900000.0,-24903100000.0,-40679400000.0,
Net Income From Continuing Operation Net Minority Interest,150371100000.0,130591100000.0,104707200000.0,86693300000.0,
Reconciled Depreciation,40982200000.0,36747000000.0,33842000000.0,29380300000.0,
Reconciled Cost Of Revenue,1711688900000.0,1462123800000.0,1166152700000.0,998869400000.0,
EBITDA,310078500000.0,277283200000.0,236709100000.0,204884200000.0,
EBIT,269096300000.0,240536200000.0,202867100000.0,175503900000.0,
Net Interest Income,-11821500000.0,-13408600000.0,-15724400000.0,-21546200000.0,
Interest Expense,33308400000.0,35365100000.0,31776800000.0,30554200000.0,
Interest Income,24713100000.0,24470700000.0,18174700000.0,10633500000.0,
Normalized Income,170176515370.0,139189725261.9399,123332228490.0,115530926660.0,
Net Income From Continuing And Discontinued Operation,150371100000.0,130591100000.0,104707200000.0,86693300000.0,
Total Expenses,2276962600000.0,1973846100000.0,1621599400000.0,1363314100000.0,
Rent Expense Supplemental,74599800000.0,60582800000.0,42391900000.0,33075000000.0,
Diluted Average Shares,1376040006.0,1391050903.0,1406439151.0,1406288280.0,
Basic Average Shares,1374993122.0,1389817026.0,1405258885.0,1404747700.0,
Diluted EPS,109.28,93.88,74.45,61.65,
Basic EPS,109.36,93.96,74.51,61.71,
Diluted NI Availto Com Stockholders,150371100000.0,130591100000.0,104707200000.0,86693300000.0,
Net Income Common Stockholders,150371100000.0,130591100000.0,104707200000.0,86693300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,150371100000.0,130591100000.0,104707200000.0,86693300000.0,
Minority Interests,-26362200000.0,-24879900000.0,-20599000000.0,-17499100000.0,
Net Income Including Noncontrolling Interests,176733300000.0,155471000000.0,125306200000.0,104192400000.0,
Net Income Extraordinary,,-226200000.0,-942500000.0,969300000.0,-35560200000.0
Net Income Discontinuous Operations,,,,0.0,82379200000.0
Net Income Continuous Operations,176733300000.0,155471000000.0,125306200000.0,104192400000.0,
Tax Provision,58914000000.0,49473900000.0,44841600000.0,42039200000.0,
Pretax Income,235787900000.0,205171100000.0,171090300000.0,144949700000.0,
Other Non Operating Income Expenses,5088600000.0,8670500000.0,10045500000.0,7436800000.0,
Special Income Charges,-40194100000.0,-14584800000.0,-25367400000.0,-42879300000.0,
Other Special Charges,9154100000.0,-6788500000.0,-1973600000.0,-1161800000.0,
Write Off,30810400000.0,21297000000.0,27287400000.0,43941900000.0,
Impairment Of Capital Assets,229600000.0,76300000.0,53600000.0,99200000.0,
Net Non Operating Interest Income Expense,-11821500000.0,-13408600000.0,-15724400000.0,-21546200000.0,
Total Other Finance Cost,3226200000.0,2514200000.0,2122300000.0,1625500000.0,
Interest Expense Non Operating,33308400000.0,35365100000.0,31776800000.0,30554200000.0,
Interest Income Non Operating,24713100000.0,24470700000.0,18174700000.0,10633500000.0,
Operating Income,265123900000.0,217310800000.0,195014800000.0,193410500000.0,
Operating Expense,565273700000.0,511722300000.0,455446700000.0,364444700000.0,
Other Operating Expenses,4236200000.0,21790800000.0,13359400000.0,3828900000.0,
Depreciation And Amortization In Income Statement,40982200000.0,36747000000.0,33842000000.0,29380300000.0,
Amortization,9242400000.0,8839500000.0,9921000000.0,9085900000.0,
Depreciation Income Statement,31739800000.0,27907500000.0,23921000000.0,20294400000.0,
Selling General And Administration,60600900000.0,52585400000.0,46380100000.0,38914700000.0,
Selling And Marketing Expense,4679500000.0,4256900000.0,3928800000.0,2611500000.0,
General And Administrative Expense,55921400000.0,48328500000.0,42451300000.0,36303200000.0,
Rent And Landing Fees,3303700000.0,3338900000.0,3230600000.0,2364600000.0,
Gross Profit,830397600000.0,729033100000.0,650461500000.0,557855200000.0,
Cost Of Revenue,1711688900000.0,1462123800000.0,1166152700000.0,998869400000.0,
Total Revenue,2542086500000.0,2191156900000.0,1816614200000.0,1556724600000.0,
Operating Revenue,2542086500000.0,2191156900000.0,1816614200000.0,1556724600000.0,
