,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-1163040.0,-1477350.0,-6423290600.0,-42750.0,
Tax Rate For Calcs,0.2423,0.2345,0.2393,0.1425,
Total Unusual Items,-4800000.0,-6300000.0,-26842000000.0,-300000.0,
Total Unusual Items Excluding Goodwill,-4800000.0,-6300000.0,-26842000000.0,-300000.0,
Net Income From Continuing Operation Net Minority Interest,26436600000.0,23201000000.0,-6421200000.0,8701000000.0,
Reconciled Depreciation,1389000000.0,1145800000.0,1108600000.0,995400000.0,
Net Interest Income,86665300000.0,75367400000.0,67678700000.0,59503800000.0,
Interest Expense,59967600000.0,53771900000.0,57972400000.0,57537900000.0,
Interest Income,146632900000.0,129139300000.0,125651100000.0,117041700000.0,
Normalized Income,26440236960.0,23205822650.0,13997509400.0,8701257250.0,
Net Income From Continuing And Discontinued Operation,26436600000.0,23201000000.0,16232500000.0,10701100000.0,
Diluted Average Shares,2500663458.0,2494275791.0,2485228068.0,2479753404.0,
Basic Average Shares,2492629247.0,2484328659.0,2476883662.0,2472614063.0,
Diluted EPS,10.57,9.3,6.54,4.32,
Basic EPS,10.61,9.34,6.56,4.33,
Diluted NI Availto Com Stockholders,26436600000.0,23201000000.0,16232500000.0,10701100000.0,
Net Income Common Stockholders,26436600000.0,23201000000.0,16232500000.0,10701100000.0,
Net Income,26436600000.0,23201000000.0,16232500000.0,10701100000.0,
Minority Interests,2400000.0,29700000.0,867700000.0,208700000.0,
Net Income Including Noncontrolling Interests,26434200000.0,23171300000.0,15364800000.0,10492400000.0,
Net Income Discontinuous Operations,,0.0,22653700000.0,2000100000.0,2106500000.0
Net Income Continuous Operations,26434200000.0,23171300000.0,-7288900000.0,8492300000.0,
Tax Provision,8478400000.0,7119000000.0,1723700000.0,3736200000.0,
Pretax Income,34912600000.0,30290300000.0,-5565200000.0,12228500000.0,
Special Income Charges,-4800000.0,-6300000.0,-26842000000.0,-300000.0,
Other Special Charges,4800000.0,6300000.0,26842000000.0,300000.0,
Write Off,,,,1026400000.0,856600000.0
Gain On Sale Of Security,-492700000.0,-10280800000.0,-11179300000.0,-7337100000.0,
Operating Expense,39840900000.0,35072400000.0,28334000000.0,22635900000.0,
Other Operating Expenses,9262500000.0,8216900000.0,6210400000.0,6394100000.0,
Depreciation And Amortization In Income Statement,1389000000.0,1147700000.0,1112400000.0,1026400000.0,
Amortization,785300000.0,783300000.0,812300000.0,668600000.0,
Depreciation Income Statement,603700000.0,364400000.0,300100000.0,357800000.0,
Selling General And Administration,6296700000.0,6549600000.0,6629800000.0,4035600000.0,
Selling And Marketing Expense,701000000.0,1034100000.0,602000000.0,31000000.0,
General And Administrative Expense,5595700000.0,5515500000.0,6027800000.0,4004600000.0,
Insurance And Claims,52100000.0,56400000.0,35100000.0,39700000.0,
Rent And Landing Fees,664000000.0,1012800000.0,247400000.0,149100000.0,
Total Revenue,96691800000.0,78592600000.0,65212600000.0,55904100000.0,
Operating Revenue,96691800000.0,78592600000.0,65212600000.0,55904100000.0,
