,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,4132596.99296,3478692.709245,5983390.315493,20464919.73336
Tax Rate For Calcs,0.255714,0.253494,0.248542,0.270053
Normalized EBITDA,10856902000.0,10252105000.0,7476091000.0,5907568000.0
Total Unusual Items,16161000.0,13723000.0,24074000.0,75781000.0
Total Unusual Items Excluding Goodwill,16161000.0,13723000.0,24074000.0,75781000.0
Net Income From Continuing Operation Net Minority Interest,6053404000.0,5933488000.0,4026519000.0,2921753000.0
Reconciled Depreciation,1856817000.0,1529065000.0,1269072000.0,1226324000.0
Reconciled Cost Of Revenue,57889371000.0,53275879000.0,46236200000.0,36484925000.0
EBITDA,10873063000.0,10265828000.0,7500165000.0,5983349000.0
EBIT,9016246000.0,8736763000.0,6231092000.0,4757025000.0
Net Interest Income,-871642000.0,-822018000.0,-813628000.0,-676078000.0
Interest Expense,796268000.0,731488000.0,605261000.0,521056000.0
Interest Income,5136000.0,7640000.0,7375000.0,11184000.0
Normalized Income,6041375596.99296,5923243692.709245,4008428390.315493,2866436919.73336
Net Income From Continuing And Discontinued Operation,6053404000.0,5933488000.0,4026519000.0,2921753000.0
Total Expenses,78414673000.0,69531135000.0,63198325000.0,49155799000.0
Rent Expense Supplemental,680344000.0,490570000.0,520342000.0,446866000.0
Diluted Average Shares,347252944.0,347252944.0,322172597.0,319844780.0
Basic Average Shares,347252944.0,347252944.0,322172597.0,319844780.0
Diluted EPS,17.43,17.09,12.5,9.13
Basic EPS,17.43,17.09,12.5,9.13
Diluted NI Availto Com Stockholders,6053404000.0,5933488000.0,4026519000.0,2921753000.0
Net Income Common Stockholders,6053404000.0,5933488000.0,4026519000.0,2921753000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6053404000.0,5933488000.0,4026519000.0,2921753000.0
Minority Interests,-64609000.0,-42501000.0,-201059000.0,-170278000.0
Net Income Including Noncontrolling Interests,6118013000.0,5975989000.0,4227578000.0,3092031000.0
Net Income Continuous Operations,6118013000.0,5975989000.0,4227578000.0,3092031000.0
Tax Provision,2101965000.0,2029286000.0,1398253000.0,1143938000.0
Pretax Income,8219978000.0,8005275000.0,5625831000.0,4235969000.0
Other Non Operating Income Expenses,765739000.0,475689000.0,259558000.0,83529000.0
Special Income Charges,-16023000.0,5317000.0,42411000.0,3445000.0
Other Special Charges,4233000.0,-6548000.0,-50336000.0,-3592000.0
Write Off,11790000.0,1231000.0,7925000.0,147000.0
Net Non Operating Interest Income Expense,-871642000.0,-822018000.0,-813628000.0,-676078000.0
Total Other Finance Cost,80510000.0,98170000.0,215742000.0,166206000.0
Interest Expense Non Operating,796268000.0,731488000.0,605261000.0,521056000.0
Interest Income Non Operating,5136000.0,7640000.0,7375000.0,11184000.0
Operating Income,7938912000.0,7864608000.0,5757781000.0,4733287000.0
Operating Expense,20525302000.0,16255256000.0,16962125000.0,12670874000.0
Other Operating Expenses,5845121000.0,4340239000.0,7150166000.0,4557590000.0
Depreciation And Amortization In Income Statement,1856817000.0,1529065000.0,1269073000.0,1226324000.0
Amortization,14215000.0,29085000.0,46670000.0,48792000.0
Depreciation Income Statement,1842602000.0,1499980000.0,1222403000.0,1177532000.0
Research And Development,78400000.0,56601000.0,50069000.0,0.0
Selling General And Administration,6814109000.0,5228698000.0,4199307000.0,3484601000.0
Selling And Marketing Expense,4763432000.0,3487848000.0,2824527000.0,2409204000.0
General And Administrative Expense,2050677000.0,1740850000.0,1374780000.0,1075397000.0
Rent And Landing Fees,680344000.0,490570000.0,520342000.0,446866000.0
Gross Profit,28464214000.0,24119864000.0,22719906000.0,17404161000.0
Cost Of Revenue,57889371000.0,53275879000.0,46236200000.0,36484925000.0
Total Revenue,86353585000.0,77395743000.0,68956106000.0,53889086000.0
Operating Revenue,86353585000.0,77395743000.0,68956106000.0,53889086000.0
