,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,685934046.118319,3661094126.659569,3087072039.362087,1723134861.035894,
Tax Rate For Calcs,0.262398,0.23207,0.191018,0.225252,
Normalized EBITDA,332301800000.0,262704600000.0,223501700000.0,170140500000.0,
Total Unusual Items,2614100000.0,15775800000.0,17382500000.0,7649800000.0,
Total Unusual Items Excluding Goodwill,2614100000.0,15775800000.0,16161200000.0,7649800000.0,
Net Income From Continuing Operation Net Minority Interest,129291000000.0,112686400000.0,102815000000.0,65773200000.0,
Reconciled Depreciation,55581800000.0,45362600000.0,43287000000.0,35026600000.0,
Reconciled Cost Of Revenue,963780700000.0,842019500000.0,746456100000.0,521341400000.0,
EBITDA,334915900000.0,278480400000.0,240884200000.0,177790300000.0,
EBIT,279334100000.0,233117800000.0,197597200000.0,142763700000.0,
Net Interest Income,-78318300000.0,-66635900000.0,-53074300000.0,-46015600000.0,
Interest Expense,88537900000.0,73339900000.0,56994900000.0,49146000000.0,
Interest Income,12515600000.0,8246200000.0,5222700000.0,4164900000.0,
Normalized Income,127362834046.11832,100571694126.65958,90962172039.36209,59846534861.0359,
Net Income From Continuing And Discontinued Operation,129291000000.0,112686400000.0,102815000000.0,65773200000.0,
Total Expenses,1310680100000.0,1161931900000.0,1030517700000.0,772602500000.0,
Rent Expense Supplemental,23608600000.0,23792900000.0,3238200000.0,2719500000.0,
Diluted Average Shares,1119724164.0,1118758867.0,1117314010.0,1115531009.0,
Basic Average Shares,1115470199.0,1114165864.0,1112619910.0,1110943402.0,
Diluted EPS,115.06,100.7,91.96,58.83,
Basic EPS,115.91,101.14,92.41,59.2,
Diluted NI Availto Com Stockholders,128834900000.0,112659200000.0,102743400000.0,65623800000.0,
Average Dilution Earnings,-456100000.0,-27200000.0,-71600000.0,-149400000.0,
Net Income Common Stockholders,129291000000.0,112686400000.0,102815000000.0,65773200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,129291000000.0,112686400000.0,102815000000.0,65773200000.0,
Minority Interests,-11440700000.0,-10011800000.0,-10929800000.0,-6756900000.0,
Net Income Including Noncontrolling Interests,140731700000.0,122698200000.0,113744800000.0,72530100000.0,
Net Income Discontinuous Operations,,,,0.0,-21895300000.0
Net Income Continuous Operations,140731700000.0,122698200000.0,113744800000.0,72530100000.0,
Tax Provision,50064500000.0,37079700000.0,26857500000.0,21087600000.0,
Pretax Income,190796200000.0,159777900000.0,140602300000.0,93617700000.0,
Other Non Operating Income Expenses,5258200000.0,3217400000.0,2517500000.0,1604800000.0,
Special Income Charges,-1366300000.0,5211800000.0,11893900000.0,4093300000.0,
Other Special Charges,-3788400000.0,-7087000000.0,-29515200000.0,-5016000000.0,
Write Off,,,6282300000.0,-827600000.0,2318300000.0
Impairment Of Capital Assets,5154700000.0,1875200000.0,10117700000.0,1750300000.0,
Net Non Operating Interest Income Expense,-78318300000.0,-66635900000.0,-53074300000.0,-46015600000.0,
Total Other Finance Cost,2296000000.0,1542200000.0,1302100000.0,1034500000.0,
Interest Expense Non Operating,88537900000.0,73339900000.0,56994900000.0,49146000000.0,
Interest Income Non Operating,12515600000.0,8246200000.0,5222700000.0,4164900000.0,
Operating Income,245772500000.0,196098400000.0,159886100000.0,111801900000.0,
Operating Expense,346899400000.0,319912400000.0,284061600000.0,251261100000.0,
Other Operating Expenses,89481200000.0,81060000000.0,87257700000.0,93611600000.0,
Depreciation And Amortization In Income Statement,55581800000.0,45362600000.0,43287000000.0,35026600000.0,
Amortization,18682100000.0,14346200000.0,13232600000.0,9678200000.0,
Depreciation Income Statement,36899700000.0,31016400000.0,30054400000.0,25348400000.0,
Selling General And Administration,98011000000.0,88216300000.0,75780900000.0,53337300000.0,
Selling And Marketing Expense,85532700000.0,77620500000.0,65598600000.0,51505800000.0,
General And Administrative Expense,12478300000.0,10595800000.0,10182300000.0,1831500000.0,
Rent And Landing Fees,23608600000.0,23792900000.0,3238200000.0,2719500000.0,
Gross Profit,592671900000.0,516010800000.0,443947700000.0,363063000000.0,
Cost Of Revenue,963780700000.0,842019500000.0,746456100000.0,521341400000.0,
Total Revenue,1556452600000.0,1358030300000.0,1190403800000.0,884404400000.0,
Operating Revenue,1556452600000.0,1358030300000.0,1190403800000.0,884404400000.0,
