,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,10932907.816883,17373428.818707,8728500.0,57102681.003214,
Tax Rate For Calcs,0.253077,0.24926,0.2645,0.257567,
Total Unusual Items,43200000.0,69700000.0,33000000.0,221700000.0,
Total Unusual Items Excluding Goodwill,43200000.0,69700000.0,33000000.0,221700000.0,
Net Income From Continuing Operation Net Minority Interest,22618700000.0,19326900000.0,20724000000.0,11368700000.0,
Reconciled Depreciation,3212100000.0,2748500000.0,2259600000.0,1519900000.0,
Net Interest Income,80437200000.0,74626000000.0,69244400000.0,64487000000.0,
Interest Expense,85226800000.0,69497300000.0,51050700000.0,44093800000.0,
Interest Income,165664000000.0,144123300000.0,120295100000.0,108580800000.0,
Normalized Income,22586432907.816883,19274573428.818707,20699728500.0,11204102681.003214,
Net Income From Continuing And Discontinued Operation,22618700000.0,19326900000.0,20724000000.0,11368700000.0,
Diluted Average Shares,1269328265.0,1268849609.0,1268620304.0,1267991884.0,
Basic Average Shares,1268900393.0,1268183974.0,1267376778.0,1266493325.0,
Diluted EPS,17.815478,15.22732,16.336531,8.961254,
Basic EPS,17.825208,15.23705,16.355991,8.980714,
Diluted NI Availto Com Stockholders,22618700000.0,19326900000.0,20724000000.0,11368700000.0,
Net Income Common Stockholders,22618700000.0,19326900000.0,20724000000.0,11368700000.0,
Net Income,22618700000.0,19326900000.0,20724000000.0,11368700000.0,
Minority Interests,10000000.0,-103600000.0,12000000.0,-134700000.0,
Net Income Including Noncontrolling Interests,22608700000.0,19430500000.0,20712000000.0,11503400000.0,
Net Income Continuous Operations,22608700000.0,19430500000.0,20712000000.0,11503400000.0,
Tax Provision,7660400000.0,6451300000.0,7325600000.0,3990800000.0,
Pretax Income,30269100000.0,25881800000.0,28037600000.0,15494200000.0,
Special Income Charges,43200000.0,69700000.0,33000000.0,221700000.0,
Other Special Charges,-43200000.0,-69700000.0,-33000000.0,-221700000.0,
Write Off,,,,,25200000.0
Gain On Sale Of Security,235300000.0,281700000.0,254100000.0,801700000.0,
Operating Expense,40227600000.0,36554600000.0,34537500000.0,26528200000.0,
Other Operating Expenses,10251100000.0,7865800000.0,8338000000.0,7020900000.0,
Depreciation And Amortization In Income Statement,3212100000.0,2748500000.0,2259600000.0,1519900000.0,
Amortization,413100000.0,138500000.0,130200000.0,,
Depreciation Income Statement,2799000000.0,2610000000.0,2129400000.0,1519900000.0,
Selling General And Administration,2245500000.0,2349300000.0,1862000000.0,1097000000.0,
Selling And Marketing Expense,275900000.0,414100000.0,288600000.0,156100000.0,
General And Administrative Expense,1969600000.0,1935200000.0,1573400000.0,940900000.0,
Insurance And Claims,758400000.0,757700000.0,706600000.0,532900000.0,
Rent And Landing Fees,159700000.0,171000000.0,167700000.0,184400000.0,
Total Revenue,90654800000.0,81372900000.0,73941200000.0,68242200000.0,
Operating Revenue,90654800000.0,81372900000.0,73941200000.0,68242200000.0,
