,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1125300.0,2612400.0,5895600.0,3129300.0
Tax Rate For Calcs,0.3,0.3,0.3,0.3
Total Unusual Items,3751000.0,8708000.0,19652000.0,10431000.0
Total Unusual Items Excluding Goodwill,3751000.0,8708000.0,19652000.0,10431000.0
Net Income From Continuing Operation Net Minority Interest,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Reconciled Depreciation,2905975000.0,2234902000.0,2624888000.0,2683413000.0
Net Interest Income,116794789000.0,99760413000.0,79566546000.0,61807449000.0
Interest Expense,132805751000.0,106718277000.0,81567878000.0,69739605000.0
Interest Income,249600540000.0,206478690000.0,161134424000.0,131547054000.0
Normalized Income,55415142300.0,40711703400.0,26036268600.0,11526991300.0
Net Income From Continuing And Discontinued Operation,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Diluted Average Shares,7378900000.0,7018100000.0,6730500000.0,6680600000.0
Basic Average Shares,7378900000.0,7018100000.0,6730500000.0,6680600000.0
Diluted EPS,7.51,5.8,3.87,1.73
Basic EPS,7.51,5.8,3.87,1.73
Diluted NI Availto Com Stockholders,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Net Income Common Stockholders,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Net Income,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Tax Provision,2030800000.0,3047300000.0,8431600000.0,8042700000.0
Pretax Income,55417768000.0,40717799000.0,26050025000.0,11534293000.0
Special Income Charges,3751000.0,8708000.0,19652000.0,10431000.0
Other Special Charges,-3751000.0,-8708000.0,-19652000.0,-10431000.0
Gain On Sale Of Security,2200212000.0,3210298000.0,-1025804000.0,4270550000.0
Operating Expense,58139699000.0,49682213000.0,41373105000.0,39854306000.0
Other Operating Expenses,12402064000.0,12285361000.0,12233058000.0,11063353000.0
Depreciation And Amortization In Income Statement,2905975000.0,2234902000.0,2624888000.0,2683413000.0
Depreciation Income Statement,2905975000.0,2234902000.0,2624888000.0,2683413000.0
Selling General And Administration,1494625000.0,1177535000.0,1082901000.0,864401000.0
Selling And Marketing Expense,483978000.0,335714000.0,333986000.0,298414000.0
General And Administrative Expense,1010647000.0,841821000.0,748915000.0,565987000.0
Insurance And Claims,3641862000.0,2791226000.0,2355124000.0,2243453000.0
Rent And Landing Fees,3265112000.0,2802935000.0,2482282000.0,2280853000.0
Total Revenue,137592477000.0,119882419000.0,102356244000.0,81904338000.0
Operating Revenue,137592477000.0,119882419000.0,102356244000.0,81904338000.0
