,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,2253885.35636,-13419973.178056,2141199.010313,-3674708.641268
Tax Rate For Calcs,0.277231,0.257482,0.265,0.255011
Total Unusual Items,8130000.0,-52120000.0,8080000.0,-14410000.0
Total Unusual Items Excluding Goodwill,8130000.0,-52120000.0,8080000.0,-14410000.0
Net Income From Continuing Operation Net Minority Interest,12161470000.0,21886810000.0,14959780000.0,13284350000.0
Reconciled Depreciation,2673740000.0,2464460000.0,2038790000.0,1979810000.0
Net Interest Income,62247170000.0,56228170000.0,42682530000.0,38283600000.0
Interest Expense,35409280000.0,28657100000.0,21877850000.0,20113690000.0
Interest Income,97656450000.0,84885270000.0,64560380000.0,58397290000.0
Normalized Income,12155593885.35636,21925510026.821945,14953841199.010313,13295085291.358732
Net Income From Continuing And Discontinued Operation,12161470000.0,21886810000.0,14959780000.0,13284350000.0
Diluted Average Shares,846434729.0,846417680.0,846402275.0,846401729.0
Basic Average Shares,846434729.0,846417680.0,846394729.0,846382729.0
Diluted EPS,14.367877,25.858167,17.674551,15.695088
Basic EPS,14.367877,25.858167,17.674708,15.695441
Diluted NI Availto Com Stockholders,12161470000.0,21886810000.0,14959780000.0,13284350000.0
Net Income Common Stockholders,12161470000.0,21886810000.0,14959780000.0,13284350000.0
Net Income,12161470000.0,21886810000.0,14959780000.0,13284350000.0
Minority Interests,122800000.0,-88130000.0,-41930000.0,-2690000.0
Net Income Including Noncontrolling Interests,12038670000.0,21974940000.0,15001720000.0,13287050000.0
Net Income Continuous Operations,12038670000.0,21974940000.0,15001720000.0,13287050000.0
Tax Provision,4617640000.0,7620230000.0,5408780000.0,4548180000.0
Pretax Income,16656310000.0,29595170000.0,20410500000.0,17835230000.0
Special Income Charges,8130000.0,-52120000.0,8080000.0,-14410000.0
Other Special Charges,-9800000.0,-5850000.0,-8080000.0,-9540000.0
Write Off,1670000.0,57970000.0,0.0,23950000.0
Gain On Sale Of Security,1229320000.0,1832230000.0,1253110000.0,1169710000.0
Operating Expense,27903950000.0,24659750000.0,21885400000.0,18192340000.0
Other Operating Expenses,4422320000.0,4185400000.0,3477710000.0,3177300000.0
Depreciation And Amortization In Income Statement,2673740000.0,2464460000.0,2037570000.0,1979770000.0
Amortization,155660000.0,152570000.0,113190000.0,
Depreciation Income Statement,2518080000.0,2311890000.0,1924380000.0,1979770000.0
Selling General And Administration,1573050000.0,1337430000.0,1067590000.0,1210830000.0
Selling And Marketing Expense,940100000.0,829920000.0,711520000.0,905740000.0
General And Administrative Expense,632950000.0,507510000.0,356070000.0,305090000.0
Insurance And Claims,218260000.0,322910000.0,301470000.0,197380000.0
Rent And Landing Fees,489100000.0,328610000.0,275480000.0,344620000.0
Total Revenue,63519500000.0,59382180000.0,44584140000.0,40380920000.0
Operating Revenue,63519500000.0,59382180000.0,44584140000.0,40380920000.0
