,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,71334240.0,27714570.0,22716365.072526,0.0
Tax Rate For Calcs,0.2824,0.2327,0.227847,0.257905
Normalized EBITDA,2028600000.0,1805900000.0,1416700000.0,1277500000.0
Total Unusual Items,252600000.0,119100000.0,99700000.0,226167000.0
Total Unusual Items Excluding Goodwill,252600000.0,119100000.0,99700000.0,226167000.0
Net Income From Continuing Operation Net Minority Interest,1471900000.0,1339600000.0,1072500000.0,870300000.0
Reconciled Depreciation,195800000.0,148100000.0,99000000.0,82600000.0
Reconciled Cost Of Revenue,1321800000.0,1287800000.0,1076100000.0,761300000.0
EBITDA,2281200000.0,1925000000.0,1516400000.0,1277500000.0
EBIT,2085400000.0,1776900000.0,1417400000.0,1194900000.0
Net Interest Income,184800000.0,200800000.0,133900000.0,-21600000.0
Interest Expense,28500000.0,25700000.0,24800000.0,21600000.0
Interest Income,216500000.0,230100000.0,161800000.0,160655000.0
Normalized Income,1290634240.0,1248214570.0,995516365.072526,870300000.0
Net Income From Continuing And Discontinued Operation,1471900000.0,1339600000.0,1072500000.0,870300000.0
Total Expenses,3004400000.0,2358200000.0,1691000000.0,1225000000.0
Rent Expense Supplemental,9000000.0,6800000.0,5200000.0,3857000.0
Diluted Average Shares,54985041.0,54502797.0,54956758.0,54585360.0
Basic Average Shares,54420075.0,54071986.0,53660772.0,53242967.0
Diluted EPS,26.77,24.58,19.51,15.94
Basic EPS,27.05,24.78,20.38,16.34
Diluted NI Availto Com Stockholders,1471900000.0,1339600000.0,1072500000.0,870300000.0
Net Income Common Stockholders,1471900000.0,1339600000.0,1072500000.0,870300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1471900000.0,1339600000.0,1072500000.0,870300000.0
Minority Interests,-4000000.0,-4200000.0,-2800000.0,-400000.0
Net Income Including Noncontrolling Interests,1475900000.0,1343800000.0,1075300000.0,870700000.0
Net Income Continuous Operations,1475900000.0,1343800000.0,1075300000.0,870700000.0
Tax Provision,581000000.0,407400000.0,317300000.0,302600000.0
Pretax Income,2056900000.0,1751200000.0,1392600000.0,1173300000.0
Other Non Operating Income Expenses,21200000.0,7100000.0,14000000.0,415500000.0
Special Income Charges,-17600000.0,-17700000.0,-28800000.0,-4455000.0
Other Special Charges,8800000.0,,,-313000.0
Write Off,8800000.0,17700000.0,28800000.0,4768000.0
Net Non Operating Interest Income Expense,184800000.0,200800000.0,133900000.0,-21600000.0
Total Other Finance Cost,3200000.0,3600000.0,3100000.0,1543000.0
Interest Expense Non Operating,28500000.0,25700000.0,24800000.0,21600000.0
Interest Income Non Operating,216500000.0,230100000.0,161800000.0,160655000.0
Operating Income,1628100000.0,1436000000.0,1123600000.0,779400000.0
Operating Expense,1682600000.0,1070400000.0,614900000.0,463700000.0
Other Operating Expenses,963300000.0,499000000.0,208300000.0,235500000.0
Depreciation And Amortization In Income Statement,195800000.0,148100000.0,99000000.0,82600000.0
Amortization,74000000.0,59300000.0,32600000.0,16114000.0
Depreciation Income Statement,121800000.0,88800000.0,66400000.0,82600000.0
Selling General And Administration,424600000.0,318000000.0,232500000.0,145600000.0
Selling And Marketing Expense,164900000.0,110600000.0,92100000.0,74300000.0
General And Administrative Expense,259700000.0,207400000.0,140400000.0,71300000.0
Rent And Landing Fees,9000000.0,6800000.0,5200000.0,3857000.0
Gross Profit,3310700000.0,2506400000.0,1738500000.0,1243100000.0
Cost Of Revenue,1321800000.0,1287800000.0,1076100000.0,761300000.0
Total Revenue,4632500000.0,3794200000.0,2814600000.0,2004400000.0
Operating Revenue,4632500000.0,3794200000.0,2814600000.0,2004400000.0
