,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,11642456513.761469,8111382696.777526,3919982995.152421,2648316039.342587,
Tax Rate For Calcs,0.260948,0.225906,0.208321,0.174082,
Normalized EBITDA,209608000000.0,192833000000.0,136548000000.0,60915000000.0,
Total Unusual Items,44616000000.0,35906000000.0,18817000000.0,15213000000.0,
Total Unusual Items Excluding Goodwill,44616000000.0,35906000000.0,18817000000.0,15213000000.0,
Net Income From Continuing Operation Net Minority Interest,145002000000.0,134882000000.0,82637000000.0,38795000000.0,
Reconciled Depreciation,56082000000.0,52558000000.0,48460000000.0,27890000000.0,
Reconciled Cost Of Revenue,1136309000000.0,1056113000000.0,904815000000.0,694313000000.0,
EBITDA,254224000000.0,228739000000.0,155365000000.0,76128000000.0,
EBIT,198142000000.0,176181000000.0,106905000000.0,48238000000.0,
Net Interest Income,-1942000000.0,-1936000000.0,976000000.0,481000000.0,
Interest Expense,1942000000.0,1936000000.0,2523000000.0,1266000000.0,
Interest Income,4329000000.0,3968000000.0,3499000000.0,1747000000.0,
Normalized Income,112028456513.76147,107087382696.77753,67739982995.15242,26230316039.342587,
Net Income From Continuing And Discontinued Operation,145002000000.0,134882000000.0,82637000000.0,38795000000.0,
Total Expenses,1329705000000.0,1230782000000.0,1055018000000.0,821865000000.0,
Rent Expense Supplemental,465000000.0,324000000.0,258000000.0,17472000000.0,
Diluted Average Shares,314402574.0,314402574.0,314402574.0,302080060.0,
Basic Average Shares,314402574.0,314402574.0,314402574.0,302080060.0,
Diluted EPS,461.2,429.01,262.84,128.43,
Basic EPS,461.2,429.01,262.84,128.43,
Diluted NI Availto Com Stockholders,145002000000.0,134882000000.0,82637000000.0,38795000000.0,
Net Income Common Stockholders,145002000000.0,134882000000.0,82637000000.0,38795000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,145002000000.0,134882000000.0,82637000000.0,38795000000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,145002000000.0,134882000000.0,82637000000.0,38795000000.0,
Net Income Continuous Operations,145002000000.0,134882000000.0,82637000000.0,38795000000.0,
Tax Provision,51198000000.0,39363000000.0,21745000000.0,8177000000.0,
Pretax Income,196200000000.0,174245000000.0,104382000000.0,46972000000.0,
Other Non Operating Income Expenses,1173000000.0,766000000.0,277000000.0,437000000.0,
Special Income Charges,-673000000.0,-1000000000.0,-271000000.0,-458000000.0,
Other Special Charges,673000000.0,1000000000.0,271000000.0,458000000.0,
Net Non Operating Interest Income Expense,2387000000.0,2032000000.0,976000000.0,481000000.0,
Total Other Finance Cost,,,,569000000.0,178000000.0
Interest Expense Non Operating,1942000000.0,1936000000.0,2523000000.0,1266000000.0,
Interest Income Non Operating,4329000000.0,3968000000.0,3499000000.0,1747000000.0,
Operating Income,144981000000.0,134056000000.0,82630000000.0,29823000000.0,
Operating Expense,193396000000.0,174669000000.0,150203000000.0,127552000000.0,
Other Operating Expenses,56808000000.0,50356000000.0,41558000000.0,31441000000.0,
Depreciation And Amortization In Income Statement,56082000000.0,52558000000.0,48460000000.0,27890000000.0,
Amortization,1826000000.0,2170000000.0,2080000000.0,1608000000.0,
Depreciation Income Statement,56082000000.0,52558000000.0,46380000000.0,26282000000.0,
Selling General And Administration,63052000000.0,61393000000.0,53016000000.0,41408000000.0,
Selling And Marketing Expense,62164000000.0,60553000000.0,52302000000.0,40878000000.0,
General And Administrative Expense,888000000.0,840000000.0,714000000.0,530000000.0,
Rent And Landing Fees,465000000.0,324000000.0,258000000.0,17472000000.0,
Gross Profit,338377000000.0,308725000000.0,232833000000.0,157375000000.0,
Cost Of Revenue,1136309000000.0,1056113000000.0,904815000000.0,694313000000.0,
Total Revenue,1474686000000.0,1364838000000.0,1137648000000.0,851688000000.0,
Operating Revenue,1474686000000.0,1364838000000.0,1137648000000.0,851688000000.0,
