,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-315974355.255018,-56248299.299798,-51600000.0,-61173562.051698
Tax Rate For Calcs,0.234995,0.225354,0.3,0.181148
Normalized EBITDA,20490000000.0,16798200000.0,13844300000.0,10838000000.0
Total Unusual Items,-1344600000.0,-249600000.0,-172000000.0,-337700000.0
Total Unusual Items Excluding Goodwill,-1344600000.0,-249600000.0,-172000000.0,-337700000.0
Net Income From Continuing Operation Net Minority Interest,10758800000.0,10576400000.0,11035100000.0,6050500000.0
Reconciled Depreciation,3594200000.0,2449800000.0,2321900000.0,2211200000.0
Reconciled Cost Of Revenue,14768900000.0,11179500000.0,9211000000.0,9229000000.0
EBITDA,19145400000.0,16548600000.0,13672300000.0,10500300000.0
EBIT,15551200000.0,14098800000.0,11350400000.0,8289100000.0
Net Interest Income,-477800000.0,963100000.0,285200000.0,-257800000.0
Interest Expense,1487500000.0,445600000.0,713200000.0,900100000.0
Interest Income,1172400000.0,1562000000.0,1123800000.0,750900000.0
Normalized Income,11787425644.744982,10769751700.700203,11155500000.0,6327026437.948302
Net Income From Continuing And Discontinued Operation,10758800000.0,10576400000.0,11035100000.0,6050500000.0
Total Expenses,53341100000.0,40249100000.0,34437100000.0,30896300000.0
Rent Expense Supplemental,320300000.0,236700000.0,250200000.0,188500000.0
Diluted Average Shares,977428334.0,975458591.0,971710919.0,969382717.0
Basic Average Shares,972036067.0,971566374.0,970063788.0,967465373.0
Diluted EPS,11.01,10.84,11.36,6.24
Basic EPS,11.07,10.89,11.38,6.25
Diluted NI Availto Com Stockholders,10758800000.0,10576400000.0,11035100000.0,6050500000.0
Net Income Common Stockholders,10758800000.0,10576400000.0,11035100000.0,6050500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,10758800000.0,10576400000.0,11035100000.0,6050500000.0
Net Income Including Noncontrolling Interests,10758800000.0,10576400000.0,11035100000.0,6050500000.0
Net Income Continuous Operations,10758800000.0,10576400000.0,11035100000.0,6050500000.0
Tax Provision,3304900000.0,3076800000.0,-397900000.0,1338500000.0
Pretax Income,14063700000.0,13653200000.0,10637200000.0,7389000000.0
Other Non Operating Income Expenses,130600000.0,91000000.0,74000000.0,52500000.0
Special Income Charges,-1344600000.0,-249600000.0,-172000000.0,-337700000.0
Other Special Charges,-11300000.0,-9500000.0,-26800000.0,114700000.0
Write Off,250600000.0,-11300000.0,74100000.0,93000000.0
Restructuring And Mergern Acquisition,1105300000.0,270400000.0,124700000.0,130000000.0
Net Non Operating Interest Income Expense,-477800000.0,963100000.0,285200000.0,-257800000.0
Total Other Finance Cost,162700000.0,153300000.0,125400000.0,108600000.0
Interest Expense Non Operating,1487500000.0,445600000.0,713200000.0,900100000.0
Interest Income Non Operating,1172400000.0,1562000000.0,1123800000.0,750900000.0
Operating Income,15762500000.0,12845700000.0,10452400000.0,7935600000.0
Operating Expense,38572200000.0,29069600000.0,25226100000.0,21667300000.0
Other Operating Expenses,5832800000.0,4158500000.0,3425700000.0,2659900000.0
Depreciation And Amortization In Income Statement,3594200000.0,2449800000.0,2321900000.0,2211200000.0
Amortization,504600000.0,496500000.0,522100000.0,518800000.0
Depreciation Income Statement,3089600000.0,1953300000.0,1799800000.0,1692400000.0
Selling General And Administration,18222500000.0,13807700000.0,11844900000.0,9528100000.0
Selling And Marketing Expense,892200000.0,668300000.0,575700000.0,446200000.0
General And Administrative Expense,17330300000.0,13139400000.0,11269200000.0,9081900000.0
Rent And Landing Fees,320300000.0,236700000.0,250200000.0,188500000.0
Gross Profit,54334700000.0,41915300000.0,35678500000.0,29602900000.0
Cost Of Revenue,14768900000.0,11179500000.0,9211000000.0,9229000000.0
Total Revenue,69103600000.0,53094800000.0,44889500000.0,38831900000.0
Operating Revenue,69103600000.0,53094800000.0,44889500000.0,38831900000.0
