,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-1333620156.385752,4267499.16489,12254114.979896,-25771040.796445
Tax Rate For Calcs,0.256175,0.254018,0.254235,0.248515
Normalized EBITDA,37070500000.0,25151200000.0,14824600000.0,8476900000.0
Total Unusual Items,-5205900000.0,16800000.0,48200000.0,-103700000.0
Total Unusual Items Excluding Goodwill,-5205900000.0,16800000.0,48200000.0,-103700000.0
Net Income From Continuing Operation Net Minority Interest,24135100000.0,19369700000.0,11190300000.0,6108400000.0
Reconciled Depreciation,1152000000.0,831300000.0,755800000.0,745100000.0
Reconciled Cost Of Revenue,70334700000.0,66337700000.0,56146000000.0,40535300000.0
EBITDA,31864600000.0,25168000000.0,14872800000.0,8373200000.0
EBIT,30712600000.0,24336700000.0,14117000000.0,7628100000.0
Net Interest Income,9968500000.0,9843200000.0,5956600000.0,3367400000.0
Interest Expense,96000000.0,88400000.0,90200000.0,134800000.0
Interest Income,10101100000.0,9989900000.0,6067400000.0,3516800000.0
Normalized Income,28007379843.614246,19357167499.16489,11154354114.979897,6186328959.203555
Net Income From Continuing And Discontinued Operation,24135100000.0,19369700000.0,11190300000.0,6108400000.0
Total Expenses,87052000000.0,77299600000.0,68569900000.0,53495000000.0
Rent Expense Supplemental,1969600000.0,491200000.0,585000000.0,736400000.0
Diluted Average Shares,403380000.0,403380000.0,403380000.0,403380000.0
Basic Average Shares,403380000.0,403380000.0,403380000.0,403380000.0
Diluted EPS,59.83,48.02,27.74,15.143041
Basic EPS,59.83,48.02,27.74,15.145
Diluted NI Availto Com Stockholders,24135100000.0,19369700000.0,11190300000.0,6108400000.0
Net Income Common Stockholders,24135100000.0,19369700000.0,11190300000.0,6108400000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,24135100000.0,19369700000.0,11190300000.0,6108400000.0
Net Income Including Noncontrolling Interests,24135100000.0,19369700000.0,11190300000.0,6108400000.0
Net Income Continuous Operations,24135100000.0,19369700000.0,11190300000.0,6108400000.0
Tax Provision,7843200000.0,6159500000.0,3566100000.0,1862200000.0
Pretax Income,30616600000.0,24248300000.0,14026800000.0,7493300000.0
Other Non Operating Income Expenses,1103300000.0,1008000000.0,750600000.0,549900000.0
Special Income Charges,-5205900000.0,16800000.0,48200000.0,-103700000.0
Other Special Charges,5205900000.0,-16800000.0,-48200000.0,103700000.0
Net Non Operating Interest Income Expense,9968500000.0,9843200000.0,5956600000.0,3367400000.0
Total Other Finance Cost,36600000.0,58300000.0,20600000.0,14600000.0
Interest Expense Non Operating,96000000.0,88400000.0,90200000.0,134800000.0
Interest Income Non Operating,10101100000.0,9989900000.0,6067400000.0,3516800000.0
Operating Income,24908400000.0,13380500000.0,7270400000.0,3681100000.0
Operating Expense,16717300000.0,10961900000.0,12423900000.0,12959700000.0
Other Operating Expenses,5295100000.0,3654800000.0,3121700000.0,2728500000.0
Depreciation And Amortization In Income Statement,1151900000.0,831300000.0,755800000.0,745100000.0
Depreciation Income Statement,1151900000.0,831300000.0,755800000.0,745100000.0
Selling General And Administration,877300000.0,1028400000.0,2463800000.0,918400000.0
Selling And Marketing Expense,114700000.0,69200000.0,75300000.0,27800000.0
General And Administrative Expense,762600000.0,959200000.0,2388500000.0,890600000.0
Rent And Landing Fees,1969600000.0,491200000.0,585000000.0,736400000.0
Gross Profit,41625700000.0,24342400000.0,19694300000.0,16640800000.0
Cost Of Revenue,70334700000.0,66337700000.0,56146000000.0,40535300000.0
Total Revenue,111960400000.0,90680100000.0,75840300000.0,57176100000.0
Operating Revenue,111960400000.0,90680100000.0,75840300000.0,57176100000.0
