,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,15358248.944606,2962877.398049,1145412.12906,43146390.6902,
Tax Rate For Calcs,0.23756,0.264661,0.235246,0.26816,
Normalized EBITDA,3116437000.0,2905730000.0,3030336000.0,3600383000.0,
Total Unusual Items,64650000.0,11195000.0,4869000.0,162776000.0,
Total Unusual Items Excluding Goodwill,64650000.0,11195000.0,4869000.0,160898000.0,
Net Income From Continuing Operation Net Minority Interest,1449683000.0,1278162000.0,1428826000.0,2141821000.0,
Reconciled Depreciation,1086811000.0,944678000.0,892156000.0,632228000.0,
Reconciled Cost Of Revenue,2834015000.0,2607231000.0,2636899000.0,2872992000.0,
EBITDA,3181087000.0,2916925000.0,3035205000.0,3763159000.0,
EBIT,2094276000.0,1972247000.0,2143049000.0,3130931000.0,
Net Interest Income,-203807000.0,-246290000.0,-261427000.0,-138768000.0,
Interest Expense,185747000.0,225358000.0,268015000.0,197420000.0,
Interest Income,35062000.0,32625000.0,57078000.0,111477000.0,
Normalized Income,1400391248.944606,1269929877.398049,1425102412.12906,2025947390.6902,
Net Income From Continuing And Discontinued Operation,1449683000.0,1278162000.0,1428826000.0,2141821000.0,
Total Expenses,11252931000.0,10043105000.0,9393899000.0,9395059000.0,
Rent Expense Supplemental,1281189000.0,1052594000.0,940999000.0,1056703000.0,
Diluted Average Shares,51492027.0,51394416.0,51370023.0,51414148.0,
Basic Average Shares,51252650.0,51219781.0,51196399.0,51156132.0,
Diluted EPS,28.15,24.87,27.81,41.66,
Basic EPS,28.29,24.95,27.91,41.87,
Diluted NI Availto Com Stockholders,1449683000.0,1278162000.0,1428826000.0,2141821000.0,
Net Income Common Stockholders,1449683000.0,1278162000.0,1428826000.0,2141821000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1449683000.0,1278162000.0,1428826000.0,2141821000.0,
Minority Interests,-5456000.0,-6394000.0,-5114000.0,-5040000.0,
Net Income Including Noncontrolling Interests,1455139000.0,1284556000.0,1433940000.0,2146861000.0,
Net Income Continuous Operations,1455139000.0,1284556000.0,1433940000.0,2146861000.0,
Tax Provision,453390000.0,462333000.0,441094000.0,786650000.0,
Pretax Income,1908529000.0,1746889000.0,1875034000.0,2933511000.0,
Other Non Operating Income Expenses,1809000.0,7571000.0,45226000.0,4354000.0,
Special Income Charges,-10409000.0,-366000.0,-1912000.0,156701000.0,
Other Special Charges,-17593000.0,,-77000.0,-158857000.0,112000.0
Write Off,28002000.0,366000.0,639000.0,-62000.0,
Impairment Of Capital Assets,,0.0,1350000.0,340000.0,0.0
Net Non Operating Interest Income Expense,-203807000.0,-246290000.0,-261427000.0,-138768000.0,
Total Other Finance Cost,53122000.0,53557000.0,50490000.0,52825000.0,
Interest Expense Non Operating,185747000.0,225358000.0,268015000.0,197420000.0,
Interest Income Non Operating,35062000.0,32625000.0,57078000.0,111477000.0,
Operating Income,2059097000.0,2033983000.0,2088203000.0,2888154000.0,
Operating Expense,8418916000.0,7435874000.0,6757000000.0,6522067000.0,
Other Operating Expenses,1038842000.0,1019396000.0,802678000.0,753314000.0,
Depreciation And Amortization In Income Statement,1086811000.0,944678000.0,892156000.0,632228000.0,
Amortization,252014000.0,157511000.0,145008000.0,111735000.0,
Depreciation Income Statement,834797000.0,787167000.0,747148000.0,520493000.0,
Selling General And Administration,1861746000.0,1655294000.0,1585940000.0,1743295000.0,
Selling And Marketing Expense,379481000.0,327738000.0,261555000.0,269301000.0,
General And Administrative Expense,1482265000.0,1327556000.0,1324385000.0,1473994000.0,
Rent And Landing Fees,1281189000.0,1052594000.0,940999000.0,1056703000.0,
Gross Profit,10478013000.0,9469857000.0,8845203000.0,9410221000.0,
Cost Of Revenue,2834015000.0,2607231000.0,2636899000.0,2872992000.0,
Total Revenue,13312028000.0,12077088000.0,11482102000.0,12283213000.0,
Operating Revenue,13312028000.0,12077088000.0,11482102000.0,12283213000.0,
