,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,202565808.745683,237168412.890383,87881279.724122,33644948.279711
Tax Rate For Calcs,0.24032,0.256592,0.251521,0.259606
Normalized EBITDA,16514100000.0,19263400000.0,12611300000.0,9971000000.0
Total Unusual Items,842900000.0,924300000.0,349400000.0,129600000.0
Total Unusual Items Excluding Goodwill,842900000.0,924300000.0,349400000.0,129600000.0
Net Income From Continuing Operation Net Minority Interest,10405700000.0,12846900000.0,7900500000.0,5969500000.0
Reconciled Depreciation,3520500000.0,2773600000.0,2311400000.0,1962700000.0
Reconciled Cost Of Revenue,49814200000.0,38670500000.0,46363600000.0,22455300000.0
EBITDA,17357000000.0,20187700000.0,12960700000.0,10100600000.0
EBIT,13836500000.0,17414100000.0,10649300000.0,8137900000.0
Net Interest Income,211500000.0,247300000.0,335700000.0,384100000.0
Interest Expense,140600000.0,133000000.0,93900000.0,75300000.0
Interest Income,352100000.0,380300000.0,429600000.0,459400000.0
Normalized Income,9765365808.745684,12159768412.890383,7638981279.724122,5873544948.279711
Net Income From Continuing And Discontinued Operation,10405700000.0,12846900000.0,7900500000.0,5969500000.0
Total Expenses,60038200000.0,46896900000.0,53147800000.0,27966300000.0
Rent Expense Supplemental,315000000.0,233000000.0,200700000.0,161300000.0
Diluted Average Shares,98777778.0,98777778.0,98777778.0,98777778.0
Basic Average Shares,98777778.0,98777778.0,98777778.0,98777778.0
Diluted EPS,105.33,130.06,79.98,60.43
Basic EPS,105.33,130.06,79.98,60.43
Diluted NI Availto Com Stockholders,10405700000.0,12846900000.0,7900500000.0,5969500000.0
Net Income Common Stockholders,10405700000.0,12846900000.0,7900500000.0,5969500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,10405700000.0,12846900000.0,7900500000.0,5969500000.0
Minority Interests,-1200000.0,,0.0,
Net Income Including Noncontrolling Interests,10404500000.0,12846900000.0,7900500000.0,5969500000.0
Net Income Continuous Operations,10404500000.0,12846900000.0,7900500000.0,5969500000.0
Tax Provision,3291400000.0,4434200000.0,2654900000.0,2093100000.0
Pretax Income,13695900000.0,17281100000.0,10555400000.0,8062600000.0
Other Non Operating Income Expenses,413200000.0,337300000.0,245200000.0,150600000.0
Special Income Charges,-57700000.0,-106800000.0,-94400000.0,-117800000.0
Write Off,15700000.0,39200000.0,41200000.0,25000000.0
Impairment Of Capital Assets,42000000.0,67600000.0,53200000.0,92800000.0
Net Non Operating Interest Income Expense,211500000.0,247300000.0,335700000.0,384100000.0
Interest Expense Non Operating,140600000.0,133000000.0,93900000.0,75300000.0
Interest Income Non Operating,352100000.0,380300000.0,429600000.0,459400000.0
Operating Income,12236900000.0,15772200000.0,9624900000.0,7398300000.0
Operating Expense,10224000000.0,8226400000.0,6784200000.0,5511000000.0
Other Operating Expenses,5251100000.0,4228900000.0,3364500000.0,2772500000.0
Depreciation And Amortization In Income Statement,3520500000.0,2773600000.0,2311400000.0,1962700000.0
Amortization,253300000.0,,,
Depreciation Income Statement,3267200000.0,2773600000.0,2311400000.0,1962700000.0
Selling General And Administration,74500000.0,62200000.0,64600000.0,45700000.0
General And Administrative Expense,74500000.0,62200000.0,64600000.0,45700000.0
Rent And Landing Fees,315000000.0,233000000.0,200700000.0,161300000.0
Gross Profit,22460900000.0,23998600000.0,16409100000.0,12909300000.0
Cost Of Revenue,49814200000.0,38670500000.0,46363600000.0,22455300000.0
Total Revenue,72275100000.0,62669100000.0,62772700000.0,35364600000.0
Operating Revenue,72275100000.0,62669100000.0,62772700000.0,35364600000.0
