,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-34714593.175853,16836460.0,1635742969.577206,-465630000.0
Tax Rate For Calcs,0.242082,0.0391,0.115417,0.3
Normalized EBITDA,1385400000.0,1619800000.0,4749800000.0,4705300000.0
Total Unusual Items,-143400000.0,430600000.0,14172400000.0,-1552100000.0
Total Unusual Items Excluding Goodwill,-143400000.0,430600000.0,14172400000.0,-1552100000.0
Net Income From Continuing Operation Net Minority Interest,866300000.0,1921800000.0,15622700000.0,-2582200000.0
Reconciled Depreciation,45100000.0,43400000.0,52900000.0,53100000.0
Reconciled Cost Of Revenue,0.0,8000000.0,34032900000.0,106633200000.0
EBITDA,1242000000.0,2050400000.0,18922200000.0,3153200000.0
EBIT,1196900000.0,2007000000.0,18869300000.0,3100100000.0
Net Interest Income,1361200000.0,1496000000.0,-369400000.0,-2200200000.0
Interest Expense,53900000.0,7000000.0,1208200000.0,2089300000.0
Interest Income,1418800000.0,1510900000.0,849800000.0,47000000.0
Normalized Income,974985406.824147,1508036460.0,3086042969.577206,-1495730000.0
Net Income From Continuing And Discontinued Operation,866300000.0,1921800000.0,15622700000.0,-2582200000.0
Total Expenses,1454400000.0,1696300000.0,36391100000.0,107872700000.0
Rent Expense Supplemental,7600000.0,10200000.0,43700000.0,10000000.0
Diluted Average Shares,1500000000.0,1500000000.0,1500000000.0,1500000000.0
Basic Average Shares,1500000000.0,1500000000.0,1500000000.0,1500000000.0
Diluted EPS,0.58,1.28,10.42,-1.72
Basic EPS,0.58,1.28,10.42,-1.72
Diluted NI Availto Com Stockholders,866300000.0,1921800000.0,15622700000.0,-2582200000.0
Net Income Common Stockholders,866300000.0,1921800000.0,15622700000.0,-2582200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,866300000.0,1921800000.0,15622700000.0,-2582200000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,866300000.0,1921800000.0,15622700000.0,-2582200000.0
Net Income Continuous Operations,866300000.0,1921800000.0,15622700000.0,-2582200000.0
Tax Provision,276700000.0,78200000.0,2038400000.0,3593000000.0
Pretax Income,1143000000.0,2000000000.0,17661100000.0,1010800000.0
Other Non Operating Income Expenses,98600000.0,442800000.0,79600000.0,129500000.0
Special Income Charges,-143400000.0,430600000.0,14172400000.0,-1552100000.0
Other Special Charges,143300000.0,-477600000.0,-14172700000.0,1551800000.0
Write Off,100000.0,47000000.0,300000.0,300000.0
Net Non Operating Interest Income Expense,1361200000.0,1496000000.0,-369400000.0,-2200200000.0
Total Other Finance Cost,3700000.0,7900000.0,11000000.0,157900000.0
Interest Expense Non Operating,53900000.0,7000000.0,1208200000.0,2089300000.0
Interest Income Non Operating,1418800000.0,1510900000.0,849800000.0,47000000.0
Operating Income,-1427500000.0,-1645000000.0,-1117100000.0,4550300000.0
Operating Expense,1454400000.0,1688300000.0,2358200000.0,1239500000.0
Other Operating Expenses,99300000.0,103700000.0,441200000.0,4721700000.0
Depreciation And Amortization In Income Statement,45100000.0,43400000.0,52900000.0,53100000.0
Amortization,500000.0,500000.0,1700000.0,1500000.0
Depreciation Income Statement,44600000.0,42900000.0,51200000.0,51600000.0
Selling General And Administration,189900000.0,198100000.0,736200000.0,801400000.0
Selling And Marketing Expense,500000.0,800000.0,546900000.0,617500000.0
General And Administrative Expense,189400000.0,197300000.0,189300000.0,183900000.0
Rent And Landing Fees,7600000.0,10200000.0,43700000.0,10000000.0
Gross Profit,26900000.0,43300000.0,1241100000.0,5789800000.0
Cost Of Revenue,0.0,8000000.0,34032900000.0,106633200000.0
Total Revenue,26900000.0,51300000.0,35274000000.0,112423000000.0
Operating Revenue,26900000.0,51300000.0,35274000000.0,112423000000.0
