,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,570492000.0,-929537524.087287,-516364271.457086,-144150000.0,
Tax Rate For Calcs,0.212,0.213687,0.305722,0.3,
Normalized EBITDA,110764000000.0,94428000000.0,61455000000.0,50111700000.0,
Total Unusual Items,2691000000.0,-4350000000.0,-1689000000.0,-480500000.0,
Total Unusual Items Excluding Goodwill,2691000000.0,-4350000000.0,-1689000000.0,-480500000.0,
Net Income From Continuing Operation Net Minority Interest,38030000000.0,27162000000.0,14956000000.0,5096100000.0,
Reconciled Depreciation,44934000000.0,38105000000.0,31789000000.0,29963600000.0,
Reconciled Cost Of Revenue,621685000000.0,553053000000.0,460641000000.0,367363200000.0,
EBITDA,113455000000.0,90078000000.0,59766000000.0,49631200000.0,
EBIT,68521000000.0,51973000000.0,27977000000.0,19667600000.0,
Net Interest Income,-16519000000.0,-16629000000.0,-7106000000.0,-5425900000.0,
Interest Expense,15908000000.0,13571000000.0,3929000000.0,5425900000.0,
Interest Income,2305000000.0,1483000000.0,703000000.0,1172000000.0,
Normalized Income,35909492000.0,30582462475.912712,16128635728.542913,5432450000.0,
Net Income From Continuing And Discontinued Operation,38030000000.0,27162000000.0,14956000000.0,8738500000.0,
Total Expenses,1067157000000.0,921907000000.0,747329000000.0,611954400000.0,
Rent Expense Supplemental,5800000000.0,4265000000.0,3176000000.0,3050000000.0,
Diluted Average Shares,10432710258.0,10164632049.0,10164632049.0,7848952096.0,
Basic Average Shares,10370246406.0,10164632049.0,10164632049.0,7848952096.0,
Diluted EPS,3.666667,2.673333,1.473333,1.113333,
Basic EPS,3.666667,2.673333,1.473333,1.113333,
Diluted NI Availto Com Stockholders,38875000000.0,27162000000.0,14956000000.0,8738500000.0,
Average Dilution Earnings,845000000.0,,,,
Net Income Common Stockholders,38030000000.0,27162000000.0,14956000000.0,8738500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,38030000000.0,27162000000.0,14956000000.0,8738500000.0,
Minority Interests,-3427000000.0,-3034000000.0,-1740000000.0,-3077200000.0,
Net Income Including Noncontrolling Interests,41457000000.0,30196000000.0,16696000000.0,11815700000.0,
Net Income Discontinuous Operations,,,0.0,3642400000.0,3267000000.0
Net Income Continuous Operations,41457000000.0,30196000000.0,16696000000.0,8173300000.0,
Tax Provision,11156000000.0,8206000000.0,7352000000.0,6068400000.0,
Pretax Income,52613000000.0,38402000000.0,24048000000.0,14241700000.0,
Other Non Operating Income Expenses,1050000000.0,888000000.0,1028000000.0,2576700000.0,
Special Income Charges,1718000000.0,-4691000000.0,-1689000000.0,-480500000.0,
Other Special Charges,-445000000.0,2850000000.0,847000000.0,629000000.0,
Write Off,137000000.0,313000000.0,108000000.0,97000000.0,
Restructuring And Mergern Acquisition,-1410000000.0,1528000000.0,734000000.0,741000000.0,
Net Non Operating Interest Income Expense,-16519000000.0,-16629000000.0,-7106000000.0,-5425900000.0,
Total Other Finance Cost,2916000000.0,4541000000.0,3880000000.0,2345000000.0,
Interest Expense Non Operating,15908000000.0,13571000000.0,3929000000.0,5425900000.0,
Interest Income Non Operating,2305000000.0,1483000000.0,703000000.0,1172000000.0,
Operating Income,58252000000.0,55887000000.0,31378000000.0,17411600000.0,
Operating Expense,445472000000.0,368854000000.0,286688000000.0,244591200000.0,
Other Operating Expenses,81913000000.0,65552000000.0,56963000000.0,69637400000.0,
Depreciation And Amortization In Income Statement,44934000000.0,38105000000.0,31358000000.0,29582000000.0,
Amortization,5649000000.0,4990000000.0,4201000000.0,3873800000.0,
Depreciation Income Statement,39285000000.0,33115000000.0,27157000000.0,25708200000.0,
Research And Development,2081000000.0,1359000000.0,,,
Selling General And Administration,34151000000.0,32386000000.0,23305000000.0,19566000000.0,
Selling And Marketing Expense,18004000000.0,15555000000.0,13132000000.0,10460000000.0,
General And Administrative Expense,16147000000.0,16831000000.0,10173000000.0,9106000000.0,
Rent And Landing Fees,5800000000.0,4265000000.0,3176000000.0,3050000000.0,
Gross Profit,503724000000.0,424741000000.0,318066000000.0,262002800000.0,
Cost Of Revenue,621685000000.0,553053000000.0,460641000000.0,367363200000.0,
Total Revenue,1125409000000.0,977794000000.0,778707000000.0,629366000000.0,
Operating Revenue,1125409000000.0,977794000000.0,778707000000.0,629366000000.0,
