,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,2872222067.657287,2831194850.060029,345634991.346347,936456504.168188,
Tax Rate For Calcs,0.222574,0.193365,0.249088,0.188809,
Normalized EBITDA,32877900000.0,26508600000.0,17237400000.0,16198400000.0,
Total Unusual Items,12904600000.0,14641700000.0,1387600000.0,4959800000.0,
Total Unusual Items Excluding Goodwill,12904600000.0,14641700000.0,1387600000.0,4959800000.0,
Net Income From Continuing Operation Net Minority Interest,25016400000.0,24410600000.0,9316900000.0,13097800000.0,
Reconciled Depreciation,987600000.0,825800000.0,583800000.0,482600000.0,
Reconciled Cost Of Revenue,29153100000.0,23827000000.0,17860200000.0,17141500000.0,
EBITDA,45782500000.0,41150300000.0,18625000000.0,21158200000.0,
EBIT,44794900000.0,40324500000.0,18041200000.0,20675600000.0,
Net Interest Income,-6914700000.0,-5727000000.0,-3760300000.0,-3404000000.0,
Interest Expense,12532300000.0,10005700000.0,5618700000.0,4517500000.0,
Interest Income,6069900000.0,4662800000.0,2198000000.0,1343700000.0,
Normalized Income,14984022067.657288,12600094850.060028,8274934991.346347,9074456504.168188,
Net Income From Continuing And Discontinued Operation,25016400000.0,24410600000.0,9316900000.0,13097800000.0,
Total Expenses,38918800000.0,31069100000.0,23599100000.0,22276900000.0,
Rent Expense Supplemental,117200000.0,104400000.0,153300000.0,98800000.0,
Diluted Average Shares,610065554.0,37460574.0,594720468.0,592810980.0,
Basic Average Shares,598101697.0,37068072.0,592540480.0,587745668.0,
Diluted EPS,41.0,162.92,15.665,22.095,
Basic EPS,41.83,164.64,15.7225,22.285,
Diluted NI Availto Com Stockholders,25016400000.0,24410600000.0,9316900000.0,13097800000.0,
Net Income Common Stockholders,25016400000.0,24410600000.0,9316900000.0,13097800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,25016400000.0,24410600000.0,9316900000.0,13097800000.0,
Minority Interests,-65400000.0,-45500000.0,-30900000.0,-26700000.0,
Net Income Including Noncontrolling Interests,25081800000.0,24456100000.0,9347800000.0,13124500000.0,
Net Income Extraordinary,,-100000.0,19600000.0,17200000.0,617700000.0
Net Income Continuous Operations,25081800000.0,24456100000.0,9347800000.0,13124500000.0,
Tax Provision,7180800000.0,5862600000.0,3094300000.0,3050800000.0,
Pretax Income,32262600000.0,30318800000.0,12422500000.0,16158100000.0,
Other Non Operating Income Expenses,776300000.0,724700000.0,191800000.0,184200000.0,
Special Income Charges,900000.0,-9400000.0,0.0,500000.0,
Other Special Charges,-900000.0,9400000.0,,-500000.0,-37300000.0
Write Off,,,427900000.0,0.0,881000000.0
Net Non Operating Interest Income Expense,-6914700000.0,-5727000000.0,-3760300000.0,-3404000000.0,
Total Other Finance Cost,452300000.0,384100000.0,339600000.0,230200000.0,
Interest Expense Non Operating,12532300000.0,10005700000.0,5618700000.0,4517500000.0,
Interest Income Non Operating,6069900000.0,4662800000.0,2198000000.0,1343700000.0,
Operating Income,25499200000.0,20674600000.0,14590300000.0,14398700000.0,
Operating Expense,9765700000.0,7242100000.0,5738900000.0,5135400000.0,
Other Operating Expenses,2431900000.0,2140000000.0,1678500000.0,1923000000.0,
Depreciation And Amortization In Income Statement,987600000.0,825800000.0,583800000.0,482600000.0,
Amortization,155400000.0,146200000.0,135600000.0,115000000.0,
Depreciation Income Statement,832200000.0,679600000.0,448200000.0,367600000.0,
Selling General And Administration,4140300000.0,2833200000.0,2223500000.0,1852600000.0,
Selling And Marketing Expense,2493700000.0,1653500000.0,1241200000.0,1026000000.0,
General And Administrative Expense,1646600000.0,1179700000.0,982300000.0,826600000.0,
Rent And Landing Fees,117200000.0,104400000.0,153300000.0,98800000.0,
Gross Profit,35264900000.0,27916700000.0,20329200000.0,19534100000.0,
Cost Of Revenue,29153100000.0,23827000000.0,17860200000.0,17141500000.0,
Total Revenue,64418000000.0,51743700000.0,38189400000.0,36675600000.0,
Operating Revenue,64418000000.0,51743700000.0,38189400000.0,36675600000.0,
