,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,381686630.0,764174800.0,185176500.0,191472120.0
Tax Rate For Calcs,0.247,0.248,0.246,0.252
Normalized EBITDA,27474520000.0,23315530000.0,25202820000.0,22020740000.0
Total Unusual Items,1545290000.0,3081350000.0,752750000.0,759810000.0
Total Unusual Items Excluding Goodwill,1545290000.0,3081350000.0,752750000.0,759810000.0
Net Income From Continuing Operation Net Minority Interest,17021390000.0,15548200000.0,16379220000.0,14308890000.0
Reconciled Depreciation,4763370000.0,4104990000.0,3252420000.0,2907520000.0
Reconciled Cost Of Revenue,98955950000.0,94081760000.0,98849950000.0,85881750000.0
EBITDA,29019810000.0,26396880000.0,25955570000.0,22780550000.0
EBIT,24256440000.0,22291890000.0,22703150000.0,19873030000.0
Net Interest Income,-727780000.0,-1080610000.0,-622230000.0,-391570000.0
Interest Expense,1655010000.0,1608670000.0,972580000.0,744030000.0
Interest Income,927230000.0,528060000.0,350350000.0,352460000.0
Normalized Income,15857786630.0,13231024800.0,15811646500.0,13740552120.0
Net Income From Continuing And Discontinued Operation,17021390000.0,15548200000.0,16379220000.0,14308890000.0
Total Expenses,120593440000.0,114300280000.0,116897810000.0,101345910000.0
Diluted Average Shares,190480447.0,190009960.0,189637120.0,189250372.0
Basic Average Shares,189390648.0,188657033.0,188164920.0,187349367.0
Diluted EPS,89.36,81.83,86.37,75.61
Basic EPS,89.87,82.42,87.05,76.38
Diluted NI Availto Com Stockholders,17021390000.0,15548200000.0,16379220000.0,14308890000.0
Net Income Common Stockholders,17021390000.0,15548200000.0,16379220000.0,14308890000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,17021390000.0,15548200000.0,16379220000.0,14308890000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,17021390000.0,15548200000.0,16379220000.0,14308890000.0
Net Income Continuous Operations,17021390000.0,15548200000.0,16379220000.0,14308890000.0
Tax Provision,5580040000.0,5135020000.0,5351350000.0,4820110000.0
Pretax Income,22601430000.0,20683220000.0,21730570000.0,19129000000.0
Other Non Operating Income Expenses,56710000.0,66690000.0,61530000.0,6770000.0
Special Income Charges,17970000.0,1646480000.0,18140000.0,4970000.0
Other Special Charges,-17970000.0,-17500000.0,-18140000.0,-4970000.0
Restructuring And Mergern Acquisition,0.0,-1628980000.0,0.0,
Net Non Operating Interest Income Expense,-727780000.0,-1080610000.0,-622230000.0,-391570000.0
Interest Expense Non Operating,1655010000.0,1608670000.0,972580000.0,744030000.0
Interest Income Non Operating,927230000.0,528060000.0,350350000.0,352460000.0
Operating Income,21706430000.0,18484870000.0,21087160000.0,18268530000.0
Operating Expense,21637490000.0,20218520000.0,18047860000.0,15464160000.0
Other Operating Expenses,5876730000.0,5587750000.0,4293710000.0,3116490000.0
Depreciation And Amortization In Income Statement,4763370000.0,4104990000.0,3252420000.0,2907520000.0
Amortization,2023860000.0,1233220000.0,545560000.0,575870000.0
Depreciation Income Statement,2739510000.0,2871770000.0,2706860000.0,2331650000.0
Selling General And Administration,4108100000.0,3926390000.0,3507430000.0,3666340000.0
General And Administrative Expense,4108100000.0,3926390000.0,3507430000.0,3666340000.0
Gross Profit,43343920000.0,38703390000.0,39135020000.0,33732690000.0
Cost Of Revenue,98955950000.0,94081760000.0,98849950000.0,85881750000.0
Total Revenue,142299870000.0,132785150000.0,137984970000.0,119614440000.0
Operating Revenue,142299870000.0,132785150000.0,137984970000.0,119614440000.0
