,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-14271000.0,-502032561.200144,-278881384.771006,-128460000.0
Tax Rate For Calcs,0.3,0.348658,0.376064,0.3
Normalized EBITDA,24331190000.0,80050920000.0,65873170000.0,47184190000.0
Total Unusual Items,-47570000.0,-1439900000.0,-741580000.0,-428200000.0
Total Unusual Items Excluding Goodwill,-47570000.0,-1439900000.0,-741580000.0,-428200000.0
Net Income From Continuing Operation Net Minority Interest,562050000.0,35970600000.0,26554070000.0,29582520000.0
Reconciled Depreciation,13470150000.0,12572850000.0,11866990000.0,10877240000.0
Reconciled Cost Of Revenue,915268120000.0,817432520000.0,1005392770000.0,640773820000.0
EBITDA,24283620000.0,78611020000.0,65131590000.0,46755990000.0
EBIT,10813470000.0,66038170000.0,53264600000.0,35878750000.0
Net Interest Income,-9505560000.0,-10743700000.0,-10709760000.0,-8480780000.0
Interest Expense,9624580000.0,10812810000.0,10705650000.0,8765630000.0
Interest Income,257050000.0,149440000.0,166510000.0,353390000.0
Normalized Income,595349000.0,36908467438.79986,27016768615.228992,29882260000.0
Net Income From Continuing And Discontinued Operation,562050000.0,35970600000.0,26554070000.0,29582520000.0
Total Expenses,934094040000.0,835992680000.0,1021742400000.0,656705730000.0
Rent Expense Supplemental,65520000.0,72510000.0,60630000.0,38500000.0
Diluted Average Shares,1752600000.0,1752600000.0,1752600000.0,1752600000.0
Basic Average Shares,1752600000.0,1752600000.0,1752600000.0,1752600000.0
Diluted EPS,0.32,20.52,15.15,16.88
Basic EPS,0.32,20.52,15.15,16.88
Diluted NI Availto Com Stockholders,562050000.0,35970600000.0,26554070000.0,29582520000.0
Net Income Common Stockholders,562050000.0,35970600000.0,26554070000.0,29582520000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,562050000.0,35970600000.0,26554070000.0,29582520000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,562050000.0,35970600000.0,26554070000.0,29582520000.0
Net Income Continuous Operations,562050000.0,35970600000.0,26554070000.0,29582520000.0
Tax Provision,626840000.0,19254760000.0,16004880000.0,-2469400000.0
Pretax Income,1188890000.0,55225360000.0,42558950000.0,27113120000.0
Other Non Operating Income Expenses,549830000.0,1150050000.0,1089800000.0,343970000.0
Special Income Charges,-68460000.0,-1450970000.0,-741580000.0,-430160000.0
Other Special Charges,61530000.0,1516390000.0,155510000.0,388770000.0
Write Off,6510000.0,-65430000.0,586070000.0,41390000.0
Impairment Of Capital Assets,420000.0,10000.0,0.0,
Net Non Operating Interest Income Expense,-9505560000.0,-10743700000.0,-10709760000.0,-8480780000.0
Total Other Finance Cost,138030000.0,80330000.0,170620000.0,68540000.0
Interest Expense Non Operating,9624580000.0,10812810000.0,10705650000.0,8765630000.0
Interest Income Non Operating,257050000.0,149440000.0,166510000.0,353390000.0
Operating Income,12340940000.0,67738150000.0,68013210000.0,41447290000.0
Operating Expense,18825920000.0,18560160000.0,16349630000.0,15931910000.0
Other Operating Expenses,12075050000.0,10824920000.0,9424690000.0,8806030000.0
Selling General And Administration,765880000.0,754340000.0,671550000.0,602490000.0
General And Administrative Expense,765880000.0,754340000.0,671550000.0,602490000.0
Rent And Landing Fees,65520000.0,72510000.0,60630000.0,38500000.0
Gross Profit,31166860000.0,86298310000.0,84362840000.0,57379200000.0
Cost Of Revenue,915268120000.0,817432520000.0,1005392770000.0,640773820000.0
Total Revenue,946434980000.0,903730830000.0,1089755610000.0,698153020000.0
Operating Revenue,946434980000.0,903730830000.0,1089755610000.0,698153020000.0
