,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-11877968.377675,-8951887.649871,-5098312.42103,-2061852.900833,
Tax Rate For Calcs,0.26337,0.254967,0.254534,0.254864,
Total Unusual Items,-45100000.0,-35110000.0,-20030000.0,-8090000.0,
Total Unusual Items Excluding Goodwill,-45100000.0,-35110000.0,-20030000.0,-8090000.0,
Net Income From Continuing Operation Net Minority Interest,53329000000.0,43242880000.0,36122980000.0,40166210000.0,
Reconciled Depreciation,1159870000.0,921060000.0,781610000.0,700030000.0,
Net Interest Income,122505820000.0,91156230000.0,73463570000.0,76693000000.0,
Interest Expense,74123020000.0,54300780000.0,42091780000.0,42558520000.0,
Interest Income,196628840000.0,145457010000.0,115555350000.0,119251520000.0,
Normalized Income,53362222031.62232,43269038112.35013,36137911687.57897,40172238147.09917,
Net Income From Continuing And Discontinued Operation,53329000000.0,43242880000.0,36122980000.0,40166210000.0,
Diluted Average Shares,401474498.0,401491148.0,401458099.0,401464648.0,
Basic Average Shares,401463406.0,401453679.0,401397883.0,401268121.0,
Diluted EPS,132.83,107.71,89.98,100.05,
Basic EPS,132.84,107.72,89.99,100.1,
Diluted NI Availto Com Stockholders,53329000000.0,43242880000.0,36122980000.0,40166210000.0,
Net Income Common Stockholders,53329000000.0,43242880000.0,36122980000.0,40166210000.0,
Net Income,53329000000.0,43242880000.0,36122980000.0,40166210000.0,
Minority Interests,-194610000.0,-1433060000.0,-574680000.0,-147030000.0,
Net Income Including Noncontrolling Interests,53523610000.0,44675940000.0,36697660000.0,40313240000.0,
Net Income Continuous Operations,53523610000.0,44675940000.0,36697660000.0,40313240000.0,
Tax Provision,19136450000.0,15289100000.0,12530140000.0,13788640000.0,
Pretax Income,72660060000.0,59965040000.0,49227800000.0,54101870000.0,
Special Income Charges,-45100000.0,-35110000.0,-20030000.0,-8090000.0,
Other Special Charges,900000.0,-6390000.0,10500000.0,6470000.0,
Write Off,44200000.0,41500000.0,9530000.0,1620000.0,
Impairment Of Capital Assets,,,,,0.0
Gain On Sale Of Security,1018510000.0,1340820000.0,1210750000.0,812550000.0,
Operating Expense,40105020000.0,31837630000.0,25984850000.0,21846550000.0,
Other Operating Expenses,6596890000.0,5362060000.0,4805360000.0,4313410000.0,
Depreciation And Amortization In Income Statement,1159870000.0,921060000.0,781610000.0,700030000.0,
Amortization,28360000.0,31190000.0,29240000.0,40940000.0,
Depreciation Income Statement,1131510000.0,889870000.0,752370000.0,659090000.0,
Selling General And Administration,5213780000.0,3906240000.0,2598810000.0,1817160000.0,
Selling And Marketing Expense,3660020000.0,2696360000.0,1834360000.0,1280730000.0,
General And Administrative Expense,1553760000.0,1209880000.0,764450000.0,536430000.0,
Insurance And Claims,196480000.0,183860000.0,136720000.0,144790000.0,
Rent And Landing Fees,3650960000.0,3153870000.0,2754690000.0,2473160000.0,
Total Revenue,128527840000.0,96564040000.0,77101620000.0,79611210000.0,
Operating Revenue,128527840000.0,96564040000.0,77101620000.0,79611210000.0,
