,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,613333990.0,693518690.0,305474400.0,499186360.0,
Tax Rate For Calcs,0.2423,0.1907,0.2204,0.2476,
Normalized EBITDA,14785300000.0,10241900000.0,8229000000.0,8180900000.0,
Total Unusual Items,2531300000.0,3636700000.0,1386000000.0,2016100000.0,
Total Unusual Items Excluding Goodwill,2531300000.0,3636700000.0,1386000000.0,2016100000.0,
Net Income From Continuing Operation Net Minority Interest,12863900000.0,11073200000.0,7233300000.0,7441500000.0,
Reconciled Depreciation,306000000.0,291400000.0,297900000.0,272200000.0,
Reconciled Cost Of Revenue,4219700000.0,3673200000.0,3106200000.0,2856400000.0,
EBITDA,17316600000.0,13878600000.0,9615000000.0,10197000000.0,
EBIT,17010600000.0,13587200000.0,9317100000.0,9924800000.0,
Net Interest Income,274600000.0,224500000.0,192700000.0,205700000.0,
Interest Expense,67400000.0,62400000.0,39700000.0,38200000.0,
Interest Income,342000000.0,286900000.0,232400000.0,243900000.0,
Normalized Income,10945933990.0,8130018690.0,6152774400.0,5924586360.0,
Net Income From Continuing And Discontinued Operation,12863900000.0,11073200000.0,7233300000.0,7441500000.0,
Total Expenses,8199300000.0,6789000000.0,5842400000.0,5430900000.0,
Rent Expense Supplemental,24100000.0,20900000.0,30600000.0,11700000.0,
Diluted Average Shares,642503991.0,631740976.0,627163720.0,630456950.0,
Basic Average Shares,632673208.0,622810020.0,622810020.0,620004419.0,
Diluted EPS,20.03,17.53,11.53,11.8,
Basic EPS,20.34,17.71,11.61,12.0,
Diluted NI Availto Com Stockholders,12863900000.0,11073200000.0,7233300000.0,7441500000.0,
Net Income Common Stockholders,12863900000.0,11073200000.0,7233300000.0,7441500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,12863900000.0,11073200000.0,7233300000.0,7441500000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,12863900000.0,11073200000.0,7233300000.0,7441500000.0,
Net Income Extraordinary,,10700000.0,4000000.0,7900000.0,
Net Income Continuous Operations,12863900000.0,11073200000.0,7233300000.0,7441500000.0,
Tax Provision,4085900000.0,2462300000.0,2048100000.0,2453000000.0,
Pretax Income,16943200000.0,13524800000.0,9277400000.0,9886600000.0,
Other Non Operating Income Expenses,25100000.0,16900000.0,49200000.0,22800000.0,
Special Income Charges,,,,5300000.0,-200000.0
Write Off,,,,-5300000.0,200000.0
Net Non Operating Interest Income Expense,274600000.0,224500000.0,192700000.0,205700000.0,
Interest Expense Non Operating,67400000.0,62400000.0,39700000.0,38200000.0,
Interest Income Non Operating,342000000.0,286900000.0,232400000.0,243900000.0,
Operating Income,14107600000.0,9643200000.0,7655800000.0,7635400000.0,
Operating Expense,3979600000.0,3115800000.0,2736200000.0,2574500000.0,
Other Operating Expenses,1636700000.0,1427400000.0,1012700000.0,968500000.0,
Depreciation And Amortization In Income Statement,306000000.0,291400000.0,297900000.0,272200000.0,
Amortization,,235100000.0,244200000.0,221900000.0,262300000.0
Depreciation Income Statement,306000000.0,291400000.0,53700000.0,50300000.0,
Selling General And Administration,1224700000.0,1069500000.0,972200000.0,750400000.0,
Selling And Marketing Expense,581400000.0,538000000.0,377100000.0,261000000.0,
General And Administrative Expense,643300000.0,531500000.0,595100000.0,489400000.0,
Rent And Landing Fees,24100000.0,20900000.0,30600000.0,11700000.0,
Gross Profit,18087200000.0,12759000000.0,10392000000.0,10209900000.0,
Cost Of Revenue,4219700000.0,3673200000.0,3106200000.0,2856400000.0,
Total Revenue,22306900000.0,16432200000.0,13498200000.0,13066300000.0,
Operating Revenue,22306900000.0,16432200000.0,13498200000.0,13066300000.0,
