,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,63040940.303612,130877865.53019,29157582.479632,5728568.108532
Tax Rate For Calcs,0.240706,0.193807,0.243385,0.235744
Normalized EBITDA,5512600000.0,4387300000.0,5740600000.0,3916000000.0
Total Unusual Items,261900000.0,675300000.0,119800000.0,24300000.0
Total Unusual Items Excluding Goodwill,261900000.0,675300000.0,119800000.0,24300000.0
Net Income From Continuing Operation Net Minority Interest,2885800000.0,2705000000.0,3751800000.0,2630700000.0
Reconciled Depreciation,1194300000.0,961600000.0,626400000.0,479000000.0
Reconciled Cost Of Revenue,11024100000.0,9952100000.0,9439100000.0,7066900000.0
EBITDA,5774500000.0,5062600000.0,5860400000.0,3940300000.0
EBIT,4580200000.0,4101000000.0,5234000000.0,3461300000.0
Net Interest Income,-758200000.0,-533200000.0,-235300000.0,200600000.0
Interest Expense,779300000.0,745600000.0,275200000.0,19000000.0
Interest Income,21100000.0,212400000.0,39900000.0,219600000.0
Normalized Income,2686940940.303612,2160577865.53019,3661157582.479632,2612128568.108532
Net Income From Continuing And Discontinued Operation,2885800000.0,2705000000.0,3751800000.0,2630700000.0
Total Expenses,19153300000.0,17445600000.0,15769200000.0,11393300000.0
Rent Expense Supplemental,13600000.0,12600000.0,9300000.0,12200000.0
Diluted Average Shares,49638200.0,49642317.0,49732078.0,49561504.0
Basic Average Shares,49585958.0,49572078.0,49558378.0,49528217.0
Diluted EPS,58.14,54.49,75.44,53.08
Basic EPS,58.2,54.57,75.7,53.12
Diluted NI Availto Com Stockholders,2885800000.0,2705000000.0,3751800000.0,2630700000.0
Net Income Common Stockholders,2885800000.0,2705000000.0,3751800000.0,2630700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2885800000.0,2705000000.0,3751800000.0,2630700000.0
Net Income Including Noncontrolling Interests,2885800000.0,2705000000.0,3751800000.0,2630700000.0
Net Income Continuous Operations,2885800000.0,2705000000.0,3751800000.0,2630700000.0
Tax Provision,914900000.0,650300000.0,1206900000.0,811500000.0
Pretax Income,3800900000.0,3355400000.0,4958800000.0,3442300000.0
Other Non Operating Income Expenses,150300000.0,164500000.0,161300000.0,139700000.0
Special Income Charges,700000.0,512400000.0,19700000.0,-4700000.0
Other Special Charges,-700000.0,-512400000.0,-19700000.0,4700000.0
Net Non Operating Interest Income Expense,-758200000.0,-533200000.0,-235300000.0,200600000.0
Interest Expense Non Operating,779300000.0,745600000.0,275200000.0,19000000.0
Interest Income Non Operating,21100000.0,212400000.0,39900000.0,219600000.0
Operating Income,4142900000.0,3037200000.0,4884600000.0,3086800000.0
Operating Expense,8129200000.0,7493500000.0,6330100000.0,4326400000.0
Other Operating Expenses,2902300000.0,2798400000.0,2314900000.0,1320600000.0
Depreciation And Amortization In Income Statement,1194300000.0,961600000.0,626400000.0,479000000.0
Amortization,8500000.0,5300000.0,2700000.0,4200000.0
Depreciation Income Statement,1185800000.0,956300000.0,623700000.0,474800000.0
Selling General And Administration,952200000.0,747600000.0,688900000.0,578400000.0
Selling And Marketing Expense,690000000.0,431500000.0,430700000.0,357600000.0
General And Administrative Expense,262200000.0,316100000.0,258200000.0,220800000.0
Rent And Landing Fees,13600000.0,12600000.0,9300000.0,12200000.0
Gross Profit,12272100000.0,10530700000.0,11214700000.0,7413200000.0
Cost Of Revenue,11024100000.0,9952100000.0,9439100000.0,7066900000.0
Total Revenue,23296200000.0,20482800000.0,20653800000.0,14480100000.0
Operating Revenue,23296200000.0,20482800000.0,20653800000.0,14480100000.0
