,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-776315516.1,-472481989.6,-586866055.0,-252196448.0,
Tax Rate For Calcs,0.2617,0.2581,0.2525,0.244,
Normalized EBITDA,10722199000.0,9591098000.0,8015508000.0,5991499000.0,
Total Unusual Items,-2966433000.0,-1830616000.0,-2324222000.0,-1033592000.0,
Total Unusual Items Excluding Goodwill,-2966433000.0,-1830616000.0,-2324222000.0,-1033592000.0,
Net Income From Continuing Operation Net Minority Interest,5411300000.0,4015572000.0,2666650000.0,2243212000.0,
Reconciled Depreciation,74385000.0,53045000.0,52155000.0,45708000.0,
Reconciled Cost Of Revenue,107364858000.0,94426090000.0,80535133000.0,70777847000.0,
EBITDA,9277092000.0,7760482000.0,5691286000.0,4957907000.0,
EBIT,9202707000.0,7707392000.0,5639131000.0,4912199000.0,
Net Interest Income,2021655000.0,2038605000.0,1969788000.0,1758524000.0,
Interest Expense,1652546000.0,2121975000.0,1920071000.0,1764826000.0,
Interest Income,3698499000.0,4182545000.0,3927860000.0,3549026000.0,
Normalized Income,7601417483.9,5373706010.4,4404005945.0,3024607552.0,
Net Income From Continuing And Discontinued Operation,5411300000.0,4015572000.0,2666650000.0,2243212000.0,
Total Expenses,107958484000.0,97902121000.0,83657542000.0,73386549000.0,
Rent Expense Supplemental,55113000.0,28294000.0,27688000.0,28435000.0,
Diluted Average Shares,2700000000.0,2700000000.0,2700000000.0,2700000000.0,
Basic Average Shares,2700000000.0,2700000000.0,2700000000.0,2700000000.0,
Diluted EPS,2.0,1.49,0.986667,0.833333,
Basic EPS,2.0,1.49,0.986667,0.833333,
Diluted NI Availto Com Stockholders,5411300000.0,4015572000.0,2666650000.0,2243212000.0,
Net Income Common Stockholders,5411300000.0,4015572000.0,2666650000.0,2243212000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5411300000.0,4015572000.0,2666650000.0,2243212000.0,
Minority Interests,-162946000.0,-128199000.0,-113433000.0,-136065000.0,
Net Income Including Noncontrolling Interests,5574246000.0,4143771000.0,2780083000.0,2379277000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,5574246000.0,4143771000.0,2780083000.0,2379277000.0,
Tax Provision,1975915000.0,1441646000.0,938977000.0,768096000.0,
Pretax Income,7550161000.0,5585417000.0,3719060000.0,3147373000.0,
Other Non Operating Income Expenses,73496000.0,65573000.0,39629000.0,76296000.0,
Special Income Charges,-3131656000.0,-1929838000.0,-2324269000.0,-1033627000.0,
Other Special Charges,-1500853000.0,331025000.0,1679518000.0,-268934000.0,
Write Off,4632509000.0,1598813000.0,644751000.0,1302561000.0,
Impairment Of Capital Assets,,,0.0,0.0,1308000.0
Net Non Operating Interest Income Expense,2021655000.0,2038605000.0,1969788000.0,1758524000.0,
Total Other Finance Cost,24298000.0,21965000.0,38001000.0,25676000.0,
Interest Expense Non Operating,1652546000.0,2121975000.0,1920071000.0,1764826000.0,
Interest Income Non Operating,3698499000.0,4182545000.0,3927860000.0,3549026000.0,
Operating Income,8304059000.0,5381662000.0,4048822000.0,2362370000.0,
Operating Expense,593626000.0,3476031000.0,3122409000.0,2608702000.0,
Other Operating Expenses,577689000.0,551466000.0,-169943000.0,-108916000.0,
Depreciation And Amortization In Income Statement,74161000.0,53090000.0,52155000.0,45708000.0,
Amortization,1853000.0,1101000.0,633000.0,174000.0,
Depreciation Income Statement,72308000.0,51989000.0,51522000.0,45534000.0,
Research And Development,184230000.0,119312000.0,6674000.0,,
Selling General And Administration,234410000.0,189237000.0,179811000.0,127519000.0,
Selling And Marketing Expense,37278000.0,16169000.0,14943000.0,10752000.0,
General And Administrative Expense,197132000.0,173068000.0,164868000.0,116767000.0,
Rent And Landing Fees,55113000.0,28294000.0,27688000.0,28435000.0,
Gross Profit,8951893000.0,8857693000.0,7171231000.0,4971072000.0,
Cost Of Revenue,107364858000.0,94426090000.0,80535133000.0,70777847000.0,
Total Revenue,116316751000.0,103283783000.0,87706364000.0,75748919000.0,
Operating Revenue,120385724000.0,104067872000.0,87706364000.0,75748919000.0,
