,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,80423892.426386,-111988151.681104,79829846.866701,444655928.97208,
Tax Rate For Calcs,0.268707,0.302099,0.269695,0.221608,
Normalized EBITDA,18124000000.0,16968900000.0,13968600000.0,9570100000.0,
Total Unusual Items,299300000.0,-370700000.0,296000000.0,2006500000.0,
Total Unusual Items Excluding Goodwill,299300000.0,-370700000.0,296000000.0,2006500000.0,
Net Income From Continuing Operation Net Minority Interest,8198800000.0,7106900000.0,6092000000.0,4824100000.0,
Reconciled Depreciation,2159000000.0,2119200000.0,2026100000.0,1867400000.0,
Reconciled Cost Of Revenue,190759000000.0,180785500000.0,132169400000.0,94045000000.0,
EBITDA,18423300000.0,16598200000.0,14264600000.0,11576600000.0,
EBIT,16264300000.0,14479000000.0,12238500000.0,9709200000.0,
Net Interest Income,-5817000000.0,-5020800000.0,-4351200000.0,-4394300000.0,
Interest Expense,4391500000.0,3869900000.0,3390000000.0,3362400000.0,
Interest Income,984100000.0,926700000.0,801000000.0,386400000.0,
Normalized Income,7979923892.426386,7365611848.318896,5875829846.866701,3262255928.97208,
Net Income From Continuing And Discontinued Operation,8198800000.0,7106900000.0,6092000000.0,4824100000.0,
Total Expenses,202931200000.0,191397800000.0,141301900000.0,102252100000.0,
Rent Expense Supplemental,3553800000.0,3017200000.0,2750500000.0,2259800000.0,
Diluted Average Shares,627846588.0,627846588.0,623726137.0,614097235.0,
Basic Average Shares,627846588.0,627846588.0,623389054.0,609846588.0,
Diluted EPS,13.06,11.32,9.77,7.86,
Basic EPS,13.06,11.32,9.77,7.91,
Diluted NI Availto Com Stockholders,8198800000.0,7106900000.0,6092000000.0,4824100000.0,
Net Income Common Stockholders,8198800000.0,7106900000.0,6092000000.0,4824100000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8198800000.0,7106900000.0,6092000000.0,4824100000.0,
Minority Interests,-483700000.0,-297200000.0,-370100000.0,-116200000.0,
Net Income Including Noncontrolling Interests,8682500000.0,7404100000.0,6462100000.0,4940300000.0,
Net Income Continuous Operations,8682500000.0,7404100000.0,6462100000.0,4940300000.0,
Tax Provision,3190300000.0,3205000000.0,2386400000.0,1406500000.0,
Pretax Income,11872800000.0,10609100000.0,8848500000.0,6346800000.0,
Other Non Operating Income Expenses,233200000.0,290500000.0,194600000.0,248100000.0,
Special Income Charges,297000000.0,-372900000.0,294300000.0,1985900000.0,
Other Special Charges,-335900000.0,299600000.0,-329600000.0,-1996000000.0,
Write Off,38900000.0,73300000.0,35300000.0,10100000.0,
Net Non Operating Interest Income Expense,-5817000000.0,-5020800000.0,-4351200000.0,-4394300000.0,
Total Other Finance Cost,2409600000.0,2077600000.0,1762200000.0,1418300000.0,
Interest Expense Non Operating,4391500000.0,3869900000.0,3390000000.0,3362400000.0,
Interest Income Non Operating,984100000.0,926700000.0,801000000.0,386400000.0,
Operating Income,17060600000.0,15642800000.0,12599100000.0,8420400000.0,
Operating Expense,12172200000.0,10612300000.0,9132500000.0,8207100000.0,
Other Operating Expenses,2316400000.0,1789700000.0,1935500000.0,1377200000.0,
Depreciation And Amortization In Income Statement,2159000000.0,2119200000.0,2026100000.0,1867400000.0,
Amortization,32000000.0,300000.0,,,1100000.0
Depreciation Income Statement,2127000000.0,2118900000.0,2026100000.0,1867400000.0,
Selling General And Administration,876800000.0,701800000.0,683100000.0,532800000.0,
General And Administrative Expense,876800000.0,701800000.0,683100000.0,532800000.0,
Rent And Landing Fees,925400000.0,732800000.0,659900000.0,606100000.0,
Gross Profit,29232800000.0,26255100000.0,21731600000.0,16627500000.0,
Cost Of Revenue,190759000000.0,180785500000.0,132169400000.0,94045000000.0,
Total Revenue,219991800000.0,207040600000.0,153901000000.0,110672500000.0,
Operating Revenue,219991800000.0,207040600000.0,153901000000.0,110672500000.0,
